序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2002/10,松山,2.6,0.67,393.74,25.0,48,-,31.19,9.91,21.29,-,-,-,24.4,-,-,-
2,臺北市,2002/10,古亭,2.2,0.78,-,23.9,34,21,33.71,9.45,24.26,2.507,0.4,2.1,24.81,-,-,-
3,臺北市,2002/10,中山,2.2,0.67,-,24.2,46,-,35.89,8.93,26.95,2.392,0.24,2.15,25.39,-,-,-
4,臺北市,2002/10,大同,6.2,3.21,-,-,70,-,140.33,95.74,44.59,3.819,1.64,2.18,26.24,-,-,-
5,臺北市,2002/10,萬華,2.4,0.77,-,27.3,45,-,27.46,4.0,23.59,-,-,-,24.97,-,-,-
6,臺北市,2002/10,陽明,1.4,0.26,392.56,47.8,20,-,3.16,0.19,2.98,-,-,-,18.65,-,-,-
7,臺北市,2002/10,士林,1.9,0.57,-,34.1,36,-,24.36,3.6,20.75,-,-,-,24.63,-,-,-
8,新北市,2002/10,板橋,3.8,0.82,-,27.8,41,-,28.16,4.55,23.61,2.329,0.36,1.97,25.9,-,-,-
9,新北市,2002/10,三重,5.0,2.43,-,-,56,29,117.91,74.01,43.9,2.851,0.6,2.25,26.09,-,-,-
10,新北市,2002/10,菜寮,3.2,0.66,-,26.6,46,-,30.11,5.87,24.24,-,-,-,25.63,-,-,-
11,新北市,2002/10,永和,3.0,1.2,-,22.8,40,-,43.02,16.83,26.19,2.719,0.54,2.18,24.75,-,-,-
12,新北市,2002/10,新莊,3.7,0.69,-,30.1,46,-,28.44,3.91,24.53,2.298,0.37,1.93,24.91,-,-,-
13,新北市,2002/10,新店,0.9,0.53,-,27.0,32,-,16.83,1.97,14.86,-,-,-,25.14,-,-,-
14,新北市,2002/10,淡水,1.5,0.49,-,37.4,34,-,15.83,2.17,13.67,-,-,-,24.81,-,-,-
15,新北市,2002/10,汐止,3.0,0.51,-,29.6,44,-,24.28,5.25,19.19,-,-,-,24.4,-,-,-
16,新北市,2002/10,土城,2.5,0.66,-,27.6,33,-,26.09,5.45,20.64,-,-,-,25.98,-,-,-
17,新北市,2002/10,林口,2.1,0.52,-,36.9,42,-,18.91,1.69,17.23,-,-,-,23.69,-,-,-
18,新北市,2002/10,萬里,0.8,0.26,-,37.3,37,-,6.47,1.21,5.25,2.237,0.07,2.16,24.02,-,-,-
19,臺中市,2002/10,西屯,2.5,0.64,-,32.1,66,-,29.19,10.19,19.0,2.375,0.33,2.05,24.04,-,-,-
20,臺中市,2002/10,忠明,3.4,0.9,-,32.2,64,41,38.87,7.74,31.13,-,-,-,26.51,-,-,-
21,臺中市,2002/10,豐原,3.5,0.93,-,31.0,54,-,32.45,5.36,27.37,-,-,-,24.44,-,-,-
22,臺中市,2002/10,沙鹿,4.1,0.67,-,29.3,48,-,25.44,4.14,21.36,-,-,-,24.59,-,-,-
23,臺中市,2002/10,大里,2.4,0.99,351.69,29.3,-,-,34.88,6.87,28.01,-,-,-,26.12,-,-,-
24,臺南市,2002/10,新營,3.4,0.65,-,37.7,69,-,21.14,2.69,18.47,2.429,0.15,2.28,26.02,-,-,-
25,臺南市,2002/10,善化,4.1,0.53,-,42.3,60,-,20.74,2.51,18.27,-,-,-,26.1,-,-,-
26,臺南市,2002/10,安南,4.6,0.35,-,40.7,-,-,23.58,3.24,20.34,-,-,-,26.38,-,-,-
27,臺南市,2002/10,臺南,5.0,0.8,-,44.1,89,-,22.02,2.05,20.0,-,-,-,26.54,-,-,-
28,高雄市,2002/10,左營,6.2,-,-,44.7,76,-,26.56,3.74,22.82,2.241,0.32,1.92,26.59,-,-,-
29,高雄市,2002/10,楠梓,4.4,0.67,-,35.9,76,-,32.24,8.12,24.12,2.363,0.13,2.23,26.85,-,-,-
30,高雄市,2002/10,前金,5.7,0.83,-,46.4,71,-,25.87,2.39,23.48,-,-,-,26.47,-,-,-
31,高雄市,2002/10,前鎮,9.4,-,-,-,88,-,35.28,6.95,28.33,2.45,0.31,2.15,27.25,-,-,-
32,高雄市,2002/10,復興,10.0,1.16,-,-,94,-,41.23,9.51,31.71,3.158,0.68,2.48,27.53,-,-,-
33,高雄市,2002/10,小港,11.3,0.79,-,37.2,85,-,37.71,7.38,30.33,2.45,0.37,2.08,27.05,-,-,-
34,高雄市,2002/10,鳳山,9.6,0.89,-,37.8,79,36,30.53,7.95,22.59,-,-,-,26.39,-,-,-
35,高雄市,2002/10,林園,10.1,0.86,-,44.8,99,63,19.7,2.31,17.38,2.676,0.46,2.22,27.24,-,-,-
36,高雄市,2002/10,大寮,7.9,1.1,-,35.1,82,-,25.84,3.22,22.62,-,-,-,27.32,-,-,-
37,高雄市,2002/10,仁武,11.1,0.64,-,37.0,78,-,32.11,6.24,25.87,2.426,0.28,2.15,26.51,-,-,-
38,高雄市,2002/10,橋頭,4.6,1.08,-,33.8,44,-,24.96,3.91,21.06,2.172,0.14,2.03,26.9,-,-,-
39,高雄市,2002/10,美濃,2.1,0.56,-,47.9,75,-,12.85,0.72,12.13,-,-,-,26.39,-,-,-
40,基隆市,2002/10,基隆,2.8,0.64,-,32.5,43,-,20.49,4.34,16.15,2.194,0.18,2.02,24.5,-,-,-
41,新竹市,2002/10,新竹,4.5,0.65,-,28.6,45,-,25.45,3.82,21.63,2.312,0.13,2.18,24.78,-,-,-
42,嘉義市,2002/10,嘉義,3.8,0.73,-,34.2,74,-,26.66,3.29,23.43,2.39,0.27,2.12,26.05,-,-,-
43,宜蘭縣,2002/10,宜蘭,0.8,0.51,333.08,29.6,36,-,13.65,1.39,12.3,-,-,-,23.75,-,-,-
44,宜蘭縣,2002/10,冬山,2.6,0.46,-,19.1,44,-,20.81,5.59,15.21,2.384,0.2,2.19,24.36,-,-,-
45,桃園市,2002/10,桃園,6.3,0.71,-,28.7,38,-,28.14,3.04,25.1,2.526,0.22,2.31,24.02,-,-,-
46,桃園市,2002/10,中壢,5.0,1.22,-,-,48,-,47.36,16.85,30.48,2.498,0.47,2.02,24.14,-,-,-
47,桃園市,2002/10,大園,3.9,0.44,-,32.7,44,-,19.94,4.22,15.72,-,-,-,24.73,-,-,-
48,桃園市,2002/10,龍潭,2.0,0.53,-,32.1,37,-,22.3,3.17,19.13,-,-,-,23.53,-,-,-
49,桃園市,2002/10,平鎮,4.9,0.73,-,30.4,54,-,25.69,3.73,21.96,2.328,0.28,2.05,24.77,-,-,-
50,桃園市,2002/10,觀音,6.8,0.42,-,32.6,51,-,21.37,4.04,17.34,2.289,0.25,2.03,24.27,-,-,-
51,新竹縣,2002/10,竹東,1.8,0.37,-,37.4,44,-,17.91,2.2,15.74,-,-,-,24.06,-,-,-
52,新竹縣,2002/10,湖口,2.8,0.49,-,32.0,58,-,22.9,4.69,18.2,-,-,-,25.04,-,-,-
53,苗栗縣,2002/10,苗栗,3.7,0.62,-,35.8,42,-,25.71,4.93,20.79,-,-,-,22.44,-,-,-
54,苗栗縣,2002/10,頭份,6.0,-,-,-,50,-,23.29,3.9,19.4,2.245,0.12,2.12,24.13,-,-,-
55,苗栗縣,2002/10,三義,1.4,0.41,-,37.2,36,-,19.71,2.69,17.02,2.409,0.14,2.27,21.58,-,-,-
56,彰化縣,2002/10,彰化,4.3,0.81,-,28.1,64,-,33.85,6.83,27.03,2.334,0.32,2.02,25.46,-,-,-
57,彰化縣,2002/10,線西,4.0,-,-,-,63,-,24.11,4.24,19.87,2.354,0.14,2.21,24.54,-,-,-
58,彰化縣,2002/10,二林,4.1,0.41,-,32.7,85,-,16.46,2.39,14.07,-,-,-,24.52,-,-,-
59,南投縣,2002/10,南投,1.8,0.7,-,28.5,64,-,28.49,5.39,23.09,2.426,0.34,2.08,25.84,-,-,-
60,南投縣,2002/10,埔里,3.2,0.91,-,28.9,78,-,-,-,-,2.543,0.26,2.28,24.06,-,-,-
61,南投縣,2002/10,竹山,2.7,0.64,-,31.7,74,-,27.88,5.02,22.87,-,-,-,25.29,-,-,-
62,雲林縣,2002/10,斗六,3.8,0.67,-,33.2,76,-,23.94,3.88,20.4,-,-,-,25.24,-,-,-
63,雲林縣,2002/10,崙背,2.5,0.43,-,35.8,66,-,18.58,2.4,15.98,2.844,0.17,2.67,25.16,-,-,-
64,雲林縣,2002/10,臺西,4.3,0.42,-,41.0,77,-,15.18,1.95,13.17,-,-,-,25.25,-,-,-
65,嘉義縣,2002/10,朴子,3.1,0.46,-,39.9,63,-,18.39,2.42,15.58,-,-,-,25.86,-,-,-
66,嘉義縣,2002/10,新港,2.5,0.51,-,33.3,57,-,19.97,3.04,16.83,-,-,-,25.33,-,-,-
67,屏東縣,2002/10,屏東,3.6,0.94,-,43.2,85,-,19.74,1.65,18.1,2.229,0.22,2.01,27.1,-,-,-
68,屏東縣,2002/10,潮州,2.0,0.45,-,40.4,75,-,14.81,1.22,13.55,-,-,-,26.31,-,-,-
69,屏東縣,2002/10,恆春,0.2,0.3,363.26,38.5,24,-,0.66,0.04,0.62,-,-,-,26.02,-,-,-
70,臺東縣,2002/10,臺東,0.2,0.46,-,30.8,32,-,8.39,1.58,6.8,2.108,0.1,2.01,25.68,-,-,-
71,花蓮縣,2002/10,花蓮,0.8,0.61,-,21.7,24,-,15.77,3.31,12.46,2.151,0.2,1.95,25.36,-,-,-
72,金門縣,2002/10,金門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,連江縣,2002/10,馬祖,1.3,0.29,-,53.9,33,-,3.17,0.6,2.57,-,-,-,21.98,-,-,-
,,,,,,,,,,,,,,,,,,,
