序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2001/09,松山,2.4,0.92,-,15.6,37,-,50.48,22.16,28.38,-,-,-,26.23,-,-,-
2,臺北市,2001/09,古亭,1.9,0.84,-,17.0,28,17,39.1,16.16,22.94,2.065,0.28,1.78,27.19,-,-,-
3,臺北市,2001/09,中山,3.1,0.97,-,16.2,-,-,46.66,20.24,26.42,-,-,-,26.77,-,-,-
4,臺北市,2001/09,大同,5.2,2.64,-,-,53,-,126.07,86.22,39.85,3.609,1.17,2.44,27.1,-,-,-
5,臺北市,2001/09,萬華,2.7,0.96,-,-,36,-,38.68,10.03,28.65,-,-,-,27.32,-,-,-
6,臺北市,2001/09,陽明,0.8,0.27,-,38.7,14,-,2.19,0.16,2.02,-,-,-,20.58,-,-,-
7,臺北市,2001/09,士林,1.2,0.83,-,19.5,-,-,27.01,8.92,18.09,-,-,-,25.31,-,-,-
8,新北市,2001/09,板橋,4.0,0.86,-,19.7,32,-,35.15,11.64,23.51,2.323,0.27,2.05,26.67,-,-,-
9,新北市,2001/09,三重,5.0,2.84,-,-,62,-,-,-,-,3.083,0.91,2.18,26.63,-,-,-
10,新北市,2001/09,菜寮,3.5,1.02,-,17.4,37,-,43.37,17.8,25.58,-,-,-,26.44,-,-,-
11,新北市,2001/09,永和,10.5,1.89,-,10.9,50,-,63.99,35.85,28.15,2.93,0.88,2.07,26.5,-,-,-
12,新北市,2001/09,新莊,4.7,0.76,-,24.1,41,-,32.71,11.22,21.5,2.565,0.59,1.98,27.2,-,-,-
