序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2015/01,松山,2.9,0.61,27.4,48.0,24,34,10.64,23.44,1.86,16.4,66.86
2,臺北市,2015/01,古亭,2.6,0.58,27.1,55.0,28,28,7.15,20.81,2.51,16.99,69.75
3,臺北市,2015/01,中山,3.2,0.79,23.2,70.0,26,44,15.57,28.05,2.12,17.36,68.17
4,臺北市,2015/01,大同,3.9,1.32,-,64.0,23,80,44.49,35.18,-,-,-
5,臺北市,2015/01,萬華,3.0,0.65,23.8,49.0,25,36,9.4,26.11,2.35,17.04,65.55
6,臺北市,2015/01,陽明,2.1,0.27,46.6,24.0,17,4,0.67,2.89,-,9.77,91.42
7,臺北市,2015/01,士林,2.6,0.47,35.8,49.0,24,22,6.34,15.19,2.19,16.86,64.74
8,新北市,2015/01,板橋,3.3,0.68,26.3,57.0,28,31,8.4,22.74,2.22,16.84,65.78
9,新北市,2015/01,三重,4.1,1.72,-,69.0,23,114,73.51,40.37,-,17.2,63.58
10,新北市,2015/01,菜寮,3.0,0.66,25.5,51.0,27,31,9.94,21.33,2.54,16.84,64.52
11,新北市,2015/01,永和,2.7,0.82,28.1,48.0,25,35,13.56,21.76,2.21,17.15,71.27
12,新北市,2015/01,新莊,3.1,0.7,28.2,53.0,28,32,9.62,22.1,3.35,16.31,68.4
13,新北市,2015/01,新店,2.6,0.51,33.1,44.0,27,20,4.38,15.89,1.82,16.9,66.34
14,新北市,2015/01,淡水,2.3,0.4,34.7,47.0,19,14,3.37,10.36,-,-,-
15,新北市,2015/01,汐止,3.8,0.5,26.8,48.0,25,30,9.97,19.9,1.74,16.27,74.41
16,新北市,2015/01,土城,2.8,0.6,30.8,54.0,31,27,7.99,18.68,1.49,16.76,67.59
17,新北市,2015/01,林口,2.7,0.39,36.9,51.0,29,16,2.65,13.73,2.59,14.88,75.25
18,新北市,2015/01,萬里,2.6,0.29,43.1,65.0,23,8,1.75,6.22,5.21,16.53,73.9
19,臺中市,2015/01,西屯,2.9,0.47,28.8,67.0,35,25,6.47,18.12,3.01,16.91,67.97
20,臺中市,2015/01,忠明,3.2,0.62,24.7,63.0,35,33,9.19,23.96,1.61,17.24,60.97
21,臺中市,2015/01,豐原,2.3,0.44,32.0,49.0,26,16,2.5,13.69,1.97,15.56,66.18
22,臺中市,2015/01,沙鹿,3.0,0.45,31.9,65.0,29,20,3.08,16.73,4.07,16.76,69.58
23,臺中市,2015/01,大里,3.1,0.66,24.5,69.0,38,32,7.17,24.94,1.81,18.41,66.51
24,臺南市,2015/01,新營,3.4,0.51,28.2,92.0,46,22,3.67,18.42,2.24,17.54,69.29
25,臺南市,2015/01,善化,3.7,0.47,27.8,82.0,49,20,2.95,16.86,2.85,18.41,69.9
26,臺南市,2015/01,安南,3.4,0.48,32.0,95.0,43,21,4.1,17.35,2.52,17.77,74.34
27,臺南市,2015/01,臺南,3.7,0.65,30.8,83.0,43,25,3.0,21.5,2.32,18.21,68.3
28,高雄市,2015/01,左營,4.5,0.62,31.3,96.0,49,28,3.73,24.01,2.21,18.89,69.15
29,高雄市,2015/01,楠梓,4.0,0.58,28.9,108.0,48,29,5.01,24.13,2.12,18.72,70.65
30,高雄市,2015/01,前金,4.3,0.64,30.7,106.0,45,28,3.37,24.54,2.21,19.12,67.65
31,高雄市,2015/01,前鎮,5.1,0.74,26.8,94.0,42,34,5.85,28.14,1.66,19.55,66.72
32,高雄市,2015/01,復興,4.7,0.94,21.6,100.0,52,38,8.01,30.47,0.93,19.68,65.43
33,高雄市,2015/01,小港,6.6,0.7,25.8,103.0,49,41,8.49,32.64,1.86,19.77,65.55
34,高雄市,2015/01,鳳山,6.4,0.74,25.1,118.0,45,34,5.53,28.61,1.79,19.69,63.64
35,高雄市,2015/01,林園,6.9,0.57,34.1,66.0,47,27,3.56,23.5,2.34,19.49,68.04
36,高雄市,2015/01,大寮,5.8,0.59,25.9,91.0,47,30,4.77,25.57,1.51,19.04,67.15
37,高雄市,2015/01,仁武,5.1,0.6,26.1,107.0,46,34,5.49,28.87,1.71,18.99,68.45
38,高雄市,2015/01,橋頭,4.1,0.57,29.6,92.0,49,26,4.01,22.11,2.25,18.6,68.84
39,高雄市,2015/01,美濃,2.4,0.47,35.6,79.0,40,14,1.68,12.64,1.08,19.58,66.86
40,基隆市,2015/01,基隆,2.2,0.46,34.8,38.0,25,15,3.68,11.27,1.49,16.79,75.59
41,新竹市,2015/01,新竹,2.1,0.5,32.1,55.0,30,21,3.73,17.59,2.77,16.41,69.15
42,嘉義市,2015/01,嘉義,4.0,0.62,24.7,91.0,45,26,4.29,21.32,2.11,18.06,68.32
