序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2013/05,松山,3.2,0.56,427.17,23.6,31,31,7.91,22.62,2.14,0.226,1.913,25.69,75.49
2,臺北市,2013/05,古亭,2.6,0.62,-,24.3,41,30,7.83,22.21,2.06,0.207,1.856,26.07,78.92
3,臺北市,2013/05,中山,2.9,0.78,-,20.6,39,41,13.63,27.24,2.24,0.282,1.96,26.54,74.73
4,臺北市,2013/05,大同,3.8,1.65,-,-,44,72,39.04,33.21,2.65,0.572,2.076,-,-
5,臺北市,2013/05,萬華,3.0,0.67,-,20.2,30,35,8.78,26.16,-,-,-,26.41,75.19
6,臺北市,2013/05,陽明,1.7,0.18,409.56,39.6,14,4,0.98,3.43,-,-,-,19.65,94.37
7,臺北市,2013/05,士林,2.4,0.46,-,29.9,33,20,4.5,15.93,-,-,-,25.97,79.4
8,新北市,2013/05,板橋,4.1,0.73,-,24.5,38,32,7.56,24.47,2.28,0.335,1.943,26.55,72.6
9,新北市,2013/05,三重,3.6,1.7,-,-,54,110,69.12,40.78,2.75,0.675,2.072,26.08,72.21
10,新北市,2013/05,菜寮,3.3,0.65,-,27.2,34,29,6.83,22.01,-,-,-,26.31,73.59
11,新北市,2013/05,永和,2.7,1.01,-,22.3,31,39,14.76,23.87,2.36,0.387,1.969,26.44,80.53
12,新北市,2013/05,新莊,4.1,0.63,-,26.4,34,30,7.12,22.9,-,-,-,26.09,75.89
13,新北市,2013/05,新店,2.9,0.49,-,28.0,28,20,4.43,15.81,-,-,-,25.62,75.7
14,新北市,2013/05,淡水,2.4,0.4,-,29.7,28,17,3.58,12.92,-,-,-,-,-
15,新北市,2013/05,汐止,4.5,0.44,-,22.1,31,28,8.79,19.32,-,-,-,25.54,82.05
16,新北市,2013/05,土城,3.4,0.63,-,26.2,35,29,8.3,21.05,2.27,0.306,1.962,26.61,76.72
17,新北市,2013/05,林口,3.2,0.38,-,29.0,31,21,3.8,16.73,-,-,-,24.57,84.25
18,新北市,2013/05,萬里,2.4,0.24,-,35.8,30,8,2.09,6.33,-,-,-,24.17,81.74
19,臺中市,2013/05,西屯,2.9,0.36,-,24.3,44,22,4.95,17.21,1.99,0.226,1.761,26.91,77.75
20,臺中市,2013/05,忠明,2.7,0.48,-,24.9,36,23,4.85,18.14,2.01,0.186,1.824,26.84,73.15
21,臺中市,2013/05,豐原,4.8,0.4,-,28.4,50,13,2.6,10.16,-,-,-,25.61,74.93
22,臺中市,2013/05,沙鹿,3.1,0.33,-,28.0,35,17,2.71,14.03,-,-,-,26.52,78.03
23,臺中市,2013/05,大里,3.1,0.48,414.17,25.2,48,22,4.53,17.4,2.07,0.25,1.818,27.04,73.66
24,臺南市,2013/05,新營,2.7,0.3,-,24.7,54,12,2.17,10.06,2.06,0.087,1.974,27.03,80.31
25,臺南市,2013/05,善化,3.7,0.23,433.85,24.3,45,12,2.01,10.36,-,-,-,26.39,78.8
26,臺南市,2013/05,安南,3.4,0.33,-,28.3,52,15,2.93,11.72,2.07,0.213,1.86,27.64,75.89
27,臺南市,2013/05,臺南,3.2,0.37,-,28.2,44,14,2.0,11.99,1.93,0.173,1.761,27.66,80.91
28,高雄市,2013/05,左營,4.1,0.4,-,24.5,47,19,4.71,14.16,2.03,0.165,1.866,27.64,79.73
29,高雄市,2013/05,楠梓,4.8,0.35,-,22.4,48,20,4.53,15.18,1.98,0.19,1.789,27.67,79.05
30,高雄市,2013/05,前金,5.0,0.41,-,23.8,41,18,3.72,14.28,2.01,0.172,1.841,27.73,77.81
31,高雄市,2013/05,前鎮,7.2,0.34,-,21.6,37,23,4.9,17.79,2.06,0.215,1.846,27.52,76.79
32,高雄市,2013/05,復興,6.6,0.54,-,19.6,38,25,5.67,19.74,2.23,0.295,1.933,27.56,78.37
33,高雄市,2013/05,小港,9.0,0.37,-,20.9,44,24,6.77,17.37,2.06,0.24,1.822,28.24,77.57
34,高雄市,2013/05,鳳山,4.7,0.56,-,20.9,51,20,3.47,16.94,2.24,0.277,1.963,28.51,75.66
35,高雄市,2013/05,林園,3.4,0.17,-,29.8,22,9,1.52,7.42,1.89,0.054,1.839,26.61,77.71
36,高雄市,2013/05,大寮,4.0,0.29,-,20.7,38,16,2.85,12.81,2.13,0.159,1.97,27.43,80.61
37,高雄市,2013/05,仁武,5.1,0.36,-,22.6,51,21,3.93,16.97,2.04,0.16,1.882,27.49,79.19
38,高雄市,2013/05,橋頭,3.6,0.31,-,23.7,43,15,2.95,12.34,-,-,-,27.82,80.1
39,高雄市,2013/05,美濃,1.5,0.23,-,24.8,31,7,1.93,5.29,-,-,-,27.56,79.38
40,基隆市,2013/05,基隆,2.5,0.4,-,29.0,22,17,4.5,12.83,2.04,0.127,1.916,25.81,84.23
41,新竹市,2013/05,新竹,2.7,0.44,-,28.6,32,19,3.8,15.53,2.05,0.168,1.887,26.24,75.93
42,嘉義市,2013/05,嘉義,2.4,0.31,-,25.4,43,11,1.86,9.19,1.85,0.087,1.762,27.32,76.31
43,宜蘭縣,2013/05,宜蘭,2.1,0.31,420.79,29.3,32,8,1.54,6.51,-,-,-,25.9,85.48
44,宜蘭縣,2013/05,冬山,2.2,0.34,-,23.2,22,15,4.18,10.48,-,-,-,24.68,87.96
45,桃園市,2013/05,桃園,7.0,0.63,-,27.7,36,25,4.75,20.71,2.2,0.25,1.95,26.46,77.27
46,桃園市,2013/05,中壢,5.1,1.31,-,20.8,55,53,24.35,29.0,2.71,0.584,2.124,25.56,76.39
47,桃園市,2013/05,大園,4.9,0.35,-,29.1,44,19,3.45,15.08,-,-,-,26.22,76.48
48,桃園市,2013/05,龍潭,2.4,0.42,-,29.3,48,19,3.78,15.04,-,-,-,24.86,79.16
49,桃園市,2013/05,平鎮,4.2,0.45,-,27.6,45,23,4.1,18.63,-,-,-,25.37,79.17
50,桃園市,2013/05,觀音,5.9,0.29,-,28.5,42,13,2.41,10.94,-,-,-,25.31,82.78
51,新竹縣,2013/05,竹東,2.2,0.37,-,25.9,34,15,3.28,11.36,-,-,-,25.61,80.53
52,新竹縣,2013/05,湖口,3.4,0.3,-,31.4,31,16,3.23,12.71,-,-,-,25.83,77.5
53,苗栗縣,2013/05,苗栗,2.5,0.38,-,26.8,41,17,3.28,13.5,-,-,-,26.53,76.78
54,苗栗縣,2013/05,頭份,3.3,0.37,-,28.1,33,18,3.35,14.98,2.03,0.115,1.912,26.37,76.94
55,苗栗縣,2013/05,三義,1.9,0.25,-,30.1,33,10,1.93,8.39,-,-,-,24.63,81.28
56,彰化縣,2013/05,彰化,3.8,0.38,-,25.3,42,16,2.15,13.86,1.8,0.184,1.613,26.97,75.53
57,彰化縣,2013/05,線西,3.3,0.29,-,29.5,37,13,2.2,10.94,2.11,0.26,1.852,25.96,84.52
58,彰化縣,2013/05,二林,2.5,0.23,-,27.5,49,10,1.72,8.44,-,-,-,27.21,81.76
59,南投縣,2013/05,南投,1.9,0.36,-,24.0,39,15,2.72,11.77,1.96,0.115,1.84,26.69,74.37
60,南投縣,2013/05,埔里,1.5,0.33,-,25.8,28,11,1.99,8.96,-,-,-,24.58,82.18
61,南投縣,2013/05,竹山,2.2,0.25,-,24.0,31,11,1.74,8.81,-,-,-,25.78,77.58
62,雲林縣,2013/05,斗六,3.0,0.35,-,26.2,44,13,2.09,10.69,-,-,-,26.99,76.87
63,雲林縣,2013/05,崙背,2.3,0.23,-,24.9,37,10,1.63,7.95,-,-,-,26.91,81.93
64,雲林縣,2013/05,麥寮,2.8,0.26,-,29.7,39,11,2.39,8.59,2.06,0.067,1.989,26.11,83.09
65,雲林縣,2013/05,臺西,-,0.2,-,32.4,30,8,1.65,6.82,1.93,0.048,1.877,26.68,84.83
66,嘉義縣,2013/05,朴子,2.1,0.28,-,26.1,49,11,2.2,8.45,-,-,-,27.1,78.47
67,嘉義縣,2013/05,新港,2.3,0.27,-,25.9,45,12,2.52,9.19,-,-,-,27.18,79.12
68,屏東縣,2013/05,屏東,3.0,0.43,-,26.3,43,15,2.45,12.98,2.06,0.154,1.904,27.89,76.21
69,屏東縣,2013/05,潮州,2.4,0.21,-,21.8,35,8,1.7,6.05,-,-,-,27.02,84.18
70,屏東縣,2013/05,恆春,0.9,0.1,396.12,33.3,21,2,1.01,0.92,-,-,-,25.95,78.4
71,臺東縣,2013/05,臺東,1.0,0.35,-,24.7,25,8,2.24,5.82,-,-,-,26.37,83.64
72,臺東縣,2013/05,關山,1.3,-,-,22.2,22,5,1.43,3.28,-,-,-,24.43,84.73
73,花蓮縣,2013/05,花蓮,1.2,0.4,-,23.2,23,13,3.1,10.0,-,-,-,25.76,85.52
74,澎湖縣,2013/05,馬公,1.4,0.23,-,36.4,34,7,1.74,5.14,-,-,-,25.94,82.44
75,金門縣,2013/05,金門,5.5,0.27,-,34.5,53,13,2.21,10.3,-,-,-,23.97,83.39
76,連江縣,2013/05,馬祖,3.0,0.26,-,48.4,41,7,1.47,5.33,-,-,-,21.72,92.74
,,,,,,,,,,,,,,,,
