序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1995/01,松山,7.2,1.28,14.1,56.0,62,26,35.38,-,-,-,15.44,-,-
2,臺北市,1995/01,古亭,6.0,1.4,15.6,-,64,26,37.48,2.58,0.41,2.17,15.74,-,-
3,臺北市,1995/01,中山,7.8,1.52,13.2,56.0,70,31,38.01,2.68,0.51,2.18,15.78,-,-
4,臺北市,1995/01,大同,13.1,4.51,-,82.0,244,186,57.98,4.7,2.21,2.5,16.18,-,-
5,臺北市,1995/01,萬華,7.0,1.32,15.1,50.0,54,17,36.21,-,-,-,15.73,-,-
6,臺北市,1995/01,陽明,2.0,0.29,43.5,15.0,3,0,2.48,-,-,-,9.2,-,-
7,臺北市,1995/01,士林,4.4,0.89,23.2,48.0,36,14,22.06,-,-,-,15.74,-,-
8,新北市,1995/01,板橋,9.9,1.31,13.6,63.0,62,20,41.89,2.92,0.61,2.38,15.86,-,-
9,新北市,1995/01,菜寮,7.9,1.41,14.2,60.0,59,22,37.22,-,-,-,15.76,-,-
10,新北市,1995/01,新莊,8.3,1.08,17.9,58.0,48,17,31.84,2.81,0.47,2.37,15.18,-,-
11,新北市,1995/01,新店,5.1,0.8,18.5,40.0,35,8,26.79,-,-,-,15.47,-,-
12,新北市,1995/01,淡水,3.1,0.77,27.1,48.0,26,8,18.03,-,-,-,15.19,-,-
13,新北市,1995/01,汐止,8.3,0.89,14.0,58.0,67,32,34.93,-,-,-,14.51,-,-
14,新北市,1995/01,土城,7.4,0.9,18.1,59.0,48,18,29.92,-,-,-,15.46,-,-
15,新北市,1995/01,林口,5.1,0.57,31.6,44.0,21,5,16.66,-,-,-,13.31,-,-
16,新北市,1995/01,萬里,2.2,0.33,40.1,43.0,7,1,6.2,1.95,0.05,1.77,14.88,-,-
17,臺中市,1995/01,西屯,5.8,0.72,19.6,58.0,42,17,25.8,2.58,0.39,2.19,15.94,-,-
18,臺中市,1995/01,忠明,6.9,1.21,16.2,85.0,53,19,35.68,-,-,-,16.05,-,-
19,臺中市,1995/01,豐原,8.5,1.03,15.8,71.0,53,17,35.55,-,-,-,15.17,-,-
20,臺中市,1995/01,沙鹿,9.5,0.66,20.7,69.0,36,10,26.08,-,-,-,15.74,-,-
21,臺中市,1995/01,大里,6.3,1.0,15.0,78.0,31,22,9.5,-,-,-,16.88,-,-
22,臺南市,1995/01,新營,7.9,0.66,16.7,94.0,38,12,26.83,-,-,-,16.48,-,-
23,臺南市,1995/01,善化,8.0,0.59,25.5,93.0,30,7,23.53,-,-,-,16.89,-,-
24,臺南市,1995/01,安南,7.2,0.64,17.1,95.0,39,13,25.91,-,-,-,16.99,-,-
25,臺南市,1995/01,臺南,10.0,1.07,18.9,119.0,48,15,33.44,2.63,0.43,2.2,17.83,-,-
26,高雄市,1995/01,左營,11.3,0.94,19.8,120.0,48,14,33.7,3.02,0.44,2.6,19.32,-,-
27,高雄市,1995/01,楠梓,8.6,0.73,17.6,89.0,54,17,37.13,2.42,0.35,2.07,18.67,-,-
28,高雄市,1995/01,前金,14.7,1.11,22.1,117.0,51,14,36.23,-,-,-,18.24,-,-
29,高雄市,1995/01,前鎮,17.2,-,-,124.0,77,28,49.01,3.72,1.13,2.64,18.62,-,-
30,高雄市,1995/01,小港,29.6,1.24,17.5,124.0,80,35,45.0,2.84,0.64,2.21,19.89,-,-
31,高雄市,1995/01,鳳山,31.9,1.22,18.4,144.0,75,28,47.64,-,-,-,18.3,-,-
32,高雄市,1995/01,林園,36.8,0.92,13.8,139.0,51,14,37.29,3.38,0.71,2.67,17.68,-,-
33,高雄市,1995/01,大寮,24.2,0.88,21.2,151.0,37,8,29.52,-,-,-,20.56,-,-
34,高雄市,1995/01,仁武,27.0,0.83,17.6,122.0,59,21,38.02,2.83,0.56,2.28,18.03,-,-
35,高雄市,1995/01,橋頭,9.0,0.72,19.6,114.0,43,14,29.14,2.82,0.51,2.31,18.41,-,-
36,高雄市,1995/01,美濃,4.4,0.66,32.1,122.0,27,3,23.9,-,-,-,18.35,-,-
37,基隆市,1995/01,基隆,8.5,0.95,23.1,48.0,43,14,28.67,2.65,0.42,2.23,15.03,-,-
