序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/03,松山,3.1,0.64,433.79,28.4,51,33,35.28,8.23,27.05,1.75,18.54,71.06
2,臺北市,2014/03,古亭,2.8,0.64,-,26.8,56,31,32.21,7.53,24.68,2.15,18.89,74.1
3,臺北市,2014/03,中山,3.2,0.84,-,23.6,73,40,47.02,15.15,31.87,1.79,19.45,72.85
4,臺北市,2014/03,大同,4.1,1.45,-,-,69,38,81.09,41.57,39.52,-,-,-
5,臺北市,2014/03,萬華,3.3,0.7,-,25.0,51,31,38.67,8.89,29.78,2.07,19.09,71.2
6,臺北市,2014/03,陽明,2.0,0.26,415.44,49.9,23,17,4.85,1.16,3.67,-,13.37,94.53
7,臺北市,2014/03,士林,2.8,0.48,-,34.8,51,32,23.11,4.83,18.28,2.06,18.91,71.02
8,新北市,2014/03,板橋,4.5,0.71,-,26.5,60,37,34.35,8.05,26.3,1.99,19.36,71.73
9,新北市,2014/03,三重,4.3,1.66,-,-,78,41,118.42,73.4,45.03,-,19.18,70.89
10,新北市,2014/03,菜寮,3.6,0.65,-,29.2,53,39,31.33,7.08,24.24,2.02,18.78,70.25
11,新北市,2014/03,永和,3.1,0.97,-,27.6,49,34,42.57,16.61,25.96,1.78,19.33,76.25
12,新北市,2014/03,新莊,4.4,0.69,-,29.3,54,35,32.89,8.12,24.77,2.94,18.75,72.55
13,新北市,2014/03,新店,2.6,0.52,-,34.1,45,28,22.33,4.08,18.26,1.78,19.86,70.81
14,新北市,2014/03,淡水,3.3,0.45,-,36.1,53,35,18.53,3.72,14.81,-,-,-
15,新北市,2014/03,汐止,3.9,0.52,-,25.4,47,32,31.09,8.26,22.83,1.5,18.35,79.57
16,新北市,2014/03,土城,4.1,0.64,-,30.8,56,36,30.64,7.9,22.74,1.39,18.6,72.6
17,新北市,2014/03,林口,3.5,0.41,-,36.1,50,32,19.36,3.47,15.89,2.19,16.95,78.29
18,新北市,2014/03,萬里,2.6,0.31,-,44.1,53,24,9.68,2.0,7.68,3.98,17.67,78.26
19,臺中市,2014/03,西屯,3.9,0.51,-,27.9,75,41,27.67,6.69,20.98,2.6,20.13,73.87
20,臺中市,2014/03,忠明,3.7,0.66,-,26.2,73,42,32.36,7.56,24.81,1.62,20.18,69.34
21,臺中市,2014/03,豐原,3.0,0.5,-,27.0,57,33,16.48,2.64,13.84,2.06,18.98,74.23
22,臺中市,2014/03,沙鹿,3.8,0.47,-,35.1,74,52,21.78,3.4,18.38,3.27,19.31,75.17
23,臺中市,2014/03,大里,4.0,0.62,432.3,25.5,81,42,28.65,5.32,23.33,1.72,19.91,67.71
24,臺南市,2014/03,新營,3.4,0.46,-,32.8,94,48,17.41,2.45,14.96,2.11,21.0,76.19
25,臺南市,2014/03,善化,4.6,0.43,436.29,33.0,86,42,17.69,1.58,16.09,2.62,20.02,74.33
26,臺南市,2014/03,安南,3.7,0.47,-,33.9,97,47,20.01,3.51,16.49,2.39,21.25,72.21
27,臺南市,2014/03,臺南,4.1,0.58,-,33.9,84,46,21.4,2.24,19.17,2.09,21.83,72.15
28,高雄市,2014/03,左營,5.1,0.56,-,34.5,89,50,24.05,3.81,20.24,2.06,22.09,70.04
29,高雄市,2014/03,楠梓,4.7,0.52,-,31.0,95,48,26.05,4.54,21.51,2.03,22.14,73.33
30,高雄市,2014/03,前金,5.4,0.56,-,33.3,86,52,23.37,3.35,20.01,2.12,22.39,70.71
31,高雄市,2014/03,前鎮,7.9,0.59,-,28.8,81,48,31.4,5.36,26.04,1.69,22.25,70.71
32,高雄市,2014/03,復興,7.2,0.77,-,29.0,82,42,32.83,5.52,27.31,0.85,22.91,69.7
33,高雄市,2014/03,小港,9.5,0.56,-,29.0,98,46,32.87,5.5,27.37,1.98,22.96,68.88
34,高雄市,2014/03,鳳山,6.4,0.7,-,27.5,98,49,29.11,3.9,25.21,1.72,22.88,67.71
35,高雄市,2014/03,林園,6.0,0.42,-,38.6,45,30,18.68,2.35,16.33,2.31,22.14,72.3
36,高雄市,2014/03,大寮,6.6,0.52,-,31.3,87,49,24.47,3.55,20.92,1.74,22.51,70.35
37,高雄市,2014/03,仁武,6.2,0.54,-,29.5,82,49,28.86,4.98,23.87,1.99,21.98,72.08
38,高雄市,2014/03,橋頭,4.8,0.52,-,29.9,83,46,22.14,3.29,18.85,2.4,21.79,73.61
39,高雄市,2014/03,美濃,2.4,0.41,-,33.2,76,45,12.35,2.11,10.24,1.31,22.62,70.1
40,基隆市,2014/03,基隆,2.8,0.44,-,36.5,36,23,17.58,3.42,14.15,1.34,18.64,79.25
41,新竹市,2014/03,新竹,3.3,0.54,-,32.5,58,37,23.9,4.19,19.71,2.14,18.17,79.2
42,嘉義市,2014/03,嘉義,3.7,0.53,-,28.0,86,53,20.09,2.71,17.37,2.06,20.84,72.53
43,宜蘭縣,2014/03,宜蘭,1.7,0.39,422.06,35.9,44,26,10.37,1.6,8.77,1.39,18.88,73.04
44,宜蘭縣,2014/03,冬山,2.1,0.36,-,29.2,43,23,17.47,4.74,12.73,1.67,18.48,82.57
45,桃園市,2014/03,桃園,6.8,0.61,-,31.5,59,33,28.27,5.6,22.67,1.76,18.14,76.12
46,桃園市,2014/03,中壢,5.2,1.14,-,23.1,82,38,54.13,22.5,31.63,1.43,18.08,73.07
47,桃園市,2014/03,大園,5.3,0.41,-,36.6,64,36,24.18,4.88,19.3,4.61,17.61,78.27
48,桃園市,2014/03,龍潭,2.9,0.49,-,33.8,67,28,21.57,3.8,17.77,2.73,17.56,78.98
49,桃園市,2014/03,平鎮,4.3,0.51,-,32.1,71,30,24.57,3.51,21.06,2.63,18.03,77.65
50,桃園市,2014/03,觀音,5.9,0.35,-,39.7,70,33,15.08,1.73,13.34,5.19,18.08,74.56
51,新竹縣,2014/03,竹東,2.2,0.46,-,32.4,56,31,18.6,3.12,15.49,1.89,18.35,78.22
52,新竹縣,2014/03,湖口,3.4,0.38,-,38.2,50,38,17.44,2.85,14.6,3.65,18.43,72.14
53,苗栗縣,2014/03,苗栗,3.2,0.5,-,28.3,58,40,22.96,4.18,18.77,2.22,17.84,77.16
54,苗栗縣,2014/03,頭份,3.1,0.45,-,33.1,64,39,21.16,3.56,17.6,2.28,18.17,76.65
55,苗栗縣,2014/03,三義,2.1,0.37,-,33.6,56,37,14.08,2.15,11.93,3.11,17.32,81.43
56,彰化縣,2014/03,彰化,4.5,0.56,-,29.1,74,49,21.25,2.77,18.46,1.88,19.33,72.18
57,彰化縣,2014/03,線西,4.9,0.43,-,35.8,68,40,16.16,2.28,13.87,3.71,18.94,81.72
58,彰化縣,2014/03,二林,3.9,0.39,-,37.3,81,46,14.43,2.1,12.32,2.94,20.05,75.13
59,南投縣,2014/03,南投,2.9,0.57,-,24.9,82,54,23.72,3.35,20.38,1.52,20.25,75.75
60,南投縣,2014/03,埔里,2.1,0.52,-,27.4,65,52,17.65,1.69,15.93,1.43,19.67,75.68
61,南投縣,2014/03,竹山,2.8,0.45,-,26.7,84,50,19.67,2.59,17.08,1.37,19.3,74.6
62,雲林縣,2014/03,斗六,3.8,0.48,-,29.6,80,50,19.75,2.68,17.07,1.77,20.5,72.15
63,雲林縣,2014/03,崙背,3.6,0.41,-,32.5,78,47,14.67,1.93,12.74,2.78,19.82,79.33
64,雲林縣,2014/03,麥寮,3.6,0.39,-,39.7,82,44,14.9,2.82,12.08,3.37,19.69,81.13
65,雲林縣,2014/03,臺西,4.2,0.33,-,42.4,70,42,12.25,1.6,10.62,5.17,20.05,83.96
66,嘉義縣,2014/03,朴子,3.6,0.42,-,35.3,100,54,14.98,2.07,12.91,2.13,20.52,73.12
67,嘉義縣,2014/03,新港,3.4,0.43,-,34.8,90,48,15.21,2.5,12.71,2.37,20.07,77.71
68,屏東縣,2014/03,屏東,4.0,0.56,-,35.7,87,49,20.38,2.25,18.13,1.61,22.89,68.1
69,屏東縣,2014/03,潮州,3.6,0.41,-,36.9,82,46,13.95,1.54,12.41,1.68,22.15,71.81
70,屏東縣,2014/03,恆春,1.1,0.19,406.28,48.2,36,19,2.23,0.74,1.39,6.53,21.77,77.74
71,臺東縣,2014/03,臺東,1.5,0.41,-,35.0,31,18,7.94,1.99,5.95,1.74,20.77,77.98
72,臺東縣,2014/03,關山,1.3,-,-,31.4,31,16,6.09,1.1,4.98,1.54,18.3,82.21
73,花蓮縣,2014/03,花蓮,1.5,0.47,-,28.2,38,20,14.64,2.9,11.74,2.39,20.06,77.92
74,澎湖縣,2014/03,馬公,2.0,0.32,-,49.5,50,29,6.31,1.02,5.28,4.04,19.34,74.88
75,金門縣,2014/03,金門,5.1,0.43,-,36.2,79,46,17.83,3.88,13.95,2.74,16.28,71.92
76,連江縣,2014/03,馬祖,3.9,0.39,-,47.1,66,39,10.42,1.73,8.68,3.54,13.43,80.88
,,,,,,,,,,,,,,,
