序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1996/07,松山,5.6,1.12,14.1,46.0,43,17,25.86,-,-,-,29.34,-,-
2,臺北市,1996/07,古亭,3.6,1.17,17.3,45.0,44,20,24.04,2.42,0.4,2.02,29.55,-,-
3,臺北市,1996/07,中山,5.6,1.33,15.2,47.0,51,22,29.09,-,-,-,29.71,-,-
4,臺北市,1996/07,大同,12.5,3.83,-,59.0,155,117,37.66,4.27,2.1,2.17,30.51,-,-
5,臺北市,1996/07,萬華,4.4,0.93,20.1,39.0,28,6,21.96,-,-,-,29.38,-,-
6,臺北市,1996/07,陽明,3.9,0.27,26.2,16.0,7,1,6.21,-,-,-,23.49,-,-
7,臺北市,1996/07,士林,3.2,0.79,15.4,44.0,29,11,18.5,-,-,-,29.46,-,-
8,新北市,1996/07,板橋,9.2,0.91,17.6,54.0,41,14,26.89,2.64,0.57,2.07,29.64,-,-
9,新北市,1996/07,三重,9.2,2.4,-,57.0,124,85,38.91,-,-,-,30.43,-,-
10,新北市,1996/07,菜寮,6.0,1.34,15.2,50.0,45,17,28.06,-,-,-,29.92,-,-
11,新北市,1996/07,永和,6.2,1.96,-,52.0,66,35,31.33,3.13,0.93,2.2,30.32,-,-
12,新北市,1996/07,新莊,9.9,0.8,20.6,44.0,35,13,22.36,3.18,0.14,3.03,30.08,-,-
13,新北市,1996/07,新店,2.1,0.56,24.5,34.0,16,2,13.48,-,-,-,29.07,-,-
14,新北市,1996/07,淡水,3.3,0.82,12.9,-,25,8,17.39,-,-,-,29.75,-,-
15,新北市,1996/07,汐止,6.8,0.76,16.0,48.0,42,19,22.89,-,-,-,28.63,-,-
16,新北市,1996/07,土城,6.4,0.74,20.4,45.0,31,11,20.31,-,-,-,29.51,-,-
17,新北市,1996/07,林口,7.1,0.57,21.0,49.0,27,9,18.17,-,-,-,27.6,-,-
18,新北市,1996/07,萬里,3.2,0.3,17.5,32.0,11,2,9.07,2.07,0.08,1.99,28.33,-,-
19,臺中市,1996/07,西屯,5.5,0.54,18.3,49.0,27,9,18.48,2.16,0.24,1.92,29.6,-,-
20,臺中市,1996/07,忠明,4.8,0.91,27.1,-,30,7,22.3,-,-,-,29.48,-,-
21,臺中市,1996/07,豐原,5.1,0.7,19.2,57.0,25,5,20.29,-,-,-,28.27,-,-
22,臺中市,1996/07,沙鹿,6.1,0.44,18.4,40.0,17,4,12.78,-,-,-,29.53,-,-
23,臺中市,1996/07,大里,2.6,0.63,20.4,66.0,21,4,17.09,-,-,-,29.92,-,-
24,臺南市,1996/07,新營,2.2,0.5,21.6,34.0,13,2,10.85,-,-,-,29.68,-,-
25,臺南市,1996/07,善化,3.6,0.33,18.8,26.0,11,3,8.9,-,-,-,28.77,-,-
26,臺南市,1996/07,安南,5.3,0.38,23.7,39.0,17,5,12.24,-,-,-,29.17,-,-
27,臺南市,1996/07,臺南,6.2,0.58,14.9,50.0,21,7,13.64,2.5,0.27,2.23,29.78,-,-
28,高雄市,1996/07,左營,8.4,0.65,24.0,33.0,24,9,14.95,2.63,0.25,2.38,29.62,-,-
