序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2002/05,松山,4.1,0.64,25.5,48.0,-,39,12.85,25.96,-,-,-,26.08,-,-,-
2,臺北市,2002/05,古亭,3.3,0.66,27.3,40.0,30,40,12.3,27.35,2.44,0.34,2.1,26.43,-,-,-
3,臺北市,2002/05,中山,4.1,0.91,25.4,58.0,-,41,11.51,29.86,2.55,0.34,2.21,25.5,-,-,-
4,臺北市,2002/05,大同,6.9,2.52,-,63.0,-,115,70.29,44.75,3.49,1.13,2.36,27.65,-,-,-
5,臺北市,2002/05,萬華,4.0,0.81,28.0,60.0,-,31,5.31,25.26,-,-,-,26.45,-,-,-
6,臺北市,2002/05,陽明,2.4,0.39,48.5,20.0,-,5,0.31,4.73,-,-,-,20.06,-,-,-
7,臺北市,2002/05,士林,2.8,0.64,32.1,45.0,-,29,6.7,22.65,-,-,-,25.86,-,-,-
8,新北市,2002/05,板橋,6.7,0.81,27.8,38.0,-,37,8.71,27.95,2.27,0.23,2.04,27.08,-,-,-
9,新北市,2002/05,三重,7.8,2.37,-,71.0,40,136,88.89,47.36,2.89,0.7,2.19,27.17,-,-,-
10,新北市,2002/05,菜寮,5.1,0.87,25.4,54.0,-,37,9.99,27.09,-,-,-,27.36,-,-,-
11,新北市,2002/05,永和,5.4,1.47,18.6,46.0,-,57,26.41,30.69,2.7,0.68,2.02,26.69,-,-,-
12,新北市,2002/05,新莊,7.3,0.59,29.7,55.0,-,33,7.98,25.61,2.51,0.53,1.98,26.34,-,-,-
13,新北市,2002/05,新店,1.8,0.51,27.9,36.0,-,24,5.21,18.8,-,-,-,26.74,-,-,-
14,新北市,2002/05,淡水,3.0,0.68,32.6,45.0,-,23,4.61,18.78,-,-,-,26.1,-,-,-
15,新北市,2002/05,汐止,4.0,0.67,30.5,53.0,-,31,7.19,24.02,-,-,-,25.78,-,-,-
16,新北市,2002/05,土城,4.8,0.78,28.3,44.0,-,37,10.72,25.86,-,-,-,27.3,-,-,-
17,新北市,2002/05,林口,4.6,0.39,35.4,48.0,-,25,4.56,20.3,-,-,-,25.16,-,-,-
18,新北市,2002/05,萬里,1.4,0.45,40.0,35.0,-,9,1.35,7.87,2.01,0.04,1.96,24.79,-,-,-
