序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2003/04,松山,2.9,0.84,398.6,27.4,56,-,38.25,12.12,26.13,-,-,-,23.23,-,-,-
2,臺北市,2003/04,古亭,2.5,0.87,-,26.7,50,28,36.15,10.67,25.48,2.649,0.45,2.2,23.42,-,-,-
3,臺北市,2003/04,中山,3.4,0.94,-,23.3,67,-,49.29,15.62,33.67,2.717,0.46,2.26,24.0,-,-,-
4,臺北市,2003/04,大同,7.6,2.9,-,-,79,-,153.53,99.36,54.16,4.072,1.53,2.54,24.69,-,-,-
5,臺北市,2003/04,萬華,4.1,1.03,-,27.7,60,-,30.25,7.46,22.78,-,-,-,23.91,-,-,-
6,臺北市,2003/04,陽明,1.1,0.35,373.88,47.0,18,-,6.33,1.14,5.21,-,-,-,18.03,-,-,-
7,臺北市,2003/04,士林,1.7,0.69,-,30.9,44,-,28.61,6.45,22.18,-,-,-,23.09,-,-,-
8,新北市,2003/04,板橋,5.2,0.99,-,30.0,60,-,36.98,9.31,27.67,2.466,0.5,1.96,-,-,-,-
9,新北市,2003/04,三重,5.7,2.3,-,-,80,-,152.1,96.76,55.34,3.547,1.35,2.19,-,-,-,-
10,新北市,2003/04,菜寮,4.5,1.04,-,23.6,68,-,45.07,13.51,31.56,-,-,-,24.24,-,-,-
11,新北市,2003/04,永和,4.8,1.67,-,20.9,67,-,58.99,26.91,32.07,2.996,0.81,2.19,-,-,-,-
12,新北市,2003/04,新莊,5.6,0.79,-,30.4,71,-,36.42,9.59,27.15,2.784,0.92,1.87,23.39,-,-,-
13,新北市,2003/04,新店,1.8,0.65,-,29.9,44,-,22.97,3.78,19.09,-,-,-,24.0,-,-,-
14,新北市,2003/04,淡水,2.1,0.76,-,34.9,48,-,25.76,6.94,18.82,-,-,-,23.01,-,-,-
15,新北市,2003/04,汐止,2.2,0.72,-,21.4,51,-,34.91,8.91,26.14,-,-,-,23.08,-,-,-
16,新北市,2003/04,土城,4.3,0.83,-,25.0,46,-,36.11,10.31,26.13,-,-,-,24.64,-,-,-
17,新北市,2003/04,林口,3.4,0.48,-,34.1,48,-,22.13,3.08,19.07,-,-,-,22.15,-,-,-
18,新北市,2003/04,萬里,1.3,0.35,-,42.5,47,-,9.47,1.33,8.18,3.016,0.25,2.76,22.5,-,-,-
19,臺中市,2003/04,西屯,3.4,0.72,-,25.2,74,-,28.1,10.39,17.71,2.481,0.47,2.01,23.58,-,-,-
20,臺中市,2003/04,忠明,3.6,1.0,-,24.5,73,44,36.72,10.26,26.47,-,-,-,24.64,-,-,-
21,臺中市,2003/04,豐原,3.0,0.93,-,24.9,63,-,30.27,6.39,23.88,-,-,-,22.67,-,-,-
22,臺中市,2003/04,沙鹿,4.0,0.62,-,26.9,52,-,22.1,3.8,18.41,-,-,-,22.91,-,-,-
23,臺中市,2003/04,大里,3.1,0.93,-,25.2,88,-,33.4,8.62,24.79,-,-,-,24.14,-,-,-
24,臺南市,2003/04,新營,2.6,0.59,-,27.9,55,-,19.27,3.13,16.5,2.654,0.34,2.32,24.63,-,-,-
25,臺南市,2003/04,善化,2.8,0.43,-,26.6,62,-,-,-,-,-,-,-,24.78,-,-,-
26,臺南市,2003/04,安南,3.0,0.61,-,30.2,60,-,20.59,4.25,16.4,-,-,-,25.86,-,-,-
27,臺南市,2003/04,臺南,3.2,0.75,-,33.1,44,-,20.05,2.65,17.53,-,-,-,25.19,-,-,-
28,高雄市,2003/04,左營,4.6,0.71,-,31.2,72,-,23.92,4.11,19.83,2.492,0.29,2.21,25.61,-,-,-
29,高雄市,2003/04,楠梓,3.4,0.65,-,25.2,70,-,23.58,5.78,17.81,2.844,0.38,2.47,25.8,-,-,-
30,高雄市,2003/04,前金,4.0,0.61,-,33.9,62,-,23.08,3.7,19.38,-,-,-,25.86,-,-,-
31,高雄市,2003/04,前鎮,8.4,-,-,-,78,-,32.31,7.22,25.1,2.543,0.35,2.19,26.49,-,-,-
32,高雄市,2003/04,復興,9.0,1.03,-,-,88,-,37.19,10.14,27.05,2.967,0.42,2.54,27.36,-,-,-
33,高雄市,2003/04,小港,8.6,0.7,-,25.8,69,-,31.6,7.23,24.41,2.802,0.34,2.46,25.94,-,-,-
34,高雄市,2003/04,鳳山,8.8,0.81,-,32.1,74,42,34.14,13.19,20.94,-,-,-,25.14,-,-,-
35,高雄市,2003/04,林園,6.6,0.61,-,34.1,70,31,16.73,3.08,13.69,2.872,0.53,2.34,26.38,-,-,-
36,高雄市,2003/04,大寮,7.6,0.7,-,27.1,77,-,22.93,4.02,20.02,-,-,-,26.21,-,-,-
37,高雄市,2003/04,仁武,9.3,0.65,-,23.9,77,-,30.04,7.53,22.51,2.786,0.35,2.44,25.69,-,-,-
38,高雄市,2003/04,橋頭,3.9,0.6,-,25.7,79,-,25.62,4.67,20.94,2.663,0.33,2.33,25.88,-,-,-
39,高雄市,2003/04,美濃,1.8,0.52,-,35.3,61,-,12.12,1.25,10.91,-,-,-,25.51,-,-,-
40,基隆市,2003/04,基隆,3.5,0.66,-,34.1,49,-,23.39,4.55,18.84,2.628,0.39,2.24,23.01,-,-,-
41,新竹市,2003/04,新竹,3.9,0.7,-,24.1,48,-,23.53,4.49,19.04,2.538,0.37,2.16,23.56,-,-,-
