序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2009/07,松山,3.7,0.5,402.42,20.9,36,25,29.43,9.53,19.9,1.98,0.239,1.741,30.13,66.24
2,臺北市,2009/07,古亭,3.3,0.56,-,18.5,40,22,27.92,9.39,18.54,2.02,0.217,1.802,30.44,71.92
3,臺北市,2009/07,中山,4.2,0.71,-,15.9,42,29,39.5,14.88,24.62,2.231,0.304,1.928,30.86,67.92
4,臺北市,2009/07,萬華,3.1,0.55,-,20.8,38,21,23.52,6.31,17.2,-,-,-,30.29,69.3
5,臺北市,2009/07,陽明,2.5,0.14,387.4,26.0,15,12,6.05,1.44,4.6,-,-,-,22.63,90.21
6,臺北市,2009/07,士林,3.6,0.36,-,21.1,44,17,20.09,4.99,15.1,-,-,-,30.08,68.75
7,新北市,2009/07,板橋,5.4,0.54,-,20.1,39,21,28.86,8.19,20.67,2.321,0.32,2.001,30.48,64.83
8,新北市,2009/07,三重,4.9,1.7,-,-,49,29,113.6,78.94,34.65,2.423,0.777,1.647,30.92,73.83
9,新北市,2009/07,菜寮,4.7,0.65,-,19.1,32,16,31.38,10.92,20.46,-,-,-,30.7,64.71
10,新北市,2009/07,永和,4.0,1.05,-,15.6,34,22,42.34,19.84,22.5,-,-,-,30.52,66.61
11,新北市,2009/07,新莊,9.3,0.45,-,19.2,32,20,25.66,7.27,18.39,-,-,-,29.98,67.4
12,新北市,2009/07,新店,2.6,0.33,-,22.5,27,12,17.04,3.47,13.58,-,-,-,29.73,73.49
13,新北市,2009/07,淡水,3.4,0.27,-,16.5,27,13,14.82,3.63,11.19,-,-,-,-,-
14,新北市,2009/07,汐止,3.5,0.39,-,21.0,31,18,21.75,6.58,15.17,-,-,-,29.72,75.53
15,新北市,2009/07,土城,4.3,0.44,-,21.4,35,17,25.81,8.75,17.05,2.15,0.256,1.894,30.33,69.84
16,新北市,2009/07,林口,5.3,0.29,-,18.6,36,17,21.14,5.22,15.92,-,-,-,28.88,71.09
17,新北市,2009/07,萬里,2.9,0.19,-,22.5,28,14,10.11,1.96,8.15,-,-,-,28.46,80.07
18,臺中市,2009/07,西屯,4.1,0.25,-,21.7,48,25,18.13,5.1,13.03,1.967,0.179,1.788,28.94,68.16
19,臺中市,2009/07,忠明,3.8,0.4,-,22.7,40,25,20.94,5.02,15.92,1.781,0.203,1.579,29.19,71.67
20,臺中市,2009/07,豐原,3.3,0.38,-,23.6,46,25,14.72,2.23,12.49,1.814,0.149,1.665,29.22,73.5
21,臺中市,2009/07,沙鹿,4.3,0.24,-,21.0,27,15,14.72,3.21,11.51,-,-,-,28.8,73.72
22,臺中市,2009/07,大里,2.9,0.31,411.06,24.1,42,29,15.51,3.61,11.91,1.697,0.192,1.505,30.63,71.2
23,臺南市,2009/07,新營,2.8,0.23,-,21.6,38,18,11.41,3.06,8.35,2.038,0.078,1.961,29.79,76.01
24,臺南市,2009/07,善化,3.6,0.18,406.75,21.7,34,17,12.0,3.7,8.3,-,-,-,28.89,77.52
25,臺南市,2009/07,安南,3.5,0.23,-,21.6,38,20,13.18,3.97,9.21,1.818,0.173,1.656,30.15,74.62
26,臺南市,2009/07,臺南,4.0,0.29,-,23.2,34,21,13.76,3.21,10.55,1.749,0.151,1.598,29.59,77.23
27,高雄市,2009/07,左營,5.0,0.32,-,20.6,33,19,15.14,4.12,11.02,1.748,0.142,1.607,29.54,76.97
28,高雄市,2009/07,楠梓,6.5,0.27,-,21.4,42,23,18.79,6.21,12.57,1.813,0.221,1.592,29.96,74.12
29,高雄市,2009/07,前金,5.7,0.29,-,21.8,38,22,17.22,5.46,11.76,1.957,0.132,1.824,30.07,74.33
30,高雄市,2009/07,前鎮,8.2,0.3,-,17.9,35,18,21.48,6.18,15.29,-,-,-,30.13,76.54
31,高雄市,2009/07,復興,7.0,0.47,-,19.7,32,19,21.67,6.36,15.31,-,-,-,29.53,79.93
32,高雄市,2009/07,小港,10.8,0.3,-,17.9,42,25,21.67,7.59,14.08,1.835,0.169,1.696,30.35,76.33
33,高雄市,2009/07,鳳山,4.7,0.44,-,18.8,47,24,18.35,5.94,12.41,1.886,0.191,1.702,29.55,76.54
34,高雄市,2009/07,林園,3.9,0.16,-,25.6,41,20,8.15,1.38,6.75,1.865,0.05,1.826,29.79,80.64
35,高雄市,2009/07,大寮,3.6,0.23,-,23.6,40,24,11.85,2.17,9.66,-,-,-,29.28,80.12
36,高雄市,2009/07,仁武,6.3,0.27,-,18.1,35,27,17.57,4.89,12.68,1.868,0.127,1.742,29.93,76.72
37,高雄市,2009/07,橋頭,5.7,0.26,-,21.0,37,15,15.44,4.37,11.07,-,-,-,29.37,79.87
38,高雄市,2009/07,美濃,2.6,0.2,-,26.8,36,19,8.36,1.87,6.49,-,-,-,29.98,81.01
39,基隆市,2009/07,基隆,3.6,0.34,-,17.3,23,15,18.4,5.48,12.92,1.716,0.143,1.573,27.58,72.69
40,新竹市,2009/07,新竹,2.5,0.37,-,19.4,28,20,16.91,3.74,13.17,1.986,0.152,1.834,30.36,71.03
41,嘉義市,2009/07,嘉義,3.3,0.25,-,24.1,35,24,11.72,1.74,9.98,1.918,0.101,1.817,29.68,71.0
42,宜蘭縣,2009/07,宜蘭,2.7,0.24,401.17,23.0,34,15,8.18,1.6,6.57,-,-,-,30.26,75.46
43,宜蘭縣,2009/07,冬山,3.1,0.33,-,19.5,36,11,14.11,4.17,9.94,-,-,-,29.51,74.86
44,桃園市,2009/07,桃園,10.1,0.43,-,21.3,45,24,23.19,5.52,17.68,1.968,0.216,1.752,30.37,71.05
45,桃園市,2009/07,中壢,6.0,1.12,-,16.2,53,28,46.94,23.86,23.08,2.461,0.533,1.927,29.39,77.25
46,桃園市,2009/07,大園,3.8,0.25,-,20.4,30,22,16.79,4.21,12.57,-,-,-,30.41,69.76
47,桃園市,2009/07,龍潭,3.5,0.33,-,25.0,44,21,18.76,4.31,14.45,-,-,-,28.35,78.82
48,桃園市,2009/07,平鎮,4.8,0.31,-,20.2,46,18,21.11,4.79,16.32,-,-,-,29.79,70.21
49,桃園市,2009/07,觀音,3.6,0.18,-,21.6,39,17,11.96,2.89,9.07,-,-,-,29.87,75.62
50,新竹縣,2009/07,竹東,3.0,0.28,-,23.6,36,19,13.05,3.43,9.62,-,-,-,29.32,72.15
51,新竹縣,2009/07,湖口,3.7,0.22,-,21.2,31,20,15.12,4.68,10.44,-,-,-,29.4,70.71
52,苗栗縣,2009/07,苗栗,3.3,0.29,-,20.8,29,19,14.38,3.4,10.99,-,-,-,30.3,68.53
53,苗栗縣,2009/07,頭份,4.2,0.23,-,19.8,32,17,14.91,3.23,11.68,-,-,-,29.46,73.29
54,苗栗縣,2009/07,三義,2.7,0.21,-,25.2,41,24,12.26,2.19,10.06,-,-,-,26.69,80.64
55,彰化縣,2009/07,彰化,3.9,0.27,-,19.3,39,26,17.65,5.11,12.55,1.879,0.126,1.753,30.38,70.83
56,彰化縣,2009/07,線西,3.1,0.16,-,22.9,29,16,8.46,2.19,6.26,-,-,-,30.04,75.2
57,彰化縣,2009/07,二林,2.3,0.13,-,20.6,30,26,8.23,2.13,6.09,-,-,-,29.88,73.92
58,南投縣,2009/07,南投,3.2,0.3,-,23.4,33,18,13.76,3.23,10.52,-,-,-,29.17,73.08
59,南投縣,2009/07,埔里,2.9,0.25,-,29.2,32,22,10.65,2.05,8.6,-,-,-,27.63,71.81
60,南投縣,2009/07,竹山,2.5,0.23,-,25.4,32,21,10.47,2.09,8.37,-,-,-,28.14,79.6
61,雲林縣,2009/07,斗六,3.1,0.26,-,24.9,37,25,13.45,3.13,10.31,-,-,-,30.15,71.32
62,雲林縣,2009/07,崙背,2.8,0.14,-,21.1,36,24,9.52,3.54,5.98,-,-,-,28.84,78.2
63,雲林縣,2009/07,臺西,4.1,0.08,-,19.8,24,16,11.15,3.83,7.32,-,-,-,29.26,80.04
64,嘉義縣,2009/07,朴子,2.7,0.22,-,21.8,38,20,10.13,2.06,8.06,-,-,-,29.49,75.21
65,嘉義縣,2009/07,新港,2.9,0.18,-,22.8,38,23,11.06,3.33,7.73,-,-,-,29.3,70.44
66,屏東縣,2009/07,屏東,3.2,0.36,-,22.0,41,22,13.59,2.18,11.4,1.987,0.164,1.823,29.66,73.34
67,屏東縣,2009/07,潮州,3.4,0.18,-,24.2,41,20,8.29,2.07,6.22,-,-,-,29.25,77.48
68,屏東縣,2009/07,恆春,1.7,0.05,378.43,21.1,16,6,3.33,1.69,1.64,-,-,-,28.6,87.8
69,臺東縣,2009/07,臺東,1.7,0.28,-,16.9,23,9,8.19,3.58,4.61,-,-,-,29.38,78.81
70,臺東縣,2009/07,關山,1.9,-,-,16.1,22,11,4.74,1.6,3.14,-,-,-,28.6,75.46
71,花蓮縣,2009/07,花蓮,2.5,0.3,-,14.5,23,17,10.25,3.15,7.1,-,-,-,29.32,80.4
72,澎湖縣,2009/07,馬公,2.7,0.14,-,23.4,20,9,6.33,1.72,4.6,-,-,-,29.05,79.84
73,金門縣,2009/07,金門,3.0,0.16,-,19.1,30,14,10.08,3.37,6.69,-,-,-,28.94,83.27
74,連江縣,2009/07,馬祖,2.9,0.14,-,24.7,29,12,5.4,1.67,3.73,-,-,-,27.98,85.99
,,,,,,,,,,,,,,,,,
