序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/11,松山,2.3,0.39,428.07,25.5,27,12,24.56,5.54,19.02,1.905,0.124,1.781,1.74,1.35,22.12,-,-,78.93,-
2,臺北市,2018/11,古亭,1.9,0.39,-,29.1,30,16,21.08,4.23,16.85,2.025,0.112,1.913,2.23,1.95,22.8,-,-,76.92,-
3,臺北市,2018/11,中山,2.4,0.54,-,23.5,30,13,30.91,7.95,22.96,1.997,0.157,1.841,2.01,1.63,22.81,-,-,81.56,-
4,臺北市,2018/11,大同,2.7,1,-,-,36,13,61.26,31.29,29.97,2.273,0.297,1.976,-,-,-,-,-,-,-
5,臺北市,2018/11,萬華,2,0.44,-,24.6,26,12,26.7,5.49,21.21,-,-,-,2.15,1.82,23.19,-,-,75.29,-
6,臺北市,2018/11,陽明,1.5,0.17,416.58,41.3,12,6,2.32,0.44,1.86,-,-,-,-,-,16.32,1.14,4.44,96.92,61.45
7,臺北市,2018/11,士林,1.9,0.3,-,32.4,25,12,13.41,2.71,10.71,-,-,-,2.12,1.85,23.58,-,-,75.69,-
8,新北市,2018/11,板橋,2.5,0.48,-,25.9,29,16,23.45,3.77,19.67,2.122,0.181,1.94,2.14,1.76,23.05,1.03,4.38,74.31,41.04
9,新北市,2018/11,三重,3.2,1.17,-,-,43,12,85.85,52.51,33.34,2.277,0.369,1.908,-,-,23.41,-,-,75.35,-
10,新北市,2018/11,菜寮,2.3,0.45,-,24.2,29,10,19.81,3.28,16.53,-,-,-,2.44,2.13,22.97,-,-,74.42,-
11,新北市,2018/11,永和,2.1,0.57,-,29.2,23,12,23.85,6.77,17.08,2.015,0.167,1.848,1.86,1.62,22.52,-,-,76.47,-
12,新北市,2018/11,新莊,2.5,0.41,-,30.5,28,11,20.02,4.03,15.99,-,-,-,2.89,2.67,23.19,-,-,69.74,-
13,新北市,2018/11,新店,1.7,0.34,-,29.9,23,11,14.31,2.45,11.85,-,-,-,1.75,1.37,23.25,-,-,76.06,-
14,新北市,2018/11,淡水,2.1,0.29,-,34.1,24,12,9.31,1.66,7.65,-,-,-,-,-,-,-,-,-,-
15,新北市,2018/11,汐止,2.6,0.35,-,28.4,21,10,20.51,4.55,15.96,-,-,-,1.76,1.52,22.32,-,-,83.93,-
16,新北市,2018/11,土城,2.1,0.41,-,30.1,28,18,18.33,3.37,14.95,1.989,0.147,1.842,1.34,0.73,23.11,-,-,74.32,-
17,新北市,2018/11,林口,2.1,0.29,-,35.3,34,10,14.44,2.88,11.55,-,-,-,2.84,2.45,20.86,-,-,84.25,-
18,新北市,2018/11,富貴角,0.7,0.16,-,43,38,12,3.34,0.69,2.71,1.884,0.018,1.865,6.05,5.73,22.55,-,-,81.64,-
19,新北市,2018/11,萬里,2.8,0.21,-,40.2,40,12,6.28,1.57,4.7,-,-,-,4.06,3.78,22.2,1.22,3.78,83.48,171.23
20,臺中市,2018/11,西屯,2.5,0.39,-,29,47,24,20.13,3.5,16.64,2.075,0.191,1.884,2.29,2.03,22.69,0.61,5.63,76.16,23.72
21,臺中市,2018/11,忠明,2.4,0.47,-,25.8,41,23,25.48,5.3,20.18,1.977,0.185,1.791,1.75,1.3,23.39,-,-,72.79,-
22,臺中市,2018/11,豐原,1.9,0.37,-,29.7,39,20,14.21,2.17,12.04,1.921,0.148,1.773,1.47,1.15,21.88,-,-,74.09,-
23,臺中市,2018/11,沙鹿,2.6,0.39,-,30.1,39,21,18.82,2.64,16.17,-,-,-,3.23,2.92,23.16,-,-,77.22,-
