序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2013/07,松山,3.1,0.42,427.75,23.6,28,23,4.98,17.74,2.02,0.196,1.827,29.61,66.31
2,臺北市,2013/07,古亭,2.7,0.48,-,22.1,36,24,6.63,16.93,1.93,0.176,1.757,29.44,74.04
3,臺北市,2013/07,中山,3.3,0.63,-,18.8,48,32,10.25,21.85,2.1,0.244,1.858,30.44,66.41
4,臺北市,2013/07,大同,4.1,1.8,-,-,43,69,40.71,27.95,2.55,0.591,1.961,-,-
5,臺北市,2013/07,萬華,3.1,0.55,-,20.1,33,27,6.41,20.68,-,-,-,30.28,67.7
6,臺北市,2013/07,陽明,2.0,0.12,407.17,30.2,14,6,1.3,4.44,-,-,-,23.56,91.02
7,臺北市,2013/07,士林,3.1,0.39,-,25.4,37,20,4.21,15.66,-,-,-,30.01,72.3
8,新北市,2013/07,板橋,4.5,0.51,-,22.9,34,26,6.38,19.33,2.12,0.288,1.833,30.2,66.59
9,新北市,2013/07,三重,3.8,1.47,-,-,49,95,61.31,33.83,2.55,0.599,1.953,29.81,66.34
10,新北市,2013/07,菜寮,3.6,0.5,-,24.2,32,24,5.4,18.53,-,-,-,29.91,66.11
11,新北市,2013/07,永和,2.8,0.88,-,18.7,31,34,13.45,20.49,2.19,0.321,1.868,30.13,73.39
12,新北市,2013/07,新莊,6.9,0.46,-,24.7,37,24,4.91,19.4,-,-,-,29.78,68.74
13,新北市,2013/07,新店,2.2,0.33,-,28.2,29,14,3.26,10.87,-,-,-,28.75,69.24
14,新北市,2013/07,淡水,3.0,0.3,-,23.3,28,15,3.13,11.48,-,-,-,-,-
15,新北市,2013/07,汐止,4.6,0.35,-,19.4,29,24,8.34,15.58,-,-,-,29.87,71.8
16,新北市,2013/07,土城,3.8,0.43,-,25.6,38,24,7.3,17.01,2.07,0.235,1.834,29.44,72.93
17,新北市,2013/07,林口,4.0,0.28,-,22.6,30,19,4.11,14.87,-,-,-,28.29,74.08
18,新北市,2013/07,萬里,2.7,0.18,-,26.4,28,9,2.07,7.24,-,-,-,28.07,73.45
19,臺中市,2013/07,西屯,2.6,0.27,-,24.0,36,17,3.67,13.18,1.91,0.177,1.734,28.98,73.87
20,臺中市,2013/07,忠明,2.7,0.37,-,28.6,28,17,3.46,13.82,1.9,0.138,1.761,29.37,69.83
21,臺中市,2013/07,豐原,4.6,0.27,-,26.9,37,10,2.3,7.43,1.89,0.109,1.784,27.62,74.22
22,臺中市,2013/07,沙鹿,3.3,0.24,-,24.4,33,14,2.53,11.23,-,-,-,29.05,73.6
23,臺中市,2013/07,大里,2.9,0.35,424.78,27.9,36,15,3.22,12.09,1.93,0.182,1.743,29.1,70.62
24,臺南市,2013/07,新營,2.9,0.24,-,23.8,43,11,1.97,8.87,1.98,0.074,1.907,29.05,76.09
25,臺南市,2013/07,善化,3.9,0.17,425.77,23.5,33,10,2.09,7.96,-,-,-,28.14,76.14
26,臺南市,2013/07,安南,3.6,0.23,-,23.2,41,14,3.11,10.43,1.93,0.145,1.788,29.75,71.34
27,臺南市,2013/07,臺南,3.6,0.31,-,23.8,36,12,2.2,9.94,1.86,0.155,1.699,29.69,75.42
28,高雄市,2013/07,左營,5.2,0.33,-,20.6,40,19,5.98,12.69,1.99,0.167,1.821,29.55,74.03
29,高雄市,2013/07,楠梓,4.7,0.28,-,21.5,40,18,5.05,12.62,1.9,0.162,1.736,29.56,73.82
30,高雄市,2013/07,前金,5.8,0.32,-,19.0,34,17,4.32,12.21,1.94,0.152,1.784,29.88,71.79
31,高雄市,2013/07,前鎮,7.7,0.31,-,16.6,33,21,5.75,15.15,2.05,0.236,1.811,29.45,70.7
32,高雄市,2013/07,復興,6.5,0.5,-,15.4,32,22,6.19,15.73,2.14,0.257,1.885,29.61,72.68
33,高雄市,2013/07,小港,8.3,0.31,-,18.2,37,20,5.79,14.25,1.98,0.208,1.768,30.35,71.85
34,高雄市,2013/07,鳳山,4.2,0.43,-,18.4,43,17,3.23,13.34,2.12,0.227,1.893,30.61,68.96
35,高雄市,2013/07,林園,3.0,0.14,-,20.7,22,7,1.45,5.92,1.94,0.043,1.902,28.78,72.92
36,高雄市,2013/07,大寮,3.7,0.22,-,17.8,37,13,2.84,9.78,1.97,0.136,1.839,29.19,74.59
37,高雄市,2013/07,仁武,5.7,0.28,-,19.2,38,19,4.46,14.17,2.02,0.154,1.867,29.44,74.14
38,高雄市,2013/07,橋頭,3.7,0.23,-,21.5,35,13,3.11,10.36,-,-,-,29.4,75.79
39,高雄市,2013/07,美濃,1.2,0.17,-,24.6,26,6,1.69,4.3,-,-,-,28.59,75.5
40,基隆市,2013/07,基隆,2.8,0.27,-,21.5,20,14,3.22,10.67,1.9,0.113,1.783,29.95,71.59
41,新竹市,2013/07,新竹,2.6,0.32,-,24.0,30,15,3.29,11.82,1.85,0.133,1.712,29.26,71.95
42,嘉義市,2013/07,嘉義,2.4,0.28,-,25.1,35,10,1.64,8.44,1.88,0.106,1.771,29.0,71.84
43,宜蘭縣,2013/07,宜蘭,3.1,0.2,413.82,20.1,31,7,2.01,5.24,-,-,-,30.35,75.36
44,宜蘭縣,2013/07,冬山,2.6,0.22,-,17.3,25,13,5.23,8.27,-,-,-,29.36,75.6
45,桃園市,2013/07,桃園,8.6,0.41,-,24.8,39,21,4.08,16.84,2.09,0.199,1.889,29.24,73.7
46,桃園市,2013/07,中壢,4.3,0.99,-,18.7,47,41,19.39,21.35,2.42,0.436,1.981,28.98,70.41
47,桃園市,2013/07,大園,2.4,0.24,-,25.4,38,16,3.64,12.08,-,-,-,29.75,76.02
48,桃園市,2013/07,龍潭,2.5,0.27,-,27.7,40,14,3.01,10.74,-,-,-,28.04,75.24
49,桃園市,2013/07,平鎮,4.3,0.28,-,25.1,41,17,3.27,13.45,-,-,-,29.17,73.76
50,桃園市,2013/07,觀音,4.5,0.18,-,24.5,39,10,2.37,7.36,-,-,-,29.59,77.53
51,新竹縣,2013/07,竹東,2.1,0.22,-,27.3,28,8,1.91,6.52,-,-,-,28.4,75.69
52,新竹縣,2013/07,湖口,3.2,0.19,-,25.6,26,13,3.28,10.1,-,-,-,29.1,72.09
53,苗栗縣,2013/07,苗栗,2.5,0.25,-,25.2,33,12,2.47,9.18,-,-,-,29.64,71.88
54,苗栗縣,2013/07,頭份,3.0,0.22,-,24.8,27,12,2.57,9.04,1.93,0.075,1.852,29.16,74.1
55,苗栗縣,2013/07,三義,2.0,0.17,-,26.8,31,9,1.9,6.94,-,-,-,26.89,76.3
56,彰化縣,2013/07,彰化,3.8,0.29,-,25.8,34,11,1.46,9.91,1.75,0.142,1.607,29.31,71.31
57,彰化縣,2013/07,線西,2.7,0.21,-,20.3,33,11,2.8,8.61,1.98,0.159,1.819,28.64,79.46
58,彰化縣,2013/07,二林,3.0,0.16,-,23.5,46,9,1.8,6.92,-,-,-,30.05,76.76
59,南投縣,2013/07,南投,1.9,0.28,-,27.1,36,11,1.81,8.74,1.91,0.097,1.814,28.23,75.39
60,南投縣,2013/07,埔里,1.8,0.25,-,26.2,25,9,1.65,7.28,-,-,-,26.48,77.38
