序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2001/04,松山,3.3,0.93,22.0,46.0,-,48,15.31,33.18,-,-,-,21.78,-,-,-
2,臺北市,2001/04,古亭,2.9,1.0,24.2,51.0,25,47,15.81,31.29,2.28,0.39,1.89,22.79,-,-,-
3,臺北市,2001/04,中山,3.2,1.07,22.6,72.0,-,53,17.65,35.38,2.76,0.52,2.24,22.05,-,-,-
4,臺北市,2001/04,大同,5.7,3.01,-,73.0,-,154,99.35,54.57,4.06,1.56,2.49,22.61,-,-,-
5,臺北市,2001/04,萬華,3.3,1.12,27.4,56.0,-,44,10.13,33.58,-,-,-,22.23,-,-,-
6,臺北市,2001/04,陽明,1.1,0.29,-,22.0,-,3,0.36,2.64,-,-,-,17.1,-,-,-
7,臺北市,2001/04,士林,2.2,0.87,29.0,55.0,-,38,9.8,27.57,-,-,-,21.78,-,-,-
8,新北市,2001/04,板橋,5.7,0.97,24.0,62.0,-,45,12.21,32.82,2.75,0.55,2.21,22.07,-,-,-
9,新北市,2001/04,三重,4.8,2.75,-,83.0,40,154,103.61,50.54,3.25,1.12,2.13,22.3,-,-,-
10,新北市,2001/04,菜寮,4.5,1.14,23.3,67.0,-,51,18.0,32.6,-,-,-,21.91,-,-,-
11,新北市,2001/04,永和,4.2,1.67,17.2,74.0,-,72,36.17,35.71,2.93,0.7,2.24,22.29,-,-,-
12,新北市,2001/04,新莊,4.8,0.87,29.1,60.0,-,41,11.82,29.28,2.56,0.58,1.98,21.89,-,-,-
13,新北市,2001/04,新店,2.3,0.75,28.4,48.0,-,29,5.38,23.92,-,-,-,22.04,-,-,-
14,新北市,2001/04,淡水,2.1,0.79,28.3,50.0,-,26,5.29,20.98,-,-,-,21.45,-,-,-
