序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2010/02,松山,5.6,0.9,422.89,18.0,55,37,56.57,26.55,30.02,2.264,0.375,1.889,18.69,77.94
2,臺北市,2010/02,古亭,3.6,0.85,-,21.0,54,33,44.02,15.57,28.45,2.286,0.313,1.973,17.94,82.13
3,臺北市,2010/02,中山,4.2,1.08,-,16.6,64,38,61.46,27.95,33.51,2.577,0.432,2.144,18.32,79.63
4,臺北市,2010/02,萬華,3.6,0.95,-,16.0,48,34,51.54,18.93,32.61,-,-,-,17.85,82.81
5,臺北市,2010/02,陽明,2.0,0.29,391.92,41.6,14,12,4.87,1.03,3.81,-,-,-,11.72,92.04
6,臺北市,2010/02,士林,3.1,0.7,-,25.8,52,28,32.3,10.5,21.8,-,-,-,17.59,80.57
7,新北市,2010/02,板橋,5.4,0.93,-,23.4,52,35,44.46,15.08,29.37,2.662,0.513,2.148,17.87,76.88
8,新北市,2010/02,三重,5.7,2.26,-,-,79,42,156.85,111.12,45.73,2.972,0.955,2.016,17.55,77.94
9,新北市,2010/02,菜寮,4.4,1.07,-,20.8,52,31,53.87,23.58,30.29,-,-,-,17.71,79.07
10,新北市,2010/02,永和,4.1,1.32,-,17.7,55,37,62.45,32.68,29.77,2.66,0.562,2.097,18.18,79.23
11,新北市,2010/02,新莊,5.7,0.83,-,24.4,50,35,41.32,15.43,25.88,-,-,-,17.01,81.62
12,新北市,2010/02,新店,2.9,0.6,-,24.3,38,30,30.31,7.52,22.8,-,-,-,17.58,84.27
13,新北市,2010/02,淡水,2.9,0.57,-,29.0,39,26,23.84,6.91,16.92,-,-,-,-,-
14,新北市,2010/02,汐止,4.2,0.72,-,22.7,40,31,43.66,19.53,24.13,-,-,-,17.95,88.73
15,新北市,2010/02,土城,4.8,0.8,-,22.3,51,33,41.01,15.56,25.45,2.396,0.394,2.002,17.9,81.3
16,新北市,2010/02,林口,3.6,0.49,-,31.3,48,25,23.4,5.75,17.65,-,-,-,16.02,85.61
17,新北市,2010/02,萬里,2.0,0.37,-,35.5,44,21,11.36,2.45,8.91,-,-,-,17.05,89.64
18,臺中市,2010/02,西屯,2.9,0.54,-,23.9,54,36,28.89,8.94,19.95,2.14,0.256,1.884,18.45,79.9
19,臺中市,2010/02,忠明,3.2,0.77,-,20.6,51,36,37.38,12.13,25.26,2.183,0.341,1.842,18.95,77.79
20,臺中市,2010/02,豐原,3.4,0.69,-,20.6,53,30,27.8,7.04,20.76,1.993,0.261,1.732,17.86,79.44
21,臺中市,2010/02,沙鹿,3.3,0.52,-,27.2,47,36,21.16,4.27,16.89,-,-,-,18.02,83.97
22,臺中市,2010/02,大里,3.4,0.74,430.38,17.1,50,39,36.08,9.81,26.26,2.015,0.339,1.676,19.19,76.44
23,臺南市,2010/02,新營,3.1,0.48,-,21.6,68,40,23.4,5.29,18.11,2.202,0.135,2.067,20.16,80.53
24,臺南市,2010/02,善化,4.6,0.41,417.38,21.7,65,36,21.67,5.65,16.02,-,-,-,19.71,83.4
25,臺南市,2010/02,安南,3.1,0.48,-,24.1,67,36,22.9,5.79,17.12,2.114,0.247,1.867,19.82,76.72
26,臺南市,2010/02,臺南,3.8,0.62,-,24.1,61,38,27.3,6.21,21.09,2.024,0.264,1.759,20.32,78.62
27,高雄市,2010/02,左營,5.0,0.64,-,22.6,60,41,29.95,7.42,22.54,1.936,0.252,1.683,21.0,77.61
28,高雄市,2010/02,楠梓,4.7,0.53,-,21.3,70,42,29.55,8.52,21.03,1.982,0.214,1.768,20.37,75.29
29,高雄市,2010/02,前金,5.4,0.68,-,23.1,65,48,31.81,7.61,24.19,2.248,0.269,1.979,20.71,78.32
