序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1997/07,松山,4.7,1.27,16.7,45.0,-,55,24.2,31.12,-,-,-,28.51,-,-
2,臺北市,1997/07,古亭,4.3,1.36,18.0,46.0,30,53,25.15,28.13,2.21,0.36,1.85,28.73,-,-
3,臺北市,1997/07,中山,6.3,1.52,16.6,54.0,-,65,29.87,35.61,2.98,0.53,2.45,28.69,-,-
4,臺北市,1997/07,大同,11.3,4.22,-,49.0,-,161,118.03,43.31,4.4,1.79,2.61,29.69,-,-
5,臺北市,1997/07,萬華,5.2,1.04,22.1,-,-,33,8.33,24.94,-,-,-,-,-,-
6,臺北市,1997/07,陽明,2.8,-,21.5,-,-,-,-,-,-,-,-,-,-,-
7,臺北市,1997/07,士林,3.8,1.07,15.6,47.0,-,40,15.98,23.9,-,-,-,27.99,-,-
8,新北市,1997/07,板橋,11.4,1.18,21.2,-,-,54,19.67,34.21,3.09,0.81,2.27,29.19,-,-
9,新北市,1997/07,三重,10.0,3.06,-,83.0,52,143,99.52,43.83,-,-,-,29.6,-,-
10,新北市,1997/07,菜寮,7.1,1.57,13.8,65.0,-,57,23.82,32.9,-,-,-,29.14,-,-
11,新北市,1997/07,永和,6.7,2.35,-,56.0,-,83,48.96,33.51,3.33,0.88,2.45,31.13,-,-
12,新北市,1997/07,新莊,11.1,1.06,21.9,51.0,-,47,18.94,28.19,2.77,0.59,2.21,29.11,-,-
13,新北市,1997/07,新店,2.8,0.69,25.2,35.0,-,21,3.7,17.77,-,-,-,28.59,-,-
14,新北市,1997/07,淡水,4.5,1.02,13.9,51.0,-,44,17.91,26.43,-,-,-,28.76,-,-
15,新北市,1997/07,汐止,4.9,0.95,14.6,55.0,-,52,25.09,27.31,-,-,-,27.78,-,-
16,新北市,1997/07,土城,7.5,0.95,23.0,57.0,-,41,14.71,26.57,-,-,-,28.52,-,-
17,新北市,1997/07,林口,7.3,0.76,23.0,61.0,-,37,13.63,23.78,-,-,-,26.74,-,-
18,新北市,1997/07,萬里,-,0.51,14.8,31.0,-,-,-,-,2.1,0.21,1.89,27.41,-,-
19,臺中市,1997/07,西屯,4.8,0.58,18.4,36.0,-,31,11.27,19.77,2.38,0.24,2.14,28.12,-,-
20,臺中市,1997/07,忠明,4.7,1.06,19.7,49.0,32,40,13.06,26.93,-,-,-,28.05,-,-
21,臺中市,1997/07,豐原,4.5,0.69,19.4,51.0,-,24,4.67,19.13,-,-,-,27.62,-,-
22,臺中市,1997/07,沙鹿,4.3,0.48,18.6,37.0,-,18,3.7,14.78,-,-,-,28.48,-,-
23,臺中市,1997/07,大里,2.3,0.62,22.0,55.0,-,23,5.4,17.67,-,-,-,28.6,-,-
24,臺南市,1997/07,新營,2.6,0.53,22.8,34.0,-,14,2.37,11.65,2.36,0.11,2.24,28.95,-,-
25,臺南市,1997/07,善化,3.8,0.33,23.2,33.0,-,10,1.93,8.16,-,-,-,27.94,-,-
26,臺南市,1997/07,安南,5.6,0.48,25.1,41.0,-,20,6.07,14.26,-,-,-,28.45,-,-
27,臺南市,1997/07,臺南,5.5,0.59,19.6,43.0,-,22,6.63,15.38,2.96,0.42,2.54,28.71,-,-
28,高雄市,1997/07,左營,8.6,0.66,22.0,37.0,-,28,12.02,15.8,2.57,0.45,2.12,28.76,-,-
29,高雄市,1997/07,楠梓,7.5,0.48,19.9,42.0,-,30,11.51,18.78,2.68,0.33,2.36,28.68,-,-
30,高雄市,1997/07,前金,9.1,0.73,18.8,43.0,-,30,12.84,16.69,-,-,-,28.72,-,-
31,高雄市,1997/07,前鎮,19.5,-,-,47.0,-,36,15.2,21.01,2.64,0.56,2.07,28.28,-,-
32,高雄市,1997/07,復興,12.5,0.99,-,45.0,-,37,17.82,19.43,2.98,0.76,2.23,28.59,-,-
33,高雄市,1997/07,小港,14.6,0.84,18.1,47.0,-,33,13.47,19.03,2.39,0.25,2.13,28.87,-,-
34,高雄市,1997/07,鳳山,4.3,0.78,19.4,47.0,27,28,8.56,19.69,-,-,-,29.07,-,-
35,高雄市,1997/07,林園,2.0,0.32,21.5,38.0,23,8,1.26,6.27,2.51,0.21,2.29,28.33,-,-
36,高雄市,1997/07,大寮,9.2,0.53,19.7,36.0,-,14,2.76,11.2,2.6,0.18,2.41,29.1,-,-
37,高雄市,1997/07,仁武,5.0,0.48,20.1,49.0,-,25,8.1,16.63,2.49,0.23,2.25,28.6,-,-
38,高雄市,1997/07,橋頭,5.9,0.51,21.4,38.0,-,23,8.56,14.19,2.36,0.14,2.22,27.2,-,-
39,高雄市,1997/07,美濃,1.1,0.38,23.7,40.0,-,9,1.03,7.84,-,-,-,27.8,-,-
40,基隆市,1997/07,基隆,6.9,0.79,16.0,68.0,-,34,12.99,20.82,2.58,0.42,2.16,28.18,-,-
41,新竹市,1997/07,新竹,4.0,0.77,14.7,36.0,-,33,15.4,17.46,2.67,0.11,2.56,29.81,-,-
42,嘉義市,1997/07,嘉義,3.3,0.67,23.3,-,-,23,7.58,16.01,-,-,-,28.41,-,-
43,宜蘭縣,1997/07,宜蘭,1.6,0.5,14.8,43.0,-,15,3.52,11.58,-,-,-,28.03,-,-
44,宜蘭縣,1997/07,冬山,2.4,0.56,8.5,37.0,-,24,11.27,12.44,2.12,0.1,2.02,28.09,-,-
45,桃園市,1997/07,桃園,21.1,0.92,20.0,64.0,-,45,16.05,28.77,2.8,0.52,2.29,28.28,-,-
46,桃園市,1997/07,中壢,9.7,1.87,-,53.0,-,74,41.17,32.46,-,-,-,27.54,-,-
47,桃園市,1997/07,大園,8.4,0.57,20.8,43.0,-,32,13.2,18.32,-,-,-,28.12,-,-
48,桃園市,1997/07,龍潭,4.0,0.53,18.6,41.0,-,25,6.02,18.92,-,-,-,26.89,-,-
