序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
62,雲林縣,1997/10,崙背,6.5,0.5,23.4,90.0,-,23,5.53,17.88,-,-,-,24.41,-,-
63,雲林縣,1997/10,臺西,5.8,0.42,39.3,88.0,-,15,2.19,12.45,-,-,-,24.93,-,-
64,嘉義縣,1997/10,朴子,4.7,0.47,25.2,89.0,-,19,3.15,16.15,-,-,-,25.49,-,-
65,嘉義縣,1997/10,新港,6.5,0.62,35.8,109.0,-,27,5.83,20.74,-,-,-,24.92,-,-
66,屏東縣,1997/10,屏東,6.3,0.86,39.9,106.0,-,25,1.61,23.69,2.77,0.34,2.42,27.29,-,-
67,屏東縣,1997/10,潮州,3.6,0.58,41.4,98.0,-,18,1.58,16.03,-,-,-,26.1,-,-
68,屏東縣,1997/10,恆春,0.1,0.29,43.5,23.0,-,0,0.01,0.4,-,-,-,25.49,-,-
69,臺東縣,1997/10,臺東,0.5,0.61,28.1,31.0,-,10,2.43,8.02,2.2,0.1,2.1,24.81,-,-
70,花蓮縣,1997/10,花蓮,0.6,0.76,20.2,43.0,-,23,5.35,17.54,2.29,0.26,2.03,24.85,-,-
,,,,,,,,,,,,,,,,,
