序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/12,松山,3.1,0.55,432.7,25.4,50,23,31.04,8.4,22.64,1.84,16.29,68.21
2,臺北市,2014/12,古亭,3.1,0.56,-,25.1,57,25,28.22,7.03,21.19,2.45,16.68,71.47
3,臺北市,2014/12,中山,3.5,0.75,-,20.6,72,23,42.09,14.12,27.97,2.06,17.16,69.86
4,臺北市,2014/12,大同,4.4,1.35,-,-,67,19,82.25,47.65,34.6,-,-,-
5,臺北市,2014/12,萬華,3.4,0.62,-,20.5,51,24,36.12,9.3,26.81,2.28,16.89,67.2
6,臺北市,2014/12,陽明,2.5,0.26,412.25,42.5,25,17,4.22,0.57,3.58,-,9.25,88.22
7,臺北市,2014/12,士林,3.2,0.45,-,33.8,47,23,19.96,4.99,14.97,2.21,16.71,65.94
8,新北市,2014/12,板橋,3.7,0.63,-,22.9,56,27,31.32,7.3,24.01,2.25,16.6,66.08
9,新北市,2014/12,三重,4.4,1.76,-,-,74,24,120.13,79.89,40.25,-,16.97,65.72
10,新北市,2014/12,菜寮,3.4,0.6,-,25.3,55,29,26.91,6.17,20.74,2.52,16.69,65.77
11,新北市,2014/12,永和,3.2,0.81,-,25.0,49,23,37.23,15.45,21.79,2.12,16.94,73.45
12,新北市,2014/12,新莊,3.6,0.6,-,26.7,55,26,27.66,6.68,20.98,3.54,16.52,69.98
13,新北市,2014/12,新店,2.9,0.48,-,29.9,46,25,19.98,3.62,16.36,1.79,16.66,69.06
14,新北市,2014/12,淡水,2.9,0.39,-,33.0,55,22,13.73,3.08,10.64,-,-,-
15,新北市,2014/12,汐止,3.9,0.46,-,25.9,52,29,27.52,7.74,19.78,1.72,16.32,75.48
16,新北市,2014/12,土城,3.2,0.54,-,27.9,55,30,23.86,5.27,18.59,1.45,17.08,69.46
17,新北市,2014/12,林口,3.1,0.36,-,33.7,52,31,15.62,2.35,13.27,2.76,14.54,77.2
18,新北市,2014/12,萬里,3.1,0.28,-,40.0,71,23,7.81,1.47,6.34,5.74,16.73,73.63
19,臺中市,2014/12,西屯,2.9,0.44,-,26.0,58,30,22.52,5.94,16.58,3.46,16.88,70.06
20,臺中市,2014/12,忠明,3.2,0.58,-,20.9,55,29,31.75,8.98,22.76,1.77,17.09,62.71
21,臺中市,2014/12,豐原,2.3,0.41,-,26.8,41,20,14.47,2.33,12.13,2.11,15.49,71.57
22,臺中市,2014/12,沙鹿,3.1,0.42,-,28.8,60,26,19.2,3.17,16.02,4.6,16.39,70.56
23,臺中市,2014/12,大里,3.1,0.69,434.33,20.2,60,34,33.81,8.96,24.85,1.91,-,67.47
24,臺南市,2014/12,新營,3.7,0.51,-,22.8,88,41,24.51,4.69,19.82,2.41,17.58,71.27
25,臺南市,2014/12,善化,3.8,0.47,431.26,21.4,83,43,22.06,3.77,18.29,3.19,19.79,71.6
26,臺南市,2014/12,安南,3.7,0.49,-,25.1,94,39,23.71,5.07,18.63,2.8,18.01,74.17
27,臺南市,2014/12,臺南,4.1,0.64,-,23.4,79,39,27.6,4.23,23.37,2.51,18.41,69.98
28,高雄市,2014/12,左營,4.2,0.65,-,23.8,98,51,29.85,4.41,25.44,2.26,19.02,71.74
29,高雄市,2014/12,楠梓,3.9,0.59,-,21.7,112,53,30.7,5.7,25.0,2.13,18.67,74.42
30,高雄市,2014/12,前金,4.0,0.71,-,25.0,107,47,31.19,4.77,26.41,2.34,19.37,69.0
31,高雄市,2014/12,前鎮,5.0,0.83,-,20.3,96,54,39.65,9.27,30.38,1.66,19.84,69.17
32,高雄市,2014/12,復興,5.1,1.07,-,9.8,107,54,46.36,13.8,32.56,0.91,19.98,67.66
33,高雄市,2014/12,小港,7.0,0.77,-,19.1,106,51,48.91,12.99,35.92,1.79,20.0,66.47
34,高雄市,2014/12,鳳山,7.3,0.77,-,18.0,117,49,39.88,8.91,30.98,1.82,19.69,68.12
35,高雄市,2014/12,林園,8.0,0.57,-,26.9,66,47,29.78,5.52,24.26,2.4,19.76,70.95
36,高雄市,2014/12,大寮,6.7,0.64,-,20.1,96,51,33.64,6.17,27.47,1.5,19.24,72.29
37,高雄市,2014/12,仁武,7.0,0.64,-,18.6,113,50,36.22,9.23,27.0,1.73,19.12,72.46
38,高雄市,2014/12,橋頭,4.0,0.6,-,21.2,101,51,28.84,5.06,23.78,2.29,18.68,71.63
39,高雄市,2014/12,美濃,2.0,0.48,-,23.6,74,42,15.54,2.59,12.95,0.96,19.46,72.83
40,基隆市,2014/12,基隆,2.7,0.48,-,32.4,41,25,18.35,5.52,12.83,1.39,17.26,75.29
41,新竹市,2014/12,新竹,2.3,0.48,-,28.1,57,29,21.91,4.19,17.73,3.18,16.31,70.36
42,嘉義市,2014/12,嘉義,3.9,0.65,-,18.7,89,47,29.36,6.84,22.52,2.23,17.98,71.63
43,宜蘭縣,2014/12,宜蘭,2.5,0.4,416.26,31.6,50,22,10.78,1.66,9.12,1.41,16.33,71.7
44,宜蘭縣,2014/12,冬山,2.3,0.36,-,28.0,49,22,15.66,4.21,11.44,1.79,16.09,81.68
45,桃園市,2014/12,桃園,4.0,0.53,-,28.6,52,27,22.72,4.73,18.0,1.93,15.22,76.24
46,桃園市,2014/12,中壢,4.4,0.95,-,19.6,73,25,49.05,20.36,28.69,1.67,16.02,69.9
