序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2012/08,松山,2.1,0.42,407.72,17.8,36,19,22.61,6.57,16.04,2.038,0.212,1.827,28.97,72.39
2,臺北市,2012/08,古亭,2.3,0.46,-,18.7,38,20,22.69,7.0,15.7,1.974,0.171,1.803,29.48,77.47
3,臺北市,2012/08,中山,2.8,0.66,-,15.8,32,28,33.63,12.52,21.11,2.156,0.253,1.903,29.89,72.89
4,臺北市,2012/08,大同,3.3,1.56,-,-,41,25,62.07,36.89,25.18,2.565,0.559,2.006,-,-
5,臺北市,2012/08,萬華,2.6,0.53,-,17.1,33,20,26.77,8.03,18.73,-,-,-,29.72,72.8
6,臺北市,2012/08,陽明,1.6,0.12,388.27,28.6,13,11,3.52,1.03,2.47,-,-,-,22.22,94.65
7,臺北市,2012/08,士林,2.2,0.34,-,22.0,34,18,15.96,3.5,12.46,-,-,-,29.28,69.1
8,新北市,2012/08,板橋,3.7,0.49,-,20.4,32,20,23.56,6.28,17.28,2.16,0.294,1.866,29.77,70.43
9,新北市,2012/08,三重,3.4,1.56,-,-,52,28,99.28,67.5,31.77,2.645,0.659,1.986,29.26,71.12
10,新北市,2012/08,菜寮,2.9,0.49,-,19.1,33,22,21.43,5.2,16.23,-,-,-,29.37,71.71
11,新北市,2012/08,永和,2.7,0.79,-,16.4,34,20,28.73,11.95,16.78,2.197,0.316,1.881,29.35,79.45
12,新北市,2012/08,新莊,4.5,0.45,-,22.9,36,22,21.3,5.08,16.22,-,-,-,29.53,72.44
13,新北市,2012/08,新店,1.9,0.29,-,21.4,26,14,11.15,2.54,8.61,-,-,-,28.63,73.88
14,新北市,2012/08,淡水,2.2,0.31,-,23.4,35,19,13.22,2.96,10.26,-,-,-,-,-
15,新北市,2012/08,汐止,3.4,0.32,-,16.1,30,17,20.93,7.34,13.6,-,-,-,29.51,80.2
16,新北市,2012/08,土城,2.9,0.38,-,22.1,31,18,19.43,6.06,13.36,2.046,0.226,1.82,29.09,75.55
17,新北市,2012/08,林口,3.2,0.3,-,23.8,35,21,16.98,3.43,13.54,-,-,-,27.8,84.94
18,新北市,2012/08,萬里,2.4,0.15,-,24.8,34,17,6.89,2.03,4.86,-,-,-,28.46,79.29
19,臺中市,2012/08,西屯,2.6,0.29,-,25.7,50,27,17.66,3.19,14.47,2.005,0.19,1.815,28.66,77.71
20,臺中市,2012/08,忠明,2.7,0.39,-,27.1,38,24,17.62,3.24,14.37,1.982,0.169,1.813,29.59,74.0
21,臺中市,2012/08,豐原,2.6,0.42,-,29.6,48,28,12.37,1.94,10.42,2.017,0.159,1.857,27.87,72.26
22,臺中市,2012/08,沙鹿,2.8,0.27,-,29.3,42,28,13.77,1.98,11.79,-,-,-,28.77,76.65
