序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
1,臺北市,2016/06,松山,3.2,0.51,436.46,20.4,28,13,29.52,10.1,19.42,1.967,0.202,1.766,1.53,1.11,29.2,-,-,72.86,-
2,臺北市,2016/06,古亭,2.3,0.49,-,24.3,27,12,25.03,7.21,17.81,2.02,0.173,1.846,1.68,1.32,28.85,-,-,74.87,-
3,臺北市,2016/06,中山,3,0.67,-,18.5,31,13,35.33,11.79,23.54,2.095,0.245,1.85,1.76,1.11,29.92,-,-,75.35,-
4,臺北市,2016/06,大同,3.7,1.65,-,-,43,14,68.85,41.08,27.78,2.548,0.517,2.032,-,-,-,-,-,-,-
5,臺北市,2016/06,萬華,2.4,0.54,-,20.2,28,13,25.97,6.83,19.14,-,-,-,1.54,1.14,30.14,-,-,73.12,-
6,臺北市,2016/06,陽明,2,0.15,413.81,31.1,14,10,5.02,0.88,4.11,-,-,-,-,-,23.26,4.21,4.67,88.9,22.33
7,臺北市,2016/06,士林,2.7,0.39,-,21.8,24,13,19.47,4.16,15.31,-,-,-,1.83,1.49,29.35,-,-,74.03,-
8,新北市,2016/06,板橋,4,0.55,-,20.5,31,16,27.92,8.02,19.9,2.156,0.295,1.861,1.88,1.42,29.78,6.24,4.87,70.95,24.72
9,新北市,2016/06,三重,3.3,1.45,-,-,44,14,86.92,55.3,31.62,2.492,0.56,1.932,-,-,30.01,-,-,69.14,-
10,新北市,2016/06,菜寮,2.9,0.52,-,19.9,27,13,24.32,5.89,18.43,-,-,-,2.07,1.52,30.28,-,-,70.91,-
11,新北市,2016/06,永和,2.6,0.85,-,19.9,26,11,31.98,12.17,19.81,2.193,0.306,1.887,1.55,1.19,29.49,-,-,67.07,-
12,新北市,2016/06,新莊,4.5,0.53,-,20.7,26,12,25.17,6.74,18.43,-,-,-,2.01,1.62,29.62,-,-,67.78,-
13,新北市,2016/06,新店,2.3,0.33,-,28,26,12,14.65,3.33,11.31,-,-,-,3.81,2.94,28.26,-,-,72.72,-
14,新北市,2016/06,淡水,2.4,0.32,-,20.3,25,14,15.11,3.33,11.78,-,-,-,-,-,-,-,-,-,-
15,新北市,2016/06,汐止,4.3,0.45,-,18.8,30,13,26.8,9.12,17.68,-,-,-,1.37,0.98,28.85,-,-,76.44,-
16,新北市,2016/06,土城,3,0.44,-,22,27,10,25.3,8.19,17.11,1.956,0.221,1.735,1.48,1.01,28.97,-,-,77.3,-
17,新北市,2016/06,林口,3,0.28,-,22.8,33,15,19.22,4.27,14.95,-,-,-,2.85,2.54,27.79,-,-,84.15,-
18,新北市,2016/06,萬里,3.1,0.21,-,28.2,27,11,9.55,2.13,7.41,-,-,-,2.55,2.23,27.78,4.17,4.51,77.49,31.38
19,臺中市,2016/06,西屯,2.6,0.22,-,22.7,30,12,15.19,3.49,11.7,1.758,0.148,1.61,2.38,2.13,29.55,5.7,5.44,71.48,6.89
20,臺中市,2016/06,忠明,2.1,0.31,-,21,20,10,14.3,2.94,11.36,1.791,0.099,1.692,1.98,1.56,30.15,-,-,71.38,-
21,臺中市,2016/06,豐原,3.1,0.42,-,25.3,19,14,7.99,1.24,6.77,1.753,0.099,1.654,2.95,2.66,28.19,-,-,72.59,-
22,臺中市,2016/06,沙鹿,2.8,0.23,-,21.9,25,9,12.73,2.38,10.35,-,-,-,2.97,2.64,28.84,-,-,77.59,-
23,臺中市,2016/06,大里,2.3,0.32,422.12,23,33,11,13.61,3.11,10.49,1.858,0.145,1.712,1.93,1.64,28.81,-,-,71.58,-
24,臺南市,2016/06,新營,2.4,0.22,-,19.6,29,10,8.22,1.87,6.35,2.01,0.064,1.946,1.77,1.4,29.39,5.42,5.59,74.52,12.15
25,臺南市,2016/06,善化,2.2,0.16,413.62,20.1,26,10,8.86,1.72,7.14,-,-,-,2.6,2.38,28.51,-,-,78.74,-
26,臺南市,2016/06,安南,2.3,0.24,-,17.7,28,9,-,-,-,1.872,0.186,1.687,2.87,2.57,29.57,-,-,76.29,-
27,臺南市,2016/06,臺南,2.8,0.25,-,18.4,22,10,10.1,1.87,8.22,1.928,0.134,1.794,2.15,1.91,29.11,-,-,73.83,-
28,高雄市,2016/06,左營,3.9,0.29,-,16.8,32,9,13.62,3.81,9.8,1.942,0.115,1.827,2.36,2.02,29.89,-,-,74.43,-
29,高雄市,2016/06,楠梓,3.1,0.28,-,14.4,45,11,16.33,5.15,11.18,1.863,0.143,1.721,1.99,1.66,30.09,-,-,72.33,-
30,高雄市,2016/06,前金,4.6,0.27,-,16.9,28,9,14.83,4.63,10.19,1.898,0.124,1.774,2.21,1.81,29.95,-,-,75.53,-
31,高雄市,2016/06,前鎮,5.1,0.29,-,13.8,23,8,16.95,5.13,11.82,1.814,0.104,1.711,1.85,1.49,29.73,-,-,75.21,-
32,高雄市,2016/06,復興,5.4,0.4,-,14,28,6,17.86,5.31,12.55,1.995,0.179,1.816,1.12,0.91,30.18,-,-,76.65,-
33,高雄市,2016/06,小港,8.9,0.25,-,13.8,31,6,18,6.15,11.85,1.936,0.149,1.787,2.24,1.88,29.91,3.73,5.26,78.33,30.22
34,高雄市,2016/06,鳳山,3.5,0.39,-,15.6,39,8,15.19,4.06,11.12,2.016,0.169,1.847,1.86,1.56,30.25,4.17,5.02,73.24,124.89
35,高雄市,2016/06,林園,2.3,0.08,-,19.3,21,8,6.31,1.58,4.73,1.911,0.018,1.899,2.52,2.35,29.47,-,-,77.63,-
36,高雄市,2016/06,大寮,6.5,0.23,-,15.6,25,8,12.43,3.96,8.46,2.122,0.155,1.967,1.46,1.14,29.74,-,-,76.73,-
37,高雄市,2016/06,仁武,3.9,0.25,-,17.2,36,9,13.89,3.56,10.34,1.908,0.103,1.804,2.17,1.89,29.74,-,-,74.55,-
38,高雄市,2016/06,橋頭,2.8,0.22,-,17.7,23,6,11.36,3.12,8.24,-,-,-,2.79,2.57,29.83,3.57,5.55,73.08,30.52
39,高雄市,2016/06,美濃,1.4,0.17,-,21.1,21,8,5.69,2.29,3.39,-,-,-,1.38,1.06,28.68,-,-,76,-
40,基隆市,2016/06,基隆,3,0.33,-,22.1,23,12,17.11,3.84,13.27,2.042,0.167,1.875,1.33,0.97,28.57,-,-,82.1,-
41,新竹市,2016/06,新竹,2.2,0.31,-,22.1,26,8,13.64,2.65,10.99,1.895,0.11,1.785,2.35,1.98,29.62,-,-,69.67,-
42,嘉義市,2016/06,嘉義,2.4,0.2,-,22.3,29,9,7.33,1.63,5.69,1.687,0.081,1.606,1.88,1.56,29.93,-,-,76.15,-
43,宜蘭縣,2016/06,宜蘭,1.9,0.24,424.19,22.7,29,8,7.08,1.35,5.72,-,-,-,1.46,0.92,-,-,-,82.48,-
44,宜蘭縣,2016/06,冬山,2.8,0.27,-,19.1,27,9,13.95,4.76,9.2,-,-,-,1.6,1.16,28.32,3.95,5.16,78.91,34.23
45,桃園市,2016/06,桃園,6.5,0.41,-,22.3,32,13,20.43,4.17,16.26,2.054,0.191,1.863,1.4,1,29.35,-,-,72.72,-
46,桃園市,2016/06,中壢,3.1,1,-,15.7,45,12,44.77,24.06,20.71,2.218,0.369,1.848,1.53,1.07,29.19,-,-,73.22,-
47,桃園市,2016/06,大園,3.1,0.24,-,24.9,32,14,14,2.34,11.66,-,-,-,3.44,3.18,29.53,-,-,73.55,-
48,桃園市,2016/06,龍潭,1.9,0.26,-,24.7,35,12,11.37,2.66,8.7,-,-,-,2.62,2.34,27.86,-,-,72.79,-
49,桃園市,2016/06,平鎮,2.8,0.26,-,22,34,12,15.67,3.05,12.62,-,-,-,2.61,2.24,29.32,-,-,75.07,-
50,桃園市,2016/06,觀音,2.9,0.17,-,24.4,35,14,10.09,1.48,8.58,-,-,-,3.81,3.52,29.29,8.93,4.84,79.52,16.17
51,新竹縣,2016/06,竹東,2,0.21,-,22.6,24,12,8.04,1.93,6.12,-,-,-,2.11,1.75,28.6,-,-,78.12,-
52,新竹縣,2016/06,湖口,3.2,0.18,-,23.4,29,12,12.38,2.99,9.39,-,-,-,3.82,3.61,29.35,-,-,82.11,-
53,苗栗縣,2016/06,苗栗,2.3,0.23,-,22.1,30,17,10.1,1.94,8.16,-,-,-,2.71,2.32,29.56,-,-,72.3,-
54,苗栗縣,2016/06,頭份,2.7,0.2,-,24.1,27,9,11.04,2.54,8.5,1.817,0.046,1.774,3.01,2.63,30.13,-,-,74.59,-
55,苗栗縣,2016/06,三義,2.3,0.12,-,25.9,21,6,7.26,1.77,5.48,-,-,-,3.21,2.92,27.9,3.54,4.85,72.87,11.53
56,彰化縣,2016/06,彰化,3.3,0.24,-,22.6,31,12,8.47,1.22,7.23,1.832,0.114,1.717,2.17,1.82,30.96,-,-,74.17,-
57,彰化縣,2016/06,線西,2.3,0.2,-,22.6,28,13,8.94,1.88,7.06,1.901,0.069,1.835,3.04,2.8,29.38,-,-,80.45,-
58,彰化縣,2016/06,二林,2.7,0.15,-,20.2,28,14,8.09,1.92,6.17,-,-,-,2.65,2.44,28.91,-,-,77.82,-
59,南投縣,2016/06,南投,2.2,0.25,-,22.1,28,13,9.98,3.1,6.88,1.711,0.073,1.638,1.83,1.51,28.83,3.73,6.07,72.72,20.71
60,南投縣,2016/06,埔里,1.7,0.22,-,23,22,10,8.38,1.75,6.63,-,-,-,1.63,1.14,26.4,-,-,80.77,-
61,南投縣,2016/06,竹山,2.3,0.18,-,22.7,27,9,7.17,1.53,5.64,-,-,-,1.54,1.06,27.77,-,-,79.4,-
62,雲林縣,2016/06,斗六,2.5,0.23,-,22.7,30,10,10.16,2.23,7.93,-,-,-,1.71,1.34,29.78,-,-,74.08,-
63,雲林縣,2016/06,崙背,1.9,0.16,-,21.7,31,15,7.85,1.72,6.12,-,-,-,2.68,2.5,29.06,3.31,6.09,86.84,23.78
