序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2002/07,松山,3.8,0.67,17.7,37.0,-,37,13.66,20.86,-,-,-,29.29,-,-,-
2,臺北市,2002/07,古亭,2.4,0.79,18.0,36.0,25,39,17.37,21.24,2.35,0.32,2.03,29.58,-,-,-
3,臺北市,2002/07,中山,3.1,0.84,15.6,49.0,-,39,14.66,24.04,2.44,0.31,2.12,30.05,-,-,-
4,臺北市,2002/07,大同,6.4,2.56,-,59.0,-,100,67.73,31.94,3.29,1.14,2.14,30.86,-,-,-
5,臺北市,2002/07,萬華,2.7,0.73,20.5,40.0,-,24,5.16,18.37,-,-,-,29.64,-,-,-
6,臺北市,2002/07,陽明,1.6,0.28,34.8,16.0,-,6,0.94,4.57,-,-,-,23.5,-,-,-
7,臺北市,2002/07,士林,2.3,0.61,19.5,32.0,-,29,8.08,21.16,-,-,-,28.87,-,-,-
8,新北市,2002/07,板橋,5.4,0.73,21.5,37.0,-,30,8.81,20.77,2.34,0.36,1.98,30.75,-,-,-
9,新北市,2002/07,三重,5.2,2.47,-,51.0,-,129,93.85,34.73,2.71,0.69,2.02,30.8,-,-,-
10,新北市,2002/07,菜寮,2.1,0.8,16.3,47.0,-,35,12.44,22.39,-,-,-,29.75,-,-,-
11,新北市,2002/07,永和,2.8,1.6,12.9,44.0,-,53,29.61,22.99,2.74,0.78,1.96,30.1,-,-,-
12,新北市,2002/07,新莊,7.5,0.55,21.3,46.0,-,29,9.24,20.07,2.3,0.46,1.83,29.46,-,-,-
13,新北市,2002/07,新店,1.4,0.45,24.4,32.0,-,19,4.55,14.53,-,-,-,29.61,-,-,-
14,新北市,2002/07,淡水,2.2,0.56,22.0,31.0,-,21,5.15,16.02,-,-,-,29.43,-,-,-
