序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2015/03,松山,3.5,0.57,428.53,29.6,38,19,32.79,8.8,23.99,1.75,18.63,78.31
2,臺北市,2015/03,古亭,3.1,0.62,-,26.7,46,22,31.2,8.16,23.03,2.23,18.94,81.66
3,臺北市,2015/03,中山,3.7,0.79,-,24.3,62,22,43.06,13.96,29.1,2.04,19.56,79.85
4,臺北市,2015/03,大同,4.1,1.49,-,-,56,20,82.29,45.78,36.51,-,-,-
5,臺北市,2015/03,萬華,3.4,0.69,-,25.8,40,21,37.87,9.69,28.18,2.13,19.28,77.17
6,臺北市,2015/03,陽明,1.6,0.26,412.69,49.6,16,12,3.88,0.65,3.19,-,13.07,95.7
7,臺北市,2015/03,士林,2.4,0.48,-,34.5,39,19,23.21,5.58,17.63,1.93,19.12,74.98
8,新北市,2015/03,板橋,3.6,0.69,-,27.7,49,23,32.63,7.74,24.89,2.0,19.01,78.59
9,新北市,2015/03,三重,3.9,1.59,-,-,61,19,101.17,61.88,39.29,-,19.25,75.7
10,新北市,2015/03,菜寮,3.4,0.64,-,23.8,44,24,30.55,7.42,23.12,2.21,18.97,76.16
11,新北市,2015/03,永和,3.1,0.96,-,27.5,43,21,42.53,16.85,25.69,1.96,19.1,78.98
12,新北市,2015/03,新莊,3.6,0.73,-,27.8,44,27,31.84,7.83,24.02,2.62,19.22,81.63
13,新北市,2015/03,新店,2.8,0.55,-,30.3,38,23,23.92,4.63,19.28,1.55,19.1,81.37
14,新北市,2015/03,淡水,2.2,0.42,-,33.0,39,16,16.3,3.58,12.72,-,-,-
15,新北市,2015/03,汐止,4.7,0.46,-,28.3,40,23,26.95,7.06,19.89,1.75,18.46,85.04
16,新北市,2015/03,土城,3.2,0.63,-,31.7,47,28,28.38,7.67,20.7,1.46,18.99,78.07
17,新北市,2015/03,林口,2.9,0.41,-,36.8,47,25,19.55,3.2,16.34,1.93,17.2,87.62
18,新北市,2015/03,萬里,2.3,0.28,-,42.6,50,18,9.02,2.02,7.0,3.99,18.09,87.03
19,臺中市,2015/03,西屯,2.7,0.43,-,29.5,57,28,23.04,4.39,18.65,2.53,20.23,75.99
20,臺中市,2015/03,忠明,3.1,0.58,-,24.2,52,31,26.54,5.27,21.27,1.54,20.5,73.3
21,臺中市,2015/03,豐原,2.8,0.51,-,28.1,54,24,18.49,2.79,15.7,2.02,19.09,75.58
22,臺中市,2015/03,沙鹿,2.8,0.42,-,30.8,55,25,19.03,2.7,16.33,3.48,20.34,77.77
23,臺中市,2015/03,大里,2.9,0.62,432.23,24.6,63,33,28.27,5.32,22.95,1.76,21.79,70.74
24,臺南市,2015/03,新營,3.2,0.47,-,28.6,74,33,18.46,2.61,15.85,2.17,21.67,72.73
25,臺南市,2015/03,善化,3.7,0.44,422.5,28.1,66,38,17.97,2.41,15.56,2.82,22.3,74.69
26,臺南市,2015/03,安南,3.3,0.46,-,30.7,74,29,19.91,3.53,16.38,2.62,21.95,76.41
27,臺南市,2015/03,臺南,3.7,0.58,-,31.2,63,30,21.36,2.32,19.04,2.33,22.42,71.62
28,高雄市,2015/03,左營,4.4,0.54,-,30.6,73,37,23.76,3.17,20.58,2.4,22.83,73.69
29,高雄市,2015/03,楠梓,2.3,0.53,-,28.2,95,33,24.55,3.83,20.72,2.13,22.98,74.92
30,高雄市,2015/03,前金,4.6,0.59,-,31.5,89,36,24.68,3.44,21.23,2.27,22.52,74.51
