序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2004/05,松山,3.7,0.78,412.12,28.7,59,-,41.21,10.63,30.57,-,-,-,25.91,-,-,73.61,-
2,臺北市,2004/05,古亭,2.9,0.87,-,24.8,57,-,44.94,11.79,33.14,3.132,0.534,2.598,25.2,-,-,69.77,-
3,臺北市,2004/05,中山,-,0.88,-,25.6,54,-,56.68,17.86,38.84,2.776,0.766,1.965,26.96,-,-,71.82,-
4,臺北市,2004/05,大同,5.6,1.17,-,-,59,-,75.46,33.8,41.66,2.967,0.615,2.352,26.7,-,-,-,-
5,臺北市,2004/05,萬華,3.5,0.8,-,29.9,50,34,33.77,6.36,27.43,-,-,-,27.2,-,-,73.37,-
6,臺北市,2004/05,陽明,1.3,0.19,375.4,49.3,27,-,3.64,0.32,3.35,-,-,-,-,-,-,-,-
7,臺北市,2004/05,士林,3.1,0.57,-,32.5,48,-,25.48,4.66,20.82,-,-,-,26.6,-,-,73.61,-
8,新北市,2004/05,板橋,6.0,0.8,-,23.7,63,-,35.29,7.94,27.35,2.916,0.667,2.25,26.83,-,-,66.73,-
9,新北市,2004/05,三重,8.6,-,-,-,65,-,118.85,75.84,43.01,3.061,0.971,2.092,27.58,-,-,-,-
10,新北市,2004/05,菜寮,4.1,0.77,-,26.0,48,-,38.96,9.8,29.17,-,-,-,26.78,-,-,71.9,-
11,新北市,2004/05,永和,4.4,1.41,-,24.4,50,-,54.49,21.81,32.68,2.734,0.655,2.08,24.32,-,-,71.78,-
12,新北市,2004/05,新莊,6.0,0.71,-,26.7,53,-,37.56,8.22,29.34,3.126,0.784,2.342,26.31,-,-,-,-
13,新北市,2004/05,新店,-,0.67,-,36.2,-,-,21.54,3.67,17.86,-,-,-,-,-,-,75.53,-
14,新北市,2004/05,淡水,2.3,0.77,-,32.6,44,-,24.4,3.93,20.48,-,-,-,26.9,-,-,-,-
15,新北市,2004/05,汐止,5.1,0.66,-,27.7,53,-,37.93,10.02,27.91,-,-,-,25.75,-,-,76.24,-
16,新北市,2004/05,土城,4.1,0.76,-,28.2,57,-,38.43,11.16,27.29,-,-,-,26.05,-,-,-,-
17,新北市,2004/05,林口,4.0,0.41,-,35.2,51,-,25.76,3.82,21.97,-,-,-,24.74,-,-,77.64,-
18,新北市,2004/05,萬里,1.8,0.27,-,32.4,39,-,10.91,1.3,9.6,-,-,-,25.64,-,-,81.37,-
19,臺中市,2004/05,西屯,2.4,0.65,-,28.1,63,-,25.72,5.46,20.28,2.771,0.389,2.382,27.43,-,-,69.98,-
20,臺中市,2004/05,忠明,4.0,0.66,-,22.3,52,38,27.53,5.12,22.42,-,-,-,28.49,-,-,69.37,-
21,臺中市,2004/05,豐原,3.8,0.62,-,26.3,46,-,19.9,3.18,16.71,-,-,-,26.83,-,-,71.88,-
22,臺中市,2004/05,沙鹿,4.6,0.45,-,32.7,52,-,21.15,3.07,18.1,-,-,-,26.76,-,-,73.5,-
23,臺中市,2004/05,大里,4.3,0.68,379.1,30.7,61,-,30.29,5.02,25.27,-,-,-,27.2,-,-,69.77,-
24,臺南市,2004/05,新營,2.2,0.36,-,32.1,62,-,15.85,2.04,13.86,2.482,0.314,2.168,27.27,-,-,70.01,-
25,臺南市,2004/05,善化,3.0,0.4,-,29.2,59,-,14.9,2.21,12.71,-,-,-,28.35,-,-,75.98,-
26,臺南市,2004/05,安南,3.2,0.36,-,27.9,-,-,14.54,2.79,11.74,-,-,-,27.95,-,-,71.41,-
27,臺南市,2004/05,臺南,3.0,0.59,-,38.2,48,-,14.91,1.88,13.1,2.394,0.25,2.144,27.65,-,-,-,-
28,高雄市,2004/05,左營,4.7,0.42,-,28.9,53,-,19.55,3.38,16.15,2.615,0.28,2.335,28.63,-,-,72.05,-
29,高雄市,2004/05,楠梓,6.6,0.49,-,21.5,44,-,20.88,5.08,15.81,2.689,0.297,2.39,29.49,-,-,69.4,-
30,高雄市,2004/05,前金,5.0,0.61,-,25.4,48,-,17.61,3.32,14.27,-,-,-,28.5,-,-,73.85,-
31,高雄市,2004/05,前鎮,9.6,-,-,-,53,-,25.97,5.5,20.48,2.587,0.336,2.251,28.43,-,-,72.38,-
32,高雄市,2004/05,復興,7.6,0.74,-,-,56,-,30.19,8.3,21.89,3.046,0.46,2.586,28.57,-,-,-,-
33,高雄市,2004/05,小港,8.1,0.42,-,22.4,52,-,-,-,-,2.564,0.415,2.149,28.74,-,-,74.39,-
34,高雄市,2004/05,鳳山,8.7,0.53,-,21.3,87,67,24.07,5.72,18.36,-,-,-,29.87,-,-,70.47,-
35,高雄市,2004/05,林園,4.3,0.24,-,30.0,49,30,10.05,1.63,8.47,2.475,0.286,2.189,28.68,-,-,73.91,-
36,高雄市,2004/05,大寮,6.5,0.3,-,23.2,57,-,18.1,2.52,15.61,2.477,0.236,2.241,28.88,-,-,77.08,-
37,高雄市,2004/05,仁武,8.2,0.36,-,22.8,58,-,29.55,6.8,22.76,2.183,0.268,1.913,27.83,-,-,72.7,-
38,高雄市,2004/05,橋頭,2.0,0.37,-,27.5,47,-,25.99,3.83,22.17,2.578,0.314,2.264,27.94,-,-,72.22,-
39,高雄市,2004/05,美濃,1.4,0.45,-,37.5,44,-,9.77,0.88,8.92,-,-,-,26.4,-,-,-,-
40,基隆市,2004/05,基隆,5.5,0.58,-,31.3,51,-,31.53,6.39,25.16,2.578,0.476,2.102,25.7,-,-,79.48,-
41,新竹市,2004/05,新竹,3.8,0.51,-,25.3,-,-,25.93,4.36,21.57,2.425,0.34,2.085,26.28,-,-,76.3,-
42,嘉義市,2004/05,嘉義,3.1,0.45,-,31.7,62,-,-,-,-,2.498,0.419,2.079,28.55,-,-,71.26,-
43,宜蘭縣,2004/05,宜蘭,0.6,0.38,390.01,36.1,30,-,11.62,1.12,10.5,-,-,-,26.26,-,-,-,-
44,宜蘭縣,2004/05,冬山,1.8,0.59,-,28.2,46,-,17.85,4.01,13.86,2.493,0.294,2.198,25.85,-,-,76.68,-
45,桃園市,2004/05,桃園,10.8,0.62,-,26.0,59,-,31.52,5.97,25.55,3.095,0.731,2.363,26.43,-,-,74.77,-
46,桃園市,2004/05,中壢,5.6,-,-,21.7,59,-,53.74,22.0,31.74,2.876,0.813,2.063,25.96,-,-,72.83,-
47,桃園市,2004/05,大園,4.0,0.44,-,28.4,51,-,24.99,4.17,20.84,-,-,-,26.37,-,-,76.23,-
48,桃園市,2004/05,龍潭,3.1,0.42,-,29.1,45,-,23.51,2.93,20.58,-,-,-,25.09,-,-,76.2,-
49,桃園市,2004/05,平鎮,4.9,0.7,-,27.3,51,-,28.96,4.6,24.37,2.469,0.263,2.206,26.24,-,-,-,-
50,桃園市,2004/05,觀音,5.2,0.29,-,34.4,50,-,17.35,2.78,14.6,-,-,-,26.01,-,-,71.12,-
51,新竹縣,2004/05,竹東,3.2,0.36,-,27.4,44,-,19.52,2.42,17.11,-,-,-,26.27,-,-,73.89,-
52,新竹縣,2004/05,湖口,3.3,0.39,-,28.5,43,-,20.7,3.39,17.37,-,-,-,25.0,-,-,75.17,-
53,苗栗縣,2004/05,苗栗,5.1,0.55,-,27.3,48,-,22.48,3.59,18.89,-,-,-,26.26,-,-,68.27,-
54,苗栗縣,2004/05,頭份,3.0,0.45,-,22.7,48,-,22.1,3.42,18.7,2.691,0.339,2.351,27.0,-,-,70.99,-
55,苗栗縣,2004/05,三義,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,彰化縣,2004/05,彰化,4.5,0.62,-,24.1,67,-,28.06,5.41,22.66,2.898,0.457,2.441,26.74,-,-,-,-
57,彰化縣,2004/05,線西,2.7,0.36,-,33.0,49,-,17.47,2.7,14.79,2.436,0.506,1.931,27.45,-,-,77.62,-
58,彰化縣,2004/05,二林,3.3,0.26,-,32.9,55,-,15.34,2.62,12.77,-,-,-,26.49,-,-,-,-
59,南投縣,2004/05,南投,2.8,0.41,-,27.9,49,-,19.29,3.1,16.18,-,-,-,27.8,-,-,73.3,-
60,南投縣,2004/05,埔里,1.2,0.44,-,38.9,43,-,9.58,0.75,8.84,2.251,0.182,2.068,27.16,-,-,71.28,-
61,南投縣,2004/05,竹山,2.2,0.41,-,35.5,58,-,18.41,3.29,15.12,-,-,-,27.45,-,-,71.88,-
62,雲林縣,2004/05,斗六,3.5,0.44,-,30.0,62,-,19.31,2.8,16.5,-,-,-,27.35,-,-,71.53,-
63,雲林縣,2004/05,崙背,1.1,0.31,-,28.0,69,-,-,-,-,2.71,0.279,2.431,27.56,-,-,75.99,-
64,雲林縣,2004/05,臺西,2.2,0.28,-,37.5,51,-,10.46,1.56,8.9,-,-,-,26.72,-,-,-,-
65,嘉義縣,2004/05,朴子,2.9,0.36,-,32.8,52,-,14.71,1.8,12.97,2.316,0.172,2.145,28.65,-,-,71.16,-
66,嘉義縣,2004/05,新港,3.4,0.33,-,25.1,63,-,15.21,2.79,12.42,-,-,-,26.98,-,-,75.65,-
67,屏東縣,2004/05,屏東,2.6,0.58,-,18.8,-,-,-,-,-,2.402,0.188,2.22,-,-,-,-,-
68,屏東縣,2004/05,潮州,2.4,0.26,-,23.6,44,-,-,-,-,-,-,-,29.72,-,-,73.05,-
69,屏東縣,2004/05,恆春,0.6,0.11,-,26.4,20,-,-,-,-,-,-,-,27.7,-,-,76.7,-
70,臺東縣,2004/05,臺東,0.5,0.43,-,24.7,30,-,8.15,1.2,6.96,2.585,0.182,2.402,27.61,-,-,76.22,-
71,花蓮縣,2004/05,花蓮,0.6,0.43,-,19.7,36,-,14.31,3.14,11.18,2.198,0.308,1.891,27.25,-,-,-,-
72,澎湖縣,2004/05,馬公,0.7,0.26,-,49.6,37,-,5.08,1.05,4.02,-,-,-,26.59,-,-,80.51,-
73,金門縣,2004/05,金門,5.9,0.41,-,35.0,57,-,12.7,3.3,9.39,-,-,-,24.96,-,-,-,-
74,連江縣,2004/05,馬祖,1.6,0.26,-,45.8,50,-,5.57,1.02,4.54,-,-,-,22.48,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
