序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
1,臺北市,2017/04,松山,3.3,0.62,444.15,30.8,43,25,33.01,7.61,25.4,2.154,0.215,1.939,1.54,1.11,22.59,-,-,70.59,-
2,臺北市,2017/04,古亭,2.5,0.59,-,35.1,39,24,28.72,6.12,22.6,2.218,0.21,2.009,1.83,1.51,22.62,-,-,70.93,-
3,臺北市,2017/04,中山,2.8,0.74,-,28.2,44,23,38.88,10,28.88,2.206,0.241,1.965,1.72,1.25,23.21,-,-,72.57,-
4,臺北市,2017/04,大同,3.7,1.41,-,-,59,22,76.59,38.18,38.41,2.605,0.453,2.152,-,-,-,-,-,-,-
5,臺北市,2017/04,萬華,2.7,0.64,-,31,42,22,32.71,6.4,26.31,-,-,-,1.7,1.35,23.25,-,-,69.64,-
6,臺北市,2017/04,陽明,2.2,0.22,421.76,54.3,20,15,4.75,0.54,4.18,-,-,-,-,-,15.86,1.58,4.3,85.85,36.89
7,臺北市,2017/04,士林,2.6,0.47,-,36.1,41,20,21.34,3.68,17.66,-,-,-,1.82,1.54,22.63,-,-,73.86,-
8,新北市,2017/04,板橋,4,0.7,-,31.5,50,24,33.45,7.13,26.33,2.309,0.3,2.009,1.83,1.44,23.43,1.68,4.8,67.24,29.28
9,新北市,2017/04,三重,3.6,1.46,-,-,63,23,95.18,52.18,43.01,2.615,0.489,2.126,-,-,23.13,-,-,66.39,-
10,新北市,2017/04,菜寮,3,0.64,-,33.4,46,25,29.55,5.93,23.63,-,-,-,1.94,1.55,23.33,-,-,69.08,-
11,新北市,2017/04,永和,2.6,0.94,-,32.2,44,25,37.55,12.99,24.56,2.262,0.305,1.957,1.71,1.44,22.72,-,-,67.58,-
12,新北市,2017/04,新莊,3.5,0.67,-,32,49,23,33.75,8.53,25.22,-,-,-,2.28,1.97,22.99,-,-,66.46,-
13,新北市,2017/04,新店,2.4,0.49,-,38.3,37,22,20.7,3.86,16.83,-,-,-,1.77,1.34,22.07,-,-,68.08,-
14,新北市,2017/04,淡水,2.4,0.43,-,35.1,46,24,17.07,2.81,14.25,-,-,-,-,-,-,-,-,-,-
