序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1997/09,松山,4.9,1.14,18.6,41.0,-,52,16.6,35.14,-,-,-,25.54,-,-
2,臺北市,1997/09,古亭,3.8,1.2,18.9,50.0,29,50,19.1,30.71,2.4,0.28,2.12,25.31,-,-
3,臺北市,1997/09,中山,5.2,1.28,16.9,50.0,-,57,20.29,36.76,2.8,0.47,2.34,26.27,-,-
4,臺北市,1997/09,大同,9.7,4.2,-,49.0,-,179,132.14,47.02,4.3,1.87,2.43,26.74,-,-
5,臺北市,1997/09,萬華,4.0,0.99,21.5,52.0,-,35,6.74,28.57,-,-,-,25.25,-,-
6,臺北市,1997/09,陽明,2.5,0.23,43.0,-,-,4,0.31,3.75,-,-,-,19.68,-,-
7,臺北市,1997/09,士林,3.2,0.99,21.3,43.0,-,39,12.77,25.82,-,-,-,25.27,-,-
8,新北市,1997/09,板橋,8.5,1.11,18.7,67.0,-,51,15.35,35.91,2.76,0.61,2.15,26.4,-,-
9,新北市,1997/09,三重,7.8,2.54,-,77.0,49,129,85.22,43.3,-,-,-,26.7,-,-
10,新北市,1997/09,菜寮,5.9,1.3,13.5,59.0,-,50,17.42,32.74,-,-,-,25.61,-,-
11,新北市,1997/09,永和,4.8,2.04,-,62.0,-,73,38.11,35.02,3.47,0.88,2.58,28.45,-,-
12,新北市,1997/09,新莊,7.6,0.99,21.7,51.0,-,42,12.23,29.45,2.32,0.28,1.96,25.99,-,-
13,新北市,1997/09,新店,2.3,0.74,27.7,37.0,-,23,2.82,19.85,-,-,-,25.44,-,-
14,新北市,1997/09,淡水,2.9,0.83,27.2,47.0,-,25,5.96,19.36,-,-,-,25.89,-,-
15,新北市,1997/09,汐止,4.9,0.91,18.0,58.0,-,55,19.06,35.65,-,-,-,24.88,-,-
16,新北市,1997/09,土城,4.9,0.83,15.2,49.0,-,38,12.42,25.91,-,-,-,25.86,-,-
17,新北市,1997/09,林口,5.1,0.6,29.2,33.0,-,29,7.0,21.83,-,-,-,23.83,-,-
18,新北市,1997/09,萬里,1.4,0.36,33.5,44.0,-,7,1.14,6.07,2.01,0.07,1.94,25.22,-,-
19,臺中市,1997/09,西屯,3.9,0.61,22.7,50.0,-,30,9.37,20.28,2.4,0.27,2.13,25.95,-,-
