序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
52,新竹縣,2014/01,湖口,4.9,0.41,-,33.5,62,44,20.62,4.71,15.91,4.22,15.84,65.71
53,苗栗縣,2014/01,苗栗,4.6,0.53,-,25.7,66,41,28.24,7.24,20.99,2.53,16.02,69.02
54,苗栗縣,2014/01,頭份,4.1,0.47,-,29.6,67,42,24.02,5.69,18.33,2.66,15.78,68.34
55,苗栗縣,2014/01,三義,2.7,0.34,-,39.1,58,38,11.19,1.5,9.69,3.78,13.59,75.82
56,彰化縣,2014/01,彰化,4.5,0.64,-,25.9,74,51,26.66,5.74,20.92,2.14,16.05,64.54
57,彰化縣,2014/01,線西,6.1,0.46,-,29.8,80,46,22.46,4.92,17.53,4.64,16.02,74.19
58,彰化縣,2014/01,二林,4.8,0.42,-,32.1,88,49,18.93,3.66,15.26,3.53,15.7,72.14
59,南投縣,2014/01,南投,3.0,0.62,-,23.3,83,48,27.64,5.63,22.01,1.52,16.49,70.48
60,南投縣,2014/01,埔里,2.3,0.56,-,28.4,63,46,20.44,2.79,17.64,1.32,16.03,66.64
61,南投縣,2014/01,竹山,3.1,0.48,-,32.1,87,50,19.24,2.13,17.1,1.31,16.02,65.02
62,雲林縣,2014/01,斗六,4.2,0.52,-,29.8,91,56,22.45,3.25,19.21,1.83,17.73,65.79
63,雲林縣,2014/01,崙背,4.3,0.46,-,28.5,102,53,19.6,3.47,16.12,3.23,17.08,73.79
64,雲林縣,2014/01,麥寮,4.4,0.41,-,35.8,102,47,18.25,3.68,14.57,4.1,16.13,75.49
65,雲林縣,2014/01,臺西,4.5,0.35,-,38.3,104,42,14.2,2.1,12.08,6.4,17.21,77.91
66,嘉義縣,2014/01,朴子,4.2,0.42,-,33.8,120,53,18.33,3.03,15.3,2.28,17.02,67.51
67,嘉義縣,2014/01,新港,3.9,0.47,-,32.1,102,53,20.74,5.03,15.71,2.68,16.59,70.87
68,屏東縣,2014/01,屏東,4.2,0.63,-,37.7,94,57,22.28,2.19,20.08,1.28,19.09,63.14
69,屏東縣,2014/01,潮州,4.0,0.46,-,38.4,103,61,-,-,-,1.52,18.09,70.45
70,屏東縣,2014/01,恆春,1.7,0.19,408.31,49.8,35,20,2.98,1.19,1.76,7.37,20.01,69.37
71,臺東縣,2014/01,臺東,1.7,0.39,-,36.6,42,20,8.66,2.07,6.59,2.11,19.63,64.9
72,臺東縣,2014/01,關山,1.7,-,-,31.5,44,20,7.02,1.3,5.71,1.58,15.9,74.12
73,花蓮縣,2014/01,花蓮,2.2,0.43,-,29.8,40,30,14.5,2.51,11.99,2.54,18.63,64.6
74,澎湖縣,2014/01,馬公,2.4,0.29,-,47.7,60,32,6.12,1.05,5.07,5.09,17.13,70.7
75,金門縣,2014/01,金門,7.4,0.49,-,34.4,115,62,20.45,3.06,17.38,2.79,14.25,62.09
76,連江縣,2014/01,馬祖,5.4,0.43,-,42.6,79,49,11.2,1.86,9.34,3.77,11.71,71.66
,,,,,,,,,,,,,,,
