序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1995/04,松山,11.6,1.47,18.7,82.0,65,24,44.83,-,-,-,21.81,-,-
2,臺北市,1995/04,古亭,9.5,1.47,20.1,74.0,65,25,40.0,2.76,0.55,2.23,22.22,-,-
3,臺北市,1995/04,中山,12.4,1.65,21.5,82.0,65,27,38.94,2.93,0.62,2.3,22.06,-,-
4,臺北市,1995/04,大同,16.4,4.32,-,92.0,194,136,57.84,4.7,2.04,2.71,22.75,-,-
5,臺北市,1995/04,萬華,11.1,1.56,20.4,81.0,57,19,37.61,-,-,-,22.11,-,-
6,臺北市,1995/04,陽明,3.1,0.37,47.9,23.0,4,0,3.89,-,-,-,16.91,-,-
7,臺北市,1995/04,士林,7.3,1.1,23.4,66.0,48,15,32.57,-,-,-,22.13,-,-
8,新北市,1995/04,板橋,16.5,1.51,19.8,88.0,67,23,43.77,3.09,0.77,2.32,22.25,-,-
9,新北市,1995/04,菜寮,12.0,1.7,16.8,84.0,64,25,39.02,-,-,-,22.34,-,-
10,新北市,1995/04,新莊,16.4,1.23,19.7,79.0,55,21,34.04,2.8,0.52,2.28,21.82,-,-
11,新北市,1995/04,新店,8.0,1.03,21.7,61.0,37,8,28.95,-,-,-,22.17,-,-
12,新北市,1995/04,淡水,5.6,1.1,25.8,65.0,35,11,23.53,-,-,-,21.83,-,-
13,新北市,1995/04,汐止,13.1,1.13,17.9,82.0,70,30,40.19,-,-,-,20.89,-,-
14,新北市,1995/04,土城,13.4,1.2,21.4,81.0,54,19,35.81,-,-,-,22.13,-,-
15,新北市,1995/04,林口,9.4,0.74,33.7,70.0,36,11,24.79,-,-,-,19.97,-,-
16,新北市,1995/04,萬里,4.0,0.48,39.6,55.0,13,2,10.85,2.14,0.11,2.04,20.46,-,-
