序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2007/04,松山,4.5,0.74,407.08,30.2,60,38,45.21,10.86,34.35,2.227,0.284,1.943,21.2,-,-,76.6,-
2,臺北市,2007/04,古亭,3.9,0.79,-,31.0,64,43,41.79,9.91,31.87,2.234,0.224,2.01,20.84,-,-,76.29,-
3,臺北市,2007/04,中山,5.0,0.95,-,25.1,67,43,54.44,16.36,38.08,2.302,0.302,2.001,21.34,-,-,75.53,-
4,臺北市,2007/04,萬華,4.7,0.82,-,32.8,58,40,38.45,7.43,31.02,-,-,-,22.45,-,-,71.88,-
5,臺北市,2007/04,陽明,2.4,0.29,394.22,58.0,32,23,5.5,1.1,4.39,-,-,-,15.13,-,-,91.48,-
6,臺北市,2007/04,士林,3.5,0.62,-,37.1,65,35,28.25,5.14,23.11,-,-,-,21.4,-,-,77.7,-
7,新北市,2007/04,板橋,5.2,0.84,-,31.6,61,38,38.36,7.88,30.48,2.497,0.399,2.098,21.33,-,-,72.67,-
8,新北市,2007/04,三重,4.7,1.92,-,-,74,47,128.86,81.29,47.57,2.866,0.836,2.031,21.54,-,-,76.05,-
9,新北市,2007/04,菜寮,4.7,0.91,-,32.9,59,34,45.48,11.96,33.52,-,-,-,22.11,-,-,71.06,-
10,新北市,2007/04,永和,4.9,1.25,-,29.0,58,-,57.5,21.73,35.77,-,-,-,20.48,-,-,77.41,-
11,新北市,2007/04,新莊,5.7,0.74,-,35.0,60,38,35.95,6.84,29.1,-,-,-,20.95,-,-,75.91,-
12,新北市,2007/04,新店,3.3,0.57,-,33.4,50,32,23.23,3.24,19.98,-,-,-,21.06,-,-,80.23,-
13,新北市,2007/04,淡水,2.8,0.5,-,38.9,49,31,19.79,3.05,16.71,-,-,-,-,-,-,-,-
14,新北市,2007/04,汐止,6.0,0.61,-,33.7,56,32,36.85,9.67,27.17,-,-,-,20.77,-,-,82.28,-
15,新北市,2007/04,土城,4.0,0.71,-,32.2,61,36,36.37,8.83,27.54,2.336,0.371,1.965,21.15,-,-,76.3,-
16,新北市,2007/04,林口,4.0,0.46,-,42.4,67,35,23.92,2.96,20.93,-,-,-,19.02,-,-,83.15,-
17,新北市,2007/04,萬里,2.2,0.36,-,47.3,55,24,9.66,1.26,8.38,-,-,-,20.19,-,-,79.02,-
18,臺中市,2007/04,西屯,3.4,0.55,-,36.4,64,42,26.62,6.23,20.38,2.286,0.3,1.986,22.0,-,-,74.75,-
19,臺中市,2007/04,忠明,3.2,0.75,-,28.9,64,40,34.29,7.63,26.65,2.32,0.355,1.964,22.02,-,-,75.04,-
20,臺中市,2007/04,豐原,3.8,0.67,-,34.6,62,35,26.45,4.55,21.9,2.08,0.298,1.783,21.8,-,-,74.38,-
21,臺中市,2007/04,沙鹿,3.0,0.51,-,42.2,60,37,22.06,3.52,18.52,-,-,-,21.66,-,-,75.68,-
22,臺中市,2007/04,大里,4.3,0.69,417.45,30.0,64,45,30.21,7.11,23.1,1.999,0.335,1.664,21.94,-,-,71.58,-
23,臺南市,2007/04,新營,4.0,0.49,-,36.7,79,44,20.42,3.58,16.84,2.251,0.143,2.108,22.79,-,-,74.24,-
24,臺南市,2007/04,善化,4.4,0.43,450.63,34.8,73,44,19.93,4.2,15.73,-,-,-,23.55,-,-,80.35,-
25,臺南市,2007/04,安南,4.7,0.47,-,30.7,67,-,24.4,4.32,20.08,2.089,0.188,1.901,23.48,-,-,69.24,-
26,臺南市,2007/04,臺南,4.5,0.59,-,42.4,65,-,20.5,2.08,18.41,2.129,0.235,1.893,23.69,-,-,70.01,-
27,高雄市,2007/04,左營,7.6,0.63,-,36.7,63,43,23.74,4.01,19.73,2.134,0.217,1.916,24.7,-,-,70.72,-
28,高雄市,2007/04,楠梓,5.6,0.51,-,36.4,71,45,23.54,5.69,17.87,1.974,0.163,1.817,24.9,-,-,66.24,-
29,高雄市,2007/04,前金,7.7,0.61,-,40.5,70,42,28.55,6.22,22.33,2.293,0.234,2.058,25.37,-,-,69.21,-
30,高雄市,2007/04,前鎮,11.9,0.66,-,33.7,70,48,33.84,7.96,25.87,-,-,-,25.14,-,-,70.72,-
31,高雄市,2007/04,復興,9.9,0.93,-,33.4,70,46,40.37,9.34,31.03,-,-,-,25.12,-,-,71.79,-
32,高雄市,2007/04,小港,13.9,0.6,-,32.7,71,-,36.79,8.26,28.53,2.041,0.291,1.75,25.86,-,-,66.15,-
33,高雄市,2007/04,鳳山,11.7,0.74,-,30.4,83,42,29.93,6.73,23.21,2.411,0.374,2.037,25.82,-,-,72.43,-
34,高雄市,2007/04,林園,9.6,0.49,-,44.3,79,-,21.2,4.21,16.99,2.046,0.16,1.927,24.9,-,-,72.53,-
35,高雄市,2007/04,大寮,8.4,0.55,-,37.9,81,-,25.37,4.68,20.68,-,-,-,24.89,-,-,68.93,-
36,高雄市,2007/04,仁武,12.6,0.56,-,26.7,66,51,32.51,7.19,25.32,2.246,0.294,1.954,25.53,-,-,69.02,-
37,高雄市,2007/04,橋頭,5.4,0.51,-,32.6,75,44,24.17,3.97,20.21,-,-,-,24.91,-,-,72.32,-
38,高雄市,2007/04,美濃,3.3,0.43,-,42.0,72,-,14.51,3.01,11.5,-,-,-,24.75,-,-,72.69,-
39,基隆市,2007/04,基隆,4.0,0.53,-,38.7,46,32,22.74,4.31,18.43,1.98,0.162,1.818,21.37,-,-,76.17,-
40,新竹市,2007/04,新竹,4.0,0.57,-,32.5,59,39,27.65,4.61,23.03,2.239,0.222,2.017,21.52,-,-,73.79,-
41,嘉義市,2007/04,嘉義,3.9,0.57,-,34.8,74,47,22.22,3.81,18.41,2.239,0.187,2.052,22.87,-,-,72.63,-
42,宜蘭縣,2007/04,宜蘭,2.7,0.5,406.53,32.2,52,-,15.83,2.66,13.17,-,-,-,20.65,-,-,77.58,-
43,宜蘭縣,2007/04,冬山,3.1,0.5,-,29.8,49,25,18.02,3.34,14.67,-,-,-,21.06,-,-,78.74,-
44,桃園市,2007/04,桃園,8.2,0.69,-,33.6,70,-,33.97,5.76,28.21,2.184,0.307,1.878,20.97,-,-,79.2,-
45,桃園市,2007/04,中壢,7.7,1.08,-,27.8,77,-,59.22,25.33,33.89,2.651,0.534,2.117,20.43,-,-,75.15,-
46,桃園市,2007/04,大園,5.3,0.46,-,41.1,65,-,26.72,4.65,22.06,-,-,-,20.02,-,-,78.61,-
47,桃園市,2007/04,龍潭,3.1,0.53,-,36.5,74,-,25.54,3.65,21.88,-,-,-,19.24,-,-,84.41,-
48,桃園市,2007/04,平鎮,5.8,0.55,-,38.2,71,-,-,-,-,-,-,-,19.94,-,-,77.12,-
49,桃園市,2007/04,觀音,5.8,0.37,-,46.7,66,-,16.61,1.73,14.85,-,-,-,20.25,-,-,79.54,-
50,新竹縣,2007/04,竹東,1.5,0.5,-,34.8,53,-,18.73,2.68,16.05,-,-,-,20.9,-,-,79.83,-
51,新竹縣,2007/04,湖口,4.0,0.42,-,43.7,58,39,19.64,3.68,15.96,-,-,-,20.67,-,-,77.5,-
52,苗栗縣,2007/04,苗栗,4.1,0.55,-,32.8,52,35,23.02,4.6,18.42,-,-,-,21.54,-,-,75.87,-
53,苗栗縣,2007/04,頭份,3.5,0.44,-,38.8,54,31,21.38,3.68,17.68,-,-,-,21.27,-,-,76.45,-
54,苗栗縣,2007/04,三義,2.7,0.41,-,39.9,49,-,16.73,2.05,14.66,-,-,-,19.64,-,-,84.58,-
55,彰化縣,2007/04,彰化,4.5,0.6,-,30.8,63,47,33.1,7.93,25.3,2.21,0.233,1.978,22.43,-,-,73.98,-
56,彰化縣,2007/04,線西,4.4,0.41,-,38.2,63,38,19.54,3.79,15.75,-,-,-,21.86,-,-,74.04,-
57,彰化縣,2007/04,二林,2.6,0.4,-,41.5,59,45,14.42,2.41,12.0,-,-,-,22.54,-,-,77.78,-
58,南投縣,2007/04,南投,3.6,0.66,-,31.7,71,-,27.21,6.08,21.12,2.268,0.161,2.107,22.62,-,-,74.97,-
59,南投縣,2007/04,埔里,2.2,0.52,-,34.9,47,-,15.43,3.0,12.42,-,-,-,21.92,-,-,73.8,-
60,南投縣,2007/04,竹山,3.1,0.52,-,33.5,61,46,19.91,3.06,16.84,-,-,-,22.25,-,-,80.67,-
61,雲林縣,2007/04,斗六,3.4,0.53,-,34.8,65,45,23.16,4.27,18.9,-,-,-,23.48,-,-,75.73,-
62,雲林縣,2007/04,崙背,3.2,0.38,-,40.9,71,-,14.28,2.79,11.49,-,-,-,23.08,-,-,77.48,-
63,雲林縣,2007/04,臺西,4.3,0.34,-,48.5,60,-,15.51,2.45,13.02,-,-,-,22.56,-,-,77.03,-
64,嘉義縣,2007/04,朴子,3.4,0.44,-,40.7,75,34,16.55,2.68,13.86,-,-,-,22.61,-,-,79.35,-
65,嘉義縣,2007/04,新港,3.3,0.46,-,37.4,75,46,18.38,4.13,14.25,-,-,-,22.67,-,-,76.17,-
66,屏東縣,2007/04,屏東,5.1,0.59,-,34.2,71,42,19.38,2.24,17.13,2.204,0.203,2.002,25.44,-,-,70.86,-
67,屏東縣,2007/04,潮州,4.6,0.45,-,37.2,74,-,18.61,3.6,15.0,-,-,-,25.33,-,-,72.65,-
68,屏東縣,2007/04,恆春,1.7,0.2,405.69,42.4,27,-,4.54,1.65,2.88,-,-,-,24.61,-,-,76.05,-
69,臺東縣,2007/04,臺東,1.6,0.42,-,41.9,29,17,10.74,3.21,7.54,-,-,-,24.13,-,-,74.67,-
70,臺東縣,2007/04,關山,1.6,-,-,34.0,30,17,-,-,-,-,-,-,21.93,-,-,79.04,-
71,花蓮縣,2007/04,花蓮,2.0,0.57,-,28.6,40,-,15.77,2.72,13.04,-,-,-,22.4,-,-,80.51,-
72,澎湖縣,2007/04,馬公,2.3,0.32,-,58.9,50,29,5.6,1.22,4.38,-,-,-,22.25,-,-,76.66,-
73,金門縣,2007/04,金門,9.4,0.5,-,46.8,100,55,18.21,3.75,14.46,-,-,-,16.86,-,-,72.76,-
74,連江縣,2007/04,馬祖,4.6,0.39,-,60.0,83,40,9.4,1.71,7.68,-,-,-,17.55,-,-,78.58,-
,,,,,,,,,,,,,,,,,,,,
