序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2012/01,松山,2.7,0.6,414.0,21.0,36,25,31.82,8.71,23.11,2.16,0.193,1.967,15.89,80.15
2,臺北市,2012/01,古亭,2.6,0.65,-,19.4,44,27,32.48,9.8,22.68,2.194,0.199,1.994,16.3,82.35
3,臺北市,2012/01,中山,2.8,0.77,-,16.3,35,32,42.49,15.6,26.89,2.234,0.245,1.989,16.54,78.71
4,臺北市,2012/01,大同,3.4,1.51,-,-,48,31,79.73,48.01,31.72,2.595,0.577,2.018,-,-
5,臺北市,2012/01,萬華,2.4,0.67,-,16.6,35,25,36.61,10.17,26.43,-,-,-,16.42,80.0
6,臺北市,2012/01,陽明,1.3,0.28,397.68,39.0,11,8,3.02,0.96,2.04,-,-,-,10.33,98.09
7,臺北市,2012/01,士林,2.1,0.49,-,26.3,37,21,20.55,5.47,15.08,-,-,-,16.13,76.33
8,新北市,2012/01,板橋,3.1,0.64,-,20.4,38,25,29.55,7.01,22.54,2.214,0.269,1.945,16.11,76.81
9,新北市,2012/01,三重,2.9,1.87,-,-,54,29,134.96,94.35,40.61,2.82,0.749,2.072,16.12,75.85
10,新北市,2012/01,菜寮,2.7,0.66,-,22.5,35,23,29.28,7.68,21.59,-,-,-,16.03,78.03
11,新北市,2012/01,永和,2.8,0.98,-,17.9,38,25,41.84,19.73,22.11,2.31,0.359,1.951,16.25,78.82
12,新北市,2012/01,新莊,3.0,0.58,-,23.1,32,22,24.66,5.65,19.01,-,-,-,15.95,79.39
13,新北市,2012/01,新店,2.0,0.48,-,22.8,28,20,19.03,3.61,15.41,-,-,-,15.81,82.16
14,新北市,2012/01,淡水,2.0,0.37,-,30.0,25,19,11.83,3.15,8.67,-,-,-,-,-
15,新北市,2012/01,汐止,3.5,0.5,-,21.7,31,21,28.74,8.95,19.79,-,-,-,16.07,87.23
16,新北市,2012/01,土城,3.0,0.59,-,22.1,36,27,25.22,6.22,19.01,2.224,0.245,1.979,16.15,83.22
17,新北市,2012/01,林口,2.4,0.37,-,29.5,30,18,14.22,2.32,11.89,-,-,-,14.24,90.01
18,新北市,2012/01,萬里,1.9,0.31,-,38.2,48,18,6.77,1.62,5.15,-,-,-,16.29,82.79
19,臺中市,2012/01,西屯,2.4,0.43,-,25.3,39,26,17.69,4.36,13.33,2.092,0.171,1.921,17.01,79.91
20,臺中市,2012/01,忠明,2.1,0.46,-,22.7,42,-,25.61,7.1,18.51,2.021,0.17,1.851,16.18,77.18
21,臺中市,2012/01,豐原,2.6,0.56,-,19.0,43,22,19.42,5.03,14.39,2.137,0.177,1.96,15.29,80.55
22,臺中市,2012/01,沙鹿,2.4,0.39,-,28.0,42,29,14.55,2.7,11.85,-,-,-,16.41,79.18
23,臺中市,2012/01,大里,2.6,0.64,429.51,19.0,48,30,30.22,9.11,21.11,2.238,0.272,1.966,16.36,71.03
24,臺南市,2012/01,新營,2.9,0.47,-,22.5,72,37,21.31,3.83,17.47,2.031,0.106,1.925,17.51,83.25
25,臺南市,2012/01,善化,3.1,0.45,414.29,22.0,69,38,20.75,3.89,16.85,-,-,-,17.44,82.93
26,臺南市,2012/01,安南,3.0,0.44,-,25.2,74,37,18.52,3.85,14.67,2.141,0.222,1.919,17.53,77.07
27,臺南市,2012/01,臺南,2.9,0.58,-,23.8,69,41,22.99,4.08,18.91,2.099,0.207,1.892,17.65,81.05
28,高雄市,2012/01,左營,4.2,0.6,-,21.1,84,48,27.76,5.32,22.44,2.171,0.21,1.961,18.22,76.67
29,高雄市,2012/01,楠梓,3.4,0.54,-,20.2,88,48,26.75,6.2,20.55,2.06,0.167,1.894,18.18,78.21
30,高雄市,2012/01,前金,4.5,0.69,-,20.3,88,54,30.41,6.43,23.98,2.201,0.241,1.96,18.66,75.82
31,高雄市,2012/01,前鎮,5.2,0.81,-,17.9,87,59,39.26,11.37,27.89,2.353,0.354,1.999,19.47,77.3
32,高雄市,2012/01,復興,6.3,1.05,-,17.7,90,49,47.72,15.29,32.43,2.633,0.516,2.117,18.87,75.4
33,高雄市,2012/01,小港,8.2,0.77,-,16.2,85,68,48.46,16.46,32.0,2.079,0.346,1.733,19.53,71.85
34,高雄市,2012/01,鳳山,11.5,0.73,-,17.7,103,54,37.69,10.87,26.82,2.294,0.361,1.933,18.82,78.17
35,高雄市,2012/01,林園,10.5,0.63,-,24.2,95,65,36.22,8.87,27.35,2.337,0.25,2.087,19.44,75.02
36,高雄市,2012/01,大寮,6.4,0.62,-,22.4,83,57,32.51,7.02,25.49,2.342,0.297,2.044,19.19,76.55
37,高雄市,2012/01,仁武,7.4,0.59,-,18.0,94,50,35.61,9.86,25.75,1.976,0.276,1.701,18.38,77.74
38,高雄市,2012/01,橋頭,3.9,0.58,-,20.4,83,49,25.76,5.79,19.96,-,-,-,18.71,78.89
39,高雄市,2012/01,美濃,1.6,0.49,-,22.1,68,44,14.42,2.81,11.61,-,-,-,18.98,83.03
40,基隆市,2012/01,基隆,1.9,0.45,-,29.9,28,20,16.35,4.86,11.49,2.058,0.12,1.938,15.76,87.15
41,新竹市,2012/01,新竹,3.2,0.47,-,26.3,39,27,19.76,4.61,15.15,2.072,0.163,1.91,15.36,79.89
42,嘉義市,2012/01,嘉義,4.3,0.6,-,17.8,78,45,27.23,6.42,20.81,2.18,0.215,1.966,17.29,76.64
43,宜蘭縣,2012/01,宜蘭,2.3,0.45,409.63,24.2,29,19,10.89,2.26,8.63,-,-,-,15.9,83.89
44,宜蘭縣,2012/01,冬山,1.8,0.44,-,24.8,30,18,19.06,6.85,12.2,-,-,-,16.14,74.24
45,桃園市,2012/01,桃園,3.4,0.52,-,23.8,37,20,21.5,5.04,16.45,2.033,0.164,1.869,15.09,85.16
46,桃園市,2012/01,中壢,4.0,0.81,-,19.4,56,25,41.72,16.88,24.84,2.482,0.349,2.133,15.2,85.74
47,桃園市,2012/01,大園,3.2,0.36,-,28.3,31,20,16.84,4.13,12.71,-,-,-,15.66,77.52
48,桃園市,2012/01,龍潭,3.3,0.51,-,23.6,47,19,19.82,4.41,15.41,-,-,-,14.45,84.46
49,桃園市,2012/01,平鎮,3.4,0.5,-,22.6,46,20,22.5,4.38,18.12,-,-,-,15.01,83.34
50,桃園市,2012/01,觀音,5.8,0.33,-,32.9,58,22,10.44,1.88,8.55,-,-,-,15.72,85.46
51,新竹縣,2012/01,竹東,1.6,0.46,-,25.9,32,19,17.26,4.24,13.02,-,-,-,15.82,82.02
52,新竹縣,2012/01,湖口,2.8,0.37,-,30.5,34,25,12.09,2.2,9.89,-,-,-,15.13,82.73
53,苗栗縣,2012/01,苗栗,3.3,0.52,-,23.0,37,25,23.53,5.3,18.23,-,-,-,15.61,81.36
54,苗栗縣,2012/01,頭份,3.1,0.45,-,27.6,40,24,18.94,4.5,14.44,2.092,0.114,1.978,15.41,78.44
55,苗栗縣,2012/01,三義,1.8,0.38,-,26.0,29,20,13.09,2.4,10.68,-,-,-,13.14,91.28
56,彰化縣,2012/01,彰化,3.0,0.55,-,20.7,44,30,23.14,5.62,17.53,1.939,0.184,1.755,16.14,75.16
57,彰化縣,2012/01,線西,4.1,0.42,-,29.3,47,26,14.18,2.04,12.13,1.959,0.07,1.89,15.93,82.73
58,彰化縣,2012/01,二林,3.3,0.35,-,28.9,54,30,12.95,1.81,11.13,-,-,-,16.1,78.32
59,南投縣,2012/01,南投,2.6,0.65,-,14.8,53,29,29.65,9.09,20.55,2.19,0.231,1.96,16.7,78.77
60,南投縣,2012/01,埔里,1.9,0.54,-,21.5,45,34,18.12,3.78,14.35,-,-,-,17.16,77.91
61,南投縣,2012/01,竹山,2.3,0.5,-,19.3,52,41,22.25,4.73,17.53,-,-,-,15.92,81.37
62,雲林縣,2012/01,斗六,3.0,0.52,-,20.8,61,38,23.03,4.87,18.16,-,-,-,17.02,76.77
63,雲林縣,2012/01,崙背,2.9,0.42,-,27.3,53,21,15.04,2.59,12.46,-,-,-,16.57,86.58
64,雲林縣,2012/01,麥寮,3.5,0.37,-,32.6,48,25,10.99,3.32,7.67,1.905,0.051,1.853,16.04,83.78
65,雲林縣,2012/01,臺西,2.7,0.31,-,36.6,41,28,7.01,1.37,5.64,1.912,0.063,1.849,16.47,84.46
66,嘉義縣,2012/01,朴子,2.8,0.4,-,27.9,69,34,13.87,2.19,11.68,-,-,-,17.31,81.84
67,嘉義縣,2012/01,新港,3.0,0.44,-,25.8,53,36,14.43,2.49,11.94,-,-,-,16.22,77.65
68,屏東縣,2012/01,屏東,2.8,0.61,-,24.3,80,49,20.22,3.42,16.8,2.158,0.2,1.957,19.24,75.94
