序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,1998/11,松山,3.3,0.68,20.8,42.0,-,49,17.17,31.89,-,-,-,22.81,-,-,-
2,臺北市,1998/11,古亭,2.6,0.87,19.6,42.0,24,45,16.63,28.56,2.41,0.36,2.06,22.01,-,-,-
3,臺北市,1998/11,中山,3.7,-,20.4,45.0,-,48,15.67,32.1,2.49,0.33,2.15,23.06,-,-,-
4,臺北市,1998/11,大同,4.7,3.54,-,-,-,183,135.6,47.47,4.26,1.86,2.4,23.55,-,-,-
5,臺北市,1998/11,萬華,2.9,0.92,20.6,42.0,-,33,7.09,26.14,-,-,-,22.9,-,-,-
6,臺北市,1998/11,陽明,1.2,0.2,44.1,16.0,-,2,0.4,1.93,-,-,-,16.52,-,-,-
7,臺北市,1998/11,士林,1.9,0.57,28.5,35.0,-,24,6.79,17.71,-,-,-,23.14,-,-,-
8,新北市,1998/11,板橋,4.5,0.84,18.0,56.0,-,39,12.73,26.65,2.69,0.54,2.15,22.97,-,-,-
9,新北市,1998/11,三重,3.8,2.13,-,67.0,41,123,78.94,43.47,-,-,-,22.71,-,-,-
10,新北市,1998/11,菜寮,2.8,0.95,20.4,52.0,-,39,11.36,27.75,-,-,-,22.84,-,-,-
11,新北市,1998/11,永和,3.0,1.04,-,57.0,-,61,30.47,30.2,2.62,0.57,2.05,25.34,-,-,-
12,新北市,1998/11,新莊,3.9,0.69,24.1,40.0,-,34,8.17,25.38,-,-,-,23.1,-,-,-
13,新北市,1998/11,新店,1.4,0.55,28.0,36.0,-,22,3.68,18.72,-,-,-,22.04,-,-,-
