序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)"
1,臺北市,2015/09,松山,3.0,0.45,419.72,32.6,31,15,23.3,5.3,18.0,1.95,0.15,1.8,1.89,1.43,27.22,-,-,71.83,-
2,臺北市,2015/09,古亭,2.8,0.51,-,28.4,41,12,23.4,5.14,18.26,2.115,0.153,1.962,2.3,1.9,27.17,-,-,78.36,-
3,臺北市,2015/09,中山,3.1,0.65,-,27.8,35,17,30.56,7.92,22.65,2.108,0.203,1.906,2.08,1.58,28.08,-,-,72.97,-
4,臺北市,2015/09,大同,3.3,1.4,-,-,47,15,62.66,32.38,30.27,2.494,0.446,2.048,-,-,-,-,-,-,-
5,臺北市,2015/09,萬華,3.0,0.56,-,30.3,32,17,27.66,5.54,22.12,-,-,-,2.1,1.75,28.38,-,-,72.02,-
6,臺北市,2015/09,陽明,1.8,0.18,391.52,47.1,15,12,3.61,0.81,2.75,-,-,-,-,-,21.26,5.39,4.64,95.15,27.32
7,臺北市,2015/09,士林,-,0.38,-,37.6,31,17,15.5,2.84,12.65,-,-,-,2.17,1.83,27.44,-,-,71.41,-
8,新北市,2015/09,板橋,3.7,0.57,-,32.1,38,17,26.46,5.09,21.38,2.232,0.242,1.99,1.94,1.54,27.81,2.42,4.75,69.12,27.35
9,新北市,2015/09,三重,3.1,1.49,-,-,49,13,84.56,49.09,35.47,2.626,0.555,2.072,-,-,27.99,-,-,69.82,-
10,新北市,2015/09,菜寮,2.8,0.6,-,26.2,34,11,23.57,5.19,18.39,-,-,-,0.76,0.33,27.65,-,-,71.13,-
11,新北市,2015/09,永和,2.7,0.84,-,29.2,31,16,31.5,11.08,20.42,2.154,0.28,1.875,1.81,1.54,27.44,-,-,69.38,-
12,新北市,2015/09,新莊,3.4,0.53,-,34.1,31,17,23.18,5.23,17.95,-,-,-,2.66,2.27,27.84,-,-,75.74,-
13,新北市,2015/09,新店,2.5,0.4,-,33.4,29,17,15.39,2.82,12.57,-,-,-,4.01,2.91,27.01,-,-,72.07,-
14,新北市,2015/09,淡水,2.3,0.36,-,34.2,40,12,13.12,2.5,10.61,-,-,-,-,-,-,-,-,-,-
15,新北市,2015/09,汐止,3.8,0.4,-,29.4,31,14,21.26,4.95,16.31,-,-,-,1.79,1.4,27.16,-,-,78.27,-
16,新北市,2015/09,土城,2.8,0.46,-,34.7,37,18,20.49,4.72,15.77,2.075,0.179,1.896,1.53,0.78,27.02,-,-,72.02,-
17,新北市,2015/09,林口,2.7,0.31,-,39.3,41,17,15.91,3.31,12.6,-,-,-,2.92,2.49,25.63,-,-,82.86,-
18,新北市,2015/09,萬里,2.3,0.23,-,40.4,40,12,7.18,1.69,5.47,-,-,-,3.82,3.48,26.47,3.51,4.7,80.49,123.84
19,臺中市,2015/09,西屯,3.4,0.35,-,35.9,48,24,19.49,3.66,15.83,2.022,0.197,1.826,2.62,1.44,28.27,3.03,5.54,73.62,41.0
20,臺中市,2015/09,忠明,3.0,0.45,-,34.2,39,24,20.69,3.31,17.37,1.958,0.167,1.79,1.9,1.15,27.53,-,-,69.66,-
21,臺中市,2015/09,豐原,2.5,0.36,-,39.6,33,22,11.15,1.57,9.58,1.812,0.109,1.703,2.15,1.5,26.63,-,-,71.87,-
22,臺中市,2015/09,沙鹿,3.1,0.37,-,35.0,48,19,16.92,2.31,14.61,-,-,-,3.31,1.61,27.22,-,-,76.45,-
23,臺中市,2015/09,大里,2.8,0.49,426.85,37.4,49,26,19.58,2.97,16.61,2.071,0.21,1.861,1.98,1.38,28.54,-,-,69.58,-
24,臺南市,2015/09,新營,2.9,0.34,-,39.3,46,21,11.41,1.39,10.01,2.167,0.093,2.074,1.92,1.16,28.61,3.43,5.22,74.27,67.66
25,臺南市,2015/09,善化,2.6,0.29,414.02,39.2,43,24,10.01,1.28,8.73,-,-,-,2.38,1.84,28.53,-,-,78.29,-
26,臺南市,2015/09,安南,2.8,0.33,-,40.3,45,22,12.9,1.7,11.23,1.954,0.153,1.801,2.26,1.46,29.2,-,-,77.93,-
27,臺南市,2015/09,臺南,3.4,0.43,-,43.0,40,20,12.93,1.57,11.35,2.14,0.157,1.983,2.15,1.6,28.44,-,-,70.41,-
28,高雄市,2015/09,左營,3.6,0.37,-,41.8,41,19,14.36,2.22,12.13,1.995,0.115,1.879,2.38,1.97,28.48,-,-,76.42,-
29,高雄市,2015/09,楠梓,3.1,0.4,-,37.2,51,16,15.0,2.38,12.62,2.01,0.161,1.849,2.02,1.56,28.96,-,-,75.46,-
30,高雄市,2015/09,前金,4.0,0.38,-,42.6,42,19,12.97,1.75,11.22,1.992,0.132,1.86,2.82,2.27,28.89,-,-,72.2,-
31,高雄市,2015/09,前鎮,4.6,0.41,-,37.9,47,16,17.84,3.38,14.45,1.965,0.132,1.833,1.66,1.19,28.82,-,-,72.37,-
32,高雄市,2015/09,復興,3.7,0.58,-,9.4,40,19,18.49,3.45,15.04,2.256,0.328,1.928,0.88,0.71,29.31,-,-,73.73,-
33,高雄市,2015/09,小港,7.1,0.38,-,35.9,44,22,19.48,3.13,16.35,1.98,0.153,1.827,2.24,1.92,28.77,3.34,4.94,74.85,110.72
34,高雄市,2015/09,鳳山,3.9,0.49,-,37.7,53,18,15.58,2.38,13.19,2.163,0.194,1.97,1.93,1.57,29.06,3.21,4.91,72.04,116.79
35,高雄市,2015/09,林園,3.4,0.27,-,42.7,32,21,8.65,1.3,7.34,2.143,0.053,2.092,2.46,2.2,28.61,-,-,78.25,-
36,高雄市,2015/09,大寮,6.3,0.35,-,36.0,44,26,16.67,3.72,12.95,2.155,0.203,1.952,-,-,28.44,-,-,76.25,-
37,高雄市,2015/09,仁武,3.8,0.37,-,38.5,51,20,15.74,2.38,13.36,2.085,0.129,1.956,2.1,1.81,28.54,-,-,72.72,-
38,高雄市,2015/09,橋頭,3.1,0.36,-,36.2,45,14,13.37,2.17,11.2,-,-,-,2.54,2.23,28.54,4.3,4.48,73.73,64.21
39,高雄市,2015/09,美濃,1.6,0.29,-,39.1,-,-,6.42,1.16,5.25,-,-,-,1.36,1.05,26.82,-,-,73.1,-
40,基隆市,2015/09,基隆,2.1,0.32,-,35.0,27,15,12.21,2.62,9.59,1.863,0.111,1.752,1.49,1.13,26.42,-,-,75.39,-
41,新竹市,2015/09,新竹,2.8,0.41,-,37.9,35,23,16.35,2.4,13.95,2.072,0.134,1.938,2.28,1.77,27.64,-,-,69.13,-
42,嘉義市,2015/09,嘉義,2.7,0.39,-,38.0,47,20,11.52,1.76,9.76,1.938,0.141,1.796,1.98,1.37,28.87,-,-,74.59,-
43,宜蘭縣,2015/09,宜蘭,1.7,0.29,406.44,36.6,34,10,6.31,0.98,5.28,-,-,-,1.79,1.33,27.14,-,-,78.64,-
44,宜蘭縣,2015/09,冬山,2.3,0.27,-,32.7,28,17,-,-,-,-,-,-,1.9,1.43,27.23,3.71,4.88,75.64,17.13
45,桃園市,2015/09,桃園,4.6,0.46,-,36.1,33,18,19.15,3.48,15.66,2.111,0.169,1.942,1.66,1.19,26.24,-,-,75.87,-
46,桃園市,2015/09,中壢,4.2,1.04,-,26.7,46,16,43.56,17.28,26.27,2.415,0.391,2.024,1.44,0.63,27.18,-,-,72.87,-
47,桃園市,2015/09,大園,3.6,0.29,-,34.4,36,18,17.66,3.16,14.5,-,-,-,3.45,2.65,27.06,-,-,74.86,-
48,桃園市,2015/09,龍潭,3.2,0.37,-,36.4,41,20,14.39,2.43,11.97,-,-,-,2.87,2.51,26.68,-,-,75.04,-
49,桃園市,2015/09,平鎮,3.5,0.37,-,34.7,41,18,17.16,2.86,14.3,-,-,-,2.73,2.06,26.85,-,-,77.05,-
50,桃園市,2015/09,觀音,4.4,0.26,-,35.7,42,17,14.69,1.61,13.07,-,-,-,3.74,3.45,27.08,1.65,4.75,77.69,81.36
51,新竹縣,2015/09,竹東,2.2,0.31,-,37.9,35,16,10.05,1.44,8.61,-,-,-,2.01,1.4,27.03,-,-,75.69,-
52,新竹縣,2015/09,湖口,3.7,0.3,-,39.6,43,12,12.61,2.44,10.17,-,-,-,3.43,3.18,27.46,-,-,77.84,-
53,苗栗縣,2015/09,苗栗,3.2,0.38,-,33.6,48,22,16.11,2.69,13.42,-,-,-,2.37,1.62,27.27,-,-,73.29,-
54,苗栗縣,2015/09,頭份,3.0,0.34,-,38.2,41,20,16.1,2.39,13.71,2.02,0.087,1.933,2.38,1.81,27.61,-,-,73.41,-
55,苗栗縣,2015/09,三義,2.3,0.29,-,39.9,38,22,10.53,1.37,9.15,-,-,-,3.03,2.44,25.2,5.26,5.2,77.02,10.0
56,彰化縣,2015/09,彰化,4.2,0.43,-,33.9,44,22,14.72,1.67,13.05,2.006,0.163,1.843,2.34,1.37,27.93,-,-,71.86,-
57,彰化縣,2015/09,線西,4.5,0.34,-,36.0,44,21,14.53,2.4,12.12,2.133,0.182,1.952,3.46,2.73,27.67,-,-,78.33,-
58,彰化縣,2015/09,二林,3.9,0.29,-,34.7,43,24,10.8,1.82,8.98,-,-,-,2.65,1.75,27.59,-,-,77.24,-
59,南投縣,2015/09,南投,2.2,0.46,-,33.9,54,24,14.74,2.32,12.43,1.973,0.148,1.824,1.71,1.21,27.25,10.26,6.16,71.97,8.67
60,南投縣,2015/09,埔里,1.8,0.38,-,39.4,45,31,11.16,1.86,9.3,-,-,-,1.66,1.28,26.21,-,-,73.58,-
61,南投縣,2015/09,竹山,2.5,0.31,-,39.6,51,27,10.38,1.4,8.97,-,-,-,1.46,1.01,27.48,-,-,75.44,-
62,雲林縣,2015/09,斗六,3.3,0.36,-,36.4,45,25,13.33,1.61,11.72,-,-,-,1.77,1.04,27.93,-,-,74.45,-
63,雲林縣,2015/09,崙背,3.1,0.3,-,32.9,46,31,10.93,1.36,9.56,-,-,-,2.57,1.76,26.48,27.14,6.22,76.37,171.04
64,雲林縣,2015/09,麥寮,3.2,0.29,-,38.2,66,19,11.16,2.71,8.44,2.088,0.08,2.008,3.03,1.6,26.88,-,-,81.95,-
65,雲林縣,2015/09,臺西,3.6,0.25,-,42.1,41,24,10.7,1.93,8.76,2.077,0.059,2.018,4.71,3.92,26.69,-,-,78.85,-
66,嘉義縣,2015/09,朴子,3.1,0.3,-,39.1,63,22,10.91,1.98,8.92,-,-,-,2.21,1.47,29.5,-,-,75.15,-
67,嘉義縣,2015/09,新港,2.9,0.33,-,37.7,48,22,10.2,2.08,8.11,-,-,-,2.31,1.59,27.93,-,-,81.38,-
68,屏東縣,2015/09,屏東,2.6,0.42,-,37.4,43,21,11.52,1.51,10.0,2.046,0.117,1.929,1.67,1.3,29.04,-,-,71.02,-
69,屏東縣,2015/09,潮州,2.2,0.26,-,35.4,38,20,6.17,1.12,5.04,-,-,-,1.75,1.45,27.55,-,-,76.48,-
70,屏東縣,2015/09,恆春,1.3,0.13,397.92,38.0,30,10,3.72,1.87,1.84,-,-,-,5.0,4.77,27.52,3.71,4.2,81.93,66.46
71,臺東縣,2015/09,臺東,1.2,0.31,-,29.9,20,9,6.93,1.86,5.06,-,-,-,1.78,1.22,27.78,2.68,5.12,70.88,43.49
72,臺東縣,2015/09,關山,1.2,-,-,25.0,24,9,4.66,1.53,3.12,-,-,-,1.28,0.89,26.27,-,-,74.22,-
73,花蓮縣,2015/09,花蓮,1.6,0.27,-,31.9,29,15,7.92,1.93,5.99,-,-,-,2.56,2.23,27.87,2.96,4.81,74.58,69.05
74,澎湖縣,2015/09,馬公,2.4,0.21,-,46.2,24,18,5.14,1.63,3.5,-,-,-,3.53,2.24,27.7,4.77,5.45,75.71,125.46
75,金門縣,2015/09,金門,3.6,0.28,-,49.4,44,22,8.83,1.58,7.25,-,-,-,2.72,2.37,27.33,6.5,4.45,72.51,31.13
76,連江縣,2015/09,馬祖,2.5,0.23,-,53.6,31,21,5.68,1.53,4.14,-,-,-,3.54,3.05,25.76,2.42,4.83,79.76,51.34
,,,,,,,,,,,,,,,,,,,,,,
