序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1998/02,松山,4.6,1.31,13.3,49.0,-,68,29.57,38.38,-,-,-,16.25,-,-
2,臺北市,1998/02,古亭,3.1,1.33,13.7,58.0,42,69,34.46,34.29,2.77,0.61,2.16,16.1,-,-
3,臺北市,1998/02,中山,5.2,1.56,11.8,72.0,-,80,38.19,41.55,3.12,0.66,2.46,16.8,-,-
4,臺北市,1998/02,大同,8.3,3.77,-,-,-,207,157.18,48.66,4.43,1.83,2.6,16.96,-,-
5,臺北市,1998/02,萬華,4.3,1.32,13.5,58.0,-,60,23.82,36.39,-,-,-,15.87,-,-
6,臺北市,1998/02,陽明,1.5,0.28,44.4,-,-,4,0.24,3.31,-,-,-,11.69,-,-
7,臺北市,1998/02,士林,3.0,1.05,13.5,47.0,-,50,20.94,28.91,-,-,-,16.39,-,-
8,新北市,1998/02,板橋,9.7,1.39,13.3,68.0,-,66,27.08,38.42,3.15,0.91,2.24,16.92,-,-
9,新北市,1998/02,三重,10.2,3.26,-,84.0,60,174,129.9,43.23,-,-,-,16.39,-,-
10,新北市,1998/02,菜寮,-,1.63,12.5,69.0,-,71,34.17,37.16,-,-,-,16.81,-,-
11,新北市,1998/02,永和,5.8,2.2,-,91.0,-,111,72.65,38.39,3.51,1.13,2.37,19.5,-,-
12,新北市,1998/02,新莊,6.7,0.97,18.2,56.0,-,56,21.73,34.44,2.96,0.62,2.33,16.45,-,-
13,新北市,1998/02,新店,3.0,0.99,19.7,48.0,-,43,12.84,29.79,-,-,-,16.09,-,-
14,新北市,1998/02,淡水,2.7,0.92,24.9,58.0,-,32,10.58,21.46,-,-,-,15.71,-,-
15,新北市,1998/02,汐止,5.8,1.23,11.7,59.0,-,79,39.36,39.03,-,-,-,15.88,-,-
16,新北市,1998/02,土城,5.3,1.04,16.3,46.0,-,44,21.43,22.07,-,-,-,16.49,-,-
