序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2012/10,松山,1.9,0.42,406.49,35.7,43,24,20.59,3.47,17.12,2.03,0.143,1.887,23.58,67.24
2,臺北市,2012/10,古亭,1.9,0.46,-,33.2,50,24,22.58,5.04,17.54,1.999,0.135,1.865,24.23,71.18
3,臺北市,2012/10,中山,2.1,0.64,-,28.5,46,33,33.1,7.97,25.12,2.196,0.201,1.996,24.75,66.2
4,臺北市,2012/10,大同,2.7,1.33,-,-,54,30,66.47,32.75,33.72,2.52,0.468,2.052,-,-
5,臺北市,2012/10,萬華,2.2,0.5,-,29.3,44,27,27.91,4.98,22.93,-,-,-,24.52,66.38
6,臺北市,2012/10,陽明,1.4,0.19,397.86,49.3,20,14,2.42,1.01,1.38,-,-,-,16.55,94.06
7,臺北市,2012/10,士林,1.9,0.34,-,39.9,42,22,13.86,2.57,11.29,-,-,-,24.23,61.8
8,新北市,2012/10,板橋,2.8,0.54,-,32.3,45,27,23.94,3.51,20.43,2.145,0.245,1.9,24.72,63.86
9,新北市,2012/10,三重,3.0,1.58,-,-,64,32,108.17,66.03,42.14,2.719,0.653,2.066,24.26,63.7
10,新北市,2012/10,菜寮,2.3,0.48,-,31.7,44,27,19.94,3.04,16.9,-,-,-,24.15,64.35
11,新北市,2012/10,永和,2.0,0.69,-,32.2,42,24,27.21,8.31,18.9,2.21,0.265,1.945,24.37,73.6
12,新北市,2012/10,新莊,3.0,0.47,-,36.4,52,26,21.94,4.0,17.94,-,-,-,24.14,66.83
13,新北市,2012/10,新店,1.8,0.33,-,35.9,35,23,11.96,1.85,10.11,-,-,-,23.3,68.14
14,新北市,2012/10,淡水,1.9,0.33,-,40.1,39,22,10.57,1.66,8.9,-,-,-,-,-
15,新北市,2012/10,汐止,3.1,0.34,-,30.6,39,21,22.38,5.43,16.97,-,-,-,24.18,75.51
16,新北市,2012/10,土城,2.3,0.42,-,37.3,43,25,18.84,4.2,14.64,2.155,0.195,1.959,24.26,68.06
17,新北市,2012/10,林口,2.4,0.26,-,44.6,42,22,10.03,1.27,8.74,-,-,-,22.65,77.73
18,新北市,2012/10,萬里,1.8,0.2,-,49.0,63,18,5.87,1.65,4.22,-,-,-,24.5,72.31
19,臺中市,2012/10,西屯,2.7,0.37,-,44.6,69,38,17.4,2.46,14.94,2.037,0.187,1.849,24.6,67.61
20,臺中市,2012/10,忠明,3.0,0.49,-,39.1,55,33,23.5,3.89,19.61,2.013,0.171,1.842,25.84,62.87
21,臺中市,2012/10,豐原,3.2,0.46,-,44.0,67,34,15.54,1.71,13.82,2.059,0.15,1.909,23.95,62.32
22,臺中市,2012/10,沙鹿,2.8,0.34,-,43.8,57,34,15.77,1.81,13.95,-,-,-,23.96,69.57
23,臺中市,2012/10,大里,2.7,0.55,424.57,41.0,73,40,24.01,3.37,20.64,2.188,0.267,1.92,25.58,61.97
24,臺南市,2012/10,新營,3.5,0.38,-,40.3,97,41,16.89,1.88,15.01,2.097,0.117,1.979,25.55,71.83
25,臺南市,2012/10,善化,4.1,0.35,418.68,40.6,79,43,17.58,2.12,15.46,-,-,-,25.13,72.28
26,臺南市,2012/10,安南,3.8,0.37,-,43.6,91,39,17.7,2.42,15.28,2.103,0.173,1.931,25.55,67.35
27,臺南市,2012/10,臺南,3.8,0.5,-,45.5,85,42,18.24,1.46,16.77,2.053,0.225,1.828,25.76,72.06
28,高雄市,2012/10,左營,5.0,0.5,-,50.2,87,48,18.73,2.26,16.46,2.22,0.198,2.021,26.0,70.6
29,高雄市,2012/10,楠梓,4.4,0.46,-,44.0,97,50,21.14,2.57,18.57,2.035,0.175,1.86,25.95,71.76
30,高雄市,2012/10,前金,4.9,0.51,-,47.8,91,50,19.18,2.43,16.74,2.144,0.192,1.953,26.59,69.32
31,高雄市,2012/10,前鎮,6.5,0.45,-,46.9,82,45,24.37,2.72,21.64,2.18,0.25,1.93,26.25,69.11
32,高雄市,2012/10,復興,6.6,0.75,-,43.9,90,40,28.61,5.22,23.38,2.382,0.353,2.029,26.56,68.5
33,高雄市,2012/10,小港,7.1,0.46,-,56.5,78,52,26.57,3.88,22.69,2.1,0.22,1.88,26.98,69.09
34,高雄市,2012/10,鳳山,6.1,0.6,-,47.9,96,51,22.9,2.39,20.51,2.317,0.31,2.007,26.47,68.09
35,高雄市,2012/10,大寮,5.9,0.47,-,44.2,80,51,19.22,1.69,17.53,2.256,0.208,2.048,26.21,73.94
