序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)"
1,臺北市,2015/06,松山,3.8,0.52,429.09,24.3,34,17,27.93,7.27,20.66,2.023,0.201,1.821,1.72,1.27,29.95,-,-,69.92,-
2,臺北市,2015/06,古亭,3.0,0.5,-,21.6,41,15,23.72,5.29,18.43,2.037,0.171,1.865,2.38,1.98,30.18,-,-,74.31,-
3,臺北市,2015/06,中山,3.8,0.69,-,19.5,37,17,34.66,10.38,24.28,2.119,0.227,1.893,1.86,1.21,30.83,-,-,69.96,-
4,臺北市,2015/06,大同,4.2,1.68,-,-,49,16,64.12,34.94,29.18,2.49,0.516,1.975,-,-,-,-,-,-,-
5,臺北市,2015/06,萬華,3.2,0.54,-,23.3,33,16,25.49,5.17,20.32,-,-,-,1.65,1.27,30.46,-,-,69.91,-
6,臺北市,2015/06,陽明,1.9,0.16,405.15,30.6,17,12,5.98,1.19,4.79,-,-,-,-,-,23.46,2.79,4.41,88.29,26.81
7,臺北市,2015/06,士林,3.0,0.37,-,23.2,34,15,19.57,4.14,15.42,-,-,-,2.0,1.7,29.98,-,-,70.85,-
8,新北市,2015/06,板橋,4.7,0.48,-,23.2,40,17,26.55,5.58,20.97,2.198,0.253,1.945,2.11,1.71,30.38,9.43,4.2,67.62,19.03
9,新北市,2015/06,三重,4.4,1.51,-,-,50,14,90.72,56.89,33.83,2.538,0.586,1.952,-,-,30.87,-,-,67.2,-
10,新北市,2015/06,菜寮,3.6,0.5,-,19.4,35,9,22.79,3.85,18.94,-,-,-,2.19,1.75,30.51,-,-,67.55,-
11,新北市,2015/06,永和,3.1,0.89,-,20.0,34,18,35.44,13.62,21.82,2.138,0.305,1.833,1.68,1.39,30.07,-,-,67.77,-
12,新北市,2015/06,新莊,5.2,0.47,-,22.9,31,17,23.56,5.12,18.44,-,-,-,2.26,1.87,30.58,-,-,72.11,-
13,新北市,2015/06,新店,2.5,0.35,-,26.9,31,17,15.48,2.85,12.62,-,-,-,1.94,1.49,28.96,-,-,72.39,-
14,新北市,2015/06,淡水,2.9,0.32,-,20.3,34,9,15.27,3.02,12.24,-,-,-,-,-,-,-,-,-,-
15,新北市,2015/06,汐止,5.6,0.42,-,22.2,33,16,25.81,7.21,18.6,-,-,-,1.57,1.16,29.66,-,-,77.37,-
16,新北市,2015/06,土城,3.3,0.44,-,24.0,36,21,24.8,6.79,18.02,1.982,0.193,1.789,1.58,1.1,29.73,-,-,72.96,-
17,新北市,2015/06,林口,3.4,0.27,-,23.8,32,13,18.42,4.0,14.42,-,-,-,3.0,2.71,28.28,-,-,79.58,-
18,新北市,2015/06,萬里,3.0,0.2,-,29.8,37,22,9.52,2.04,7.47,-,-,-,2.68,2.34,28.34,2.16,4.06,79.98,59.59
19,臺中市,2015/06,西屯,3.2,0.19,-,19.9,35,13,14.08,3.35,10.73,1.864,0.169,1.695,2.41,2.18,29.75,3.25,5.82,73.49,25.14
20,臺中市,2015/06,忠明,2.4,0.31,-,19.8,24,13,14.31,2.83,11.49,1.771,0.105,1.666,2.05,1.63,-,-,-,68.44,-
21,臺中市,2015/06,豐原,3.2,0.47,-,24.7,24,15,10.18,2.18,7.99,1.795,0.137,1.658,3.19,2.94,28.47,-,-,68.41,-
22,臺中市,2015/06,沙鹿,2.9,0.23,-,19.2,31,8,12.5,2.57,9.93,-,-,-,3.05,2.79,30.72,-,-,75.28,-
23,臺中市,2015/06,大里,2.7,0.29,418.62,20.3,33,17,13.18,3.13,10.05,1.81,0.139,1.671,2.15,1.89,29.7,-,-,68.51,-
24,臺南市,2015/06,新營,2.6,0.22,-,18.6,32,10,8.07,1.77,6.3,1.996,0.067,1.929,1.92,1.58,30.63,7.21,4.89,69.73,20.41
25,臺南市,2015/06,善化,2.7,0.16,417.81,17.9,26,10,9.44,1.84,7.61,-,-,-,2.5,2.35,29.72,-,-,71.97,-
26,臺南市,2015/06,安南,2.8,0.21,-,18.1,31,8,10.45,2.36,8.09,1.873,0.167,1.706,2.44,2.17,31.28,-,-,72.12,-
27,臺南市,2015/06,臺南,3.0,0.23,-,18.6,24,7,8.42,1.52,6.89,1.864,0.095,1.769,2.12,1.91,30.32,-,-,68.67,-
28,高雄市,2015/06,左營,3.7,0.2,-,17.1,31,10,9.66,2.21,7.44,1.876,0.068,1.809,2.41,2.06,30.64,-,-,73.18,-
29,高雄市,2015/06,楠梓,3.7,0.26,-,15.6,40,7,13.45,4.07,9.38,1.891,0.143,1.748,1.99,1.71,31.11,-,-,72.17,-
30,高雄市,2015/06,前金,4.4,0.2,-,17.5,29,10,10.16,2.6,7.55,1.871,0.074,1.797,2.28,1.94,30.62,-,-,72.15,-
31,高雄市,2015/06,前鎮,4.9,0.21,-,15.4,27,6,13.93,4.36,9.56,1.825,0.072,1.753,1.94,1.6,30.63,-,-,72.61,-
32,高雄市,2015/06,復興,4.6,0.33,-,7.0,24,10,14.62,4.34,10.28,1.949,0.138,1.811,0.86,0.69,30.68,-,-,71.88,-
33,高雄市,2015/06,小港,8.7,0.2,-,14.5,42,10,14.47,4.61,9.87,1.826,0.092,1.735,2.36,2.08,30.73,3.31,5.09,73.27,25.73
