序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1994/03,松山,6.8,1.39,15.6,70.0,72,30,41.68,-,-,-,16.75,-,-
2,臺北市,1994/03,古亭,5.2,1.57,15.1,66.0,77,34,40.81,2.48,0.5,1.99,17.2,-,-
3,臺北市,1994/03,中山,6.8,1.83,11.6,73.0,92,43,46.25,2.77,0.57,2.21,17.13,-,-
4,臺北市,1994/03,大同,12.8,5.49,-,148.0,262,197,64.15,5.11,2.74,2.34,17.63,-,-
5,臺北市,1994/03,萬華,6.4,1.47,16.5,63.0,58,18,37.69,-,-,-,16.99,-,-
6,臺北市,1994/03,陽明,1.6,0.33,49.5,24.0,3,0,2.35,-,-,-,11.16,-,-
7,臺北市,1994/03,士林,3.7,1.03,20.4,66.0,49,18,28.85,-,-,-,17.13,-,-
8,新北市,1994/03,板橋,10.6,1.45,15.1,72.0,64,21,41.36,2.86,0.78,2.08,17.74,-,-
9,新北市,1994/03,菜寮,10.1,1.61,14.4,80.0,72,31,38.42,-,-,-,17.14,-,-
10,新北市,1994/03,新莊,10.0,1.1,18.7,64.0,52,17,33.42,3.01,0.93,2.11,16.61,-,-
11,新北市,1994/03,新店,4.4,0.9,20.5,48.0,35,7,27.94,-,-,-,17.05,-,-
12,新北市,1994/03,淡水,2.8,0.83,32.9,59.0,25,7,17.01,-,-,-,16.42,-,-
13,新北市,1994/03,汐止,6.6,1.05,14.4,65.0,71,34,35.39,-,-,-,15.97,-,-
14,新北市,1994/03,土城,7.4,1.01,20.6,64.0,42,14,28.61,-,-,-,17.05,-,-
15,新北市,1994/03,林口,3.5,0.63,32.6,48.0,22,5,16.27,-,-,-,14.72,-,-
16,新北市,1994/03,萬里,1.3,0.4,43.0,49.0,8,1,5.49,1.6,0.06,1.54,16.14,-,-
17,臺中市,1994/03,西屯,5.8,0.8,23.8,71.0,36,9,26.74,2.18,0.31,1.88,17.42,-,-
18,臺中市,1994/03,忠明,6.0,1.35,17.0,90.0,66,23,43.77,-,-,-,17.45,-,-
19,臺中市,1994/03,豐原,8.2,1.16,18.0,71.0,56,15,41.67,-,-,-,16.47,-,-
20,臺中市,1994/03,沙鹿,8.9,0.72,27.7,73.0,30,5,25.25,-,-,-,17.0,-,-
21,臺中市,1994/03,大里,8.5,1.18,13.8,86.0,60,17,41.28,-,-,-,18.26,-,-
