序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2009/11,松山,2.8,0.52,403.98,20.1,35,24,30.46,7.79,22.67,1.904,0.199,1.704,22.01,74.85
2,臺北市,2009/11,古亭,2.9,0.63,-,19.8,40,21,33.24,9.97,23.27,2.099,0.21,1.889,21.95,79.1
3,臺北市,2009/11,中山,3.3,0.72,-,18.2,41,28,39.7,13.92,25.77,2.253,0.27,1.984,22.3,75.06
4,臺北市,2009/11,萬華,2.6,0.69,-,21.6,38,23,30.02,7.41,22.61,-,-,-,21.5,77.91
5,臺北市,2009/11,陽明,1.9,0.23,385.45,40.0,13,10,3.84,1.14,2.68,-,-,-,14.43,94.61
6,臺北市,2009/11,士林,2.6,0.42,-,29.2,43,16,17.57,3.94,13.63,-,-,-,21.9,72.84
7,新北市,2009/11,板橋,3.6,0.64,-,22.2,33,18,31.59,6.93,24.65,2.285,0.311,1.973,21.84,71.92
8,新北市,2009/11,三重,4.0,1.82,-,-,57,29,126.8,87.79,39.01,2.503,0.795,1.708,21.93,73.09
9,新北市,2009/11,菜寮,3.7,0.67,-,23.7,34,16,29.62,8.85,20.79,-,-,-,22.07,72.58
10,新北市,2009/11,永和,3.1,0.99,-,20.3,35,21,44.07,19.86,24.21,2.452,0.43,2.022,21.97,75.28
11,新北市,2009/11,新莊,4.4,0.53,-,24.7,34,22,25.77,5.73,20.04,-,-,-,21.19,75.27
12,新北市,2009/11,新店,2.4,0.43,-,25.0,26,14,19.37,3.82,15.53,-,-,-,21.3,79.85
13,新北市,2009/11,淡水,2.2,0.38,-,27.2,27,17,13.28,3.27,10.01,-,-,-,-,-
14,新北市,2009/11,汐止,3.9,0.43,-,27.9,28,14,20.76,4.95,15.81,-,-,-,21.39,85.6
15,新北市,2009/11,土城,3.2,0.56,-,23.7,36,21,26.75,7.08,19.66,2.199,0.269,1.93,22.01,76.4
16,新北市,2009/11,林口,3.6,0.35,-,31.0,32,17,15.53,2.81,12.71,-,-,-,19.9,80.6
17,新北市,2009/11,萬里,1.9,0.25,-,35.0,48,16,7.48,1.81,5.66,-,-,-,21.16,85.17
18,臺中市,2009/11,西屯,3.1,0.47,-,25.8,57,32,26.76,7.16,19.6,2.091,0.243,1.849,21.65,69.66
19,臺中市,2009/11,忠明,3.6,0.61,-,23.0,46,34,30.94,7.54,23.42,1.849,0.303,1.545,22.48,72.03
20,臺中市,2009/11,豐原,3.4,0.54,-,24.9,56,27,22.68,4.27,18.41,1.816,0.188,1.629,21.39,74.13
21,臺中市,2009/11,沙鹿,3.4,0.43,-,27.3,57,30,20.25,3.77,16.48,-,-,-,21.48,75.8
22,臺中市,2009/11,大里,3.3,0.61,431.84,21.3,58,34,29.26,6.84,22.42,1.904,0.32,1.584,22.99,70.25
23,臺南市,2009/11,新營,3.9,0.43,-,27.5,108,43,24.68,6.26,18.42,2.218,0.145,2.073,23.08,76.94
24,臺南市,2009/11,善化,4.1,0.39,421.6,28.9,94,42,21.56,3.84,17.72,-,-,-,22.52,78.82
25,臺南市,2009/11,安南,3.9,0.39,-,31.5,107,43,23.25,5.24,18.01,1.777,0.195,1.581,22.5,73.76
26,臺南市,2009/11,臺南,4.2,0.53,-,33.2,94,41,24.46,4.15,20.31,1.975,0.242,1.733,23.27,73.93
27,高雄市,2009/11,左營,6.5,0.61,-,30.4,95,53,27.19,4.81,22.38,1.89,0.258,1.633,23.52,74.89
28,高雄市,2009/11,楠梓,4.8,0.5,-,32.1,108,52,28.77,6.1,22.67,2.006,0.206,1.8,22.9,73.25
29,高雄市,2009/11,前金,6.3,0.59,-,34.3,95,60,28.93,6.77,22.16,2.199,0.248,1.951,23.35,74.75
30,高雄市,2009/11,前鎮,7.0,0.77,-,29.9,106,57,39.61,8.19,31.42,1.935,0.396,1.539,24.74,71.86
31,高雄市,2009/11,復興,8.0,1.04,-,28.5,110,52,41.09,10.32,30.76,2.639,0.634,2.005,24.1,75.95
32,高雄市,2009/11,小港,11.5,0.72,-,28.8,111,66,44.85,11.95,32.9,2.255,0.344,1.911,24.16,72.62
33,高雄市,2009/11,鳳山,10.5,0.77,-,28.5,125,60,38.61,10.64,27.97,2.33,0.443,1.887,23.58,74.88
34,高雄市,2009/11,林園,9.9,0.55,-,39.8,105,63,30.68,7.25,23.43,2.416,0.227,2.188,24.54,77.08
35,高雄市,2009/11,大寮,9.0,0.62,-,31.8,118,63,31.85,5.76,26.09,2.363,0.257,2.108,24.05,74.05
36,高雄市,2009/11,仁武,11.0,0.59,-,29.7,109,52,36.46,7.4,29.05,2.217,0.287,1.93,24.13,74.22
37,高雄市,2009/11,橋頭,5.1,0.52,-,27.3,89,52,27.18,4.38,22.8,-,-,-,23.43,78.05
38,高雄市,2009/11,美濃,3.1,0.46,-,37.0,99,56,16.17,3.53,12.64,-,-,-,24.32,77.86
39,基隆市,2009/11,基隆,2.1,0.37,-,32.3,27,16,14.12,3.73,10.4,1.745,0.123,1.622,21.28,80.84
40,新竹市,2009/11,新竹,2.7,0.48,-,26.0,39,23,21.82,4.68,17.14,2.042,0.193,1.849,21.73,75.69
