序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1998/08,松山,5.3,1.0,20.5,38.0,-,51,19.56,30.95,-,-,-,30.78,-,-
2,臺北市,1998/08,古亭,3.8,1.05,19.4,38.0,25,51,22.02,28.66,2.41,0.46,1.95,29.69,-,-
3,臺北市,1998/08,中山,5.1,1.18,17.4,38.0,-,50,19.74,30.31,2.76,0.46,2.3,30.69,-,-
4,臺北市,1998/08,大同,7.6,3.65,-,-,-,145,104.07,41.54,4.17,1.7,2.46,31.19,-,-
5,臺北市,1998/08,萬華,4.1,0.9,22.4,38.0,-,32,7.68,24.17,-,-,-,29.88,-,-
6,臺北市,1998/08,陽明,4.3,0.23,33.0,15.0,-,7,0.93,6.43,-,-,-,24.0,-,-
7,臺北市,1998/08,士林,3.3,0.89,14.7,41.0,-,-,-,-,-,-,-,29.89,-,-
8,新北市,1998/08,板橋,10.2,0.98,18.7,55.0,-,49,18.44,30.08,3.03,0.77,2.26,30.65,-,-
9,新北市,1998/08,三重,7.7,2.79,-,64.0,42,143,100.59,42.73,-,-,-,30.28,-,-
10,新北市,1998/08,菜寮,4.8,1.2,14.2,52.0,-,45,16.9,28.18,-,-,-,30.03,-,-
11,新北市,1998/08,永和,6.3,2.01,-,59.0,-,71,41.45,30.42,3.19,1.0,2.18,32.68,-,-
12,新北市,1998/08,新莊,9.8,0.83,22.7,49.0,-,39,13.85,24.78,2.83,0.56,2.27,29.29,-,-
13,新北市,1998/08,新店,2.8,0.51,27.1,34.0,-,21,3.57,17.52,-,-,-,29.72,-,-
14,新北市,1998/08,淡水,1.6,0.78,17.9,60.0,-,31,9.82,20.83,-,-,-,30.03,-,-
15,新北市,1998/08,汐止,5.3,0.81,17.2,54.0,-,43,16.19,26.46,-,-,-,29.31,-,-
16,新北市,1998/08,土城,7.0,0.81,18.6,48.0,-,46,19.97,25.68,-,-,-,30.58,-,-
17,新北市,1998/08,林口,6.7,0.46,17.3,34.0,-,31,10.91,20.39,-,-,-,28.04,-,-
18,新北市,1998/08,萬里,2.8,0.31,33.1,25.0,-,12,2.54,9.73,2.29,0.14,2.15,28.66,-,-
19,臺中市,1998/08,西屯,2.3,0.44,11.7,38.0,-,35,17.58,18.02,2.28,0.17,2.12,29.77,-,-
20,臺中市,1998/08,忠明,1.8,0.85,16.7,40.0,34,26,8.9,17.23,-,-,-,29.97,-,-
21,臺中市,1998/08,豐原,4.3,0.64,21.9,39.0,-,22,3.48,18.25,-,-,-,28.94,-,-
22,臺中市,1998/08,沙鹿,5.4,0.42,15.9,29.0,-,20,5.75,14.09,-,-,-,29.77,-,-
