序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,1999/12,松山,3.9,0.77,16.8,44.0,-,50,19.06,30.85,-,-,-,16.89,-,-,-
2,臺北市,1999/12,古亭,2.6,0.84,21.0,42.0,22,48,19.36,28.8,2.41,0.38,2.03,17.46,-,-,-
3,臺北市,1999/12,中山,3.0,0.96,16.8,52.0,-,53,22.27,30.43,2.51,0.32,2.19,17.51,-,-,-
4,臺北市,1999/12,大同,6.7,3.42,-,68.0,-,188,141.19,47.1,3.94,1.72,2.22,18.33,-,-,-
5,臺北市,1999/12,萬華,2.2,0.86,18.6,40.0,-,40,10.93,29.5,-,-,-,17.2,-,-,-
6,臺北市,1999/12,陽明,1.5,0.17,45.3,15.0,-,2,0.13,1.98,-,-,-,11.0,-,-,-
7,臺北市,1999/12,士林,1.4,0.54,28.1,33.0,-,25,7.69,16.91,-,-,-,17.52,-,-,-
8,新北市,1999/12,板橋,3.6,0.86,17.7,48.0,-,43,12.77,29.86,2.53,0.43,2.09,17.58,-,-,-
9,新北市,1999/12,三重,3.7,2.36,-,90.0,23,153,105.29,47.35,2.97,0.94,2.03,17.61,-,-,-
10,新北市,1999/12,菜寮,2.8,0.86,18.8,49.0,-,43,14.45,28.13,-,-,-,17.57,-,-,-
11,新北市,1999/12,永和,4.6,1.09,-,53.0,-,60,31.91,28.06,2.64,0.49,2.15,16.79,-,-,-
12,新北市,1999/12,新莊,3.5,0.75,23.3,35.0,-,35,7.17,27.53,2.35,0.36,1.99,16.94,-,-,-
13,新北市,1999/12,新店,1.7,0.56,24.1,30.0,-,23,4.25,18.28,-,-,-,15.93,-,-,-
14,新北市,1999/12,淡水,2.0,0.45,33.5,-,-,14,3.78,10.39,-,-,-,16.77,-,-,-
15,新北市,1999/12,汐止,3.6,0.74,19.7,46.0,-,51,21.5,29.31,-,-,-,16.2,-,-,-
16,新北市,1999/12,土城,2.5,0.65,22.0,37.0,-,32,8.34,23.16,-,-,-,17.26,-,-,-
17,新北市,1999/12,林口,1.9,0.3,30.2,33.0,-,17,2.01,14.96,-,-,-,15.07,-,-,-
18,新北市,1999/12,萬里,1.6,0.19,42.5,55.0,-,5,0.73,4.18,2.04,0.02,2.01,17.23,-,-,-
19,臺中市,1999/12,西屯,3.1,0.57,25.8,73.0,-,32,11.6,20.09,2.48,0.33,2.15,17.25,-,-,-
20,臺中市,1999/12,忠明,3.6,0.89,15.4,70.0,32,51,17.85,33.17,-,-,-,17.59,-,-,-
21,臺中市,1999/12,豐原,3.6,0.57,18.6,53.0,-,38,10.93,26.6,-,-,-,16.3,-,-,-
22,臺中市,1999/12,沙鹿,6.6,0.52,20.4,57.0,-,30,6.09,24.27,-,-,-,17.33,-,-,-
23,臺中市,1999/12,大里,3.3,0.74,13.3,72.0,-,60,26.34,33.57,-,-,-,16.55,-,-,-
24,臺南市,1999/12,新營,4.5,0.54,21.1,64.0,-,35,8.19,26.54,2.51,0.24,2.27,18.09,-,-,-
25,臺南市,1999/12,善化,5.4,0.53,19.6,83.0,-,35,7.99,27.23,-,-,-,18.23,-,-,-
26,臺南市,1999/12,安南,5.1,0.56,21.5,84.0,-,33,7.19,26.15,-,-,-,17.6,-,-,-
27,臺南市,1999/12,臺南,6.5,0.97,14.6,96.0,-,48,14.26,33.81,2.77,0.51,2.26,17.97,-,-,-
28,高雄市,1999/12,左營,8.4,0.73,22.6,105.0,-,47,12.58,34.54,2.78,0.33,2.45,18.71,-,-,-
29,高雄市,1999/12,楠梓,5.1,0.42,17.1,88.0,-,55,19.09,36.14,2.58,0.32,2.26,18.71,-,-,-
30,高雄市,1999/12,前金,10.0,0.82,18.7,102.0,-,45,13.37,32.11,-,-,-,20.13,-,-,-
31,高雄市,1999/12,前鎮,14.0,-,-,-,-,73,26.51,46.26,2.91,0.62,2.29,19.35,-,-,-
32,高雄市,1999/12,復興,12.6,1.53,-,136.0,-,87,38.67,48.11,3.16,1.0,2.16,19.33,-,-,-
33,高雄市,1999/12,小港,19.8,1.04,15.5,121.0,-,87,37.72,49.17,2.97,0.72,2.25,19.98,-,-,-
34,高雄市,1999/12,鳳山,16.9,1.03,13.7,129.0,59,73,31.09,42.1,-,-,-,19.38,-,-,-
35,高雄市,1999/12,林園,24.3,0.73,24.4,107.0,72,52,17.5,34.4,3.61,0.92,2.69,19.33,-,-,-
36,高雄市,1999/12,大寮,12.2,0.71,21.9,121.0,-,44,9.09,34.85,3.07,0.47,2.6,19.4,-,-,-
37,高雄市,1999/12,仁武,12.4,0.7,20.3,120.0,-,58,21.63,36.52,-,-,-,18.66,-,-,-
38,高雄市,1999/12,橋頭,7.3,0.61,17.6,75.0,-,47,12.54,34.72,2.66,0.25,2.41,18.19,-,-,-
39,高雄市,1999/12,美濃,1.9,0.59,25.2,95.0,-,24,3.12,21.21,-,-,-,19.12,-,-,-
40,基隆市,1999/12,基隆,4.4,0.66,27.1,61.0,-,32,9.37,22.51,2.62,0.3,2.32,16.89,-,-,-
41,新竹市,1999/12,新竹,4.7,0.6,24.9,47.0,-,32,8.38,23.83,2.65,0.26,2.39,17.28,-,-,-
42,嘉義市,1999/12,嘉義,6.6,0.85,13.5,95.0,-,56,19.2,36.65,2.67,0.48,2.19,17.97,-,-,-
43,宜蘭縣,1999/12,宜蘭,1.6,0.49,25.4,32.0,-,18,3.28,14.51,-,-,-,16.8,-,-,-
44,宜蘭縣,1999/12,冬山,1.3,0.38,19.6,38.0,-,27,8.77,18.64,2.46,0.22,2.23,17.3,-,-,-
45,桃園市,1999/12,桃園,6.6,0.58,24.2,40.0,-,34,8.48,25.85,2.35,0.28,2.07,16.2,-,-,-
46,桃園市,1999/12,中壢,5.7,0.65,-,37.0,-,53,20.34,32.17,-,-,-,15.92,-,-,-
47,桃園市,1999/12,大園,1.9,0.28,38.8,-,-,13,1.73,11.06,-,-,-,17.32,-,-,-
48,桃園市,1999/12,龍潭,2.8,0.47,25.0,43.0,-,25,5.48,19.4,-,-,-,15.27,-,-,-
