序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1995/10,松山,5.5,0.92,16.0,40.0,40,12,27.38,-,-,-,24.25,-,-
2,臺北市,1995/10,古亭,3.3,0.84,17.5,38.0,39,13,25.57,2.17,0.28,1.89,24.83,-,-
3,臺北市,1995/10,中山,4.5,1.02,15.9,42.0,45,16,28.81,2.41,0.32,2.09,24.94,-,-
4,臺北市,1995/10,大同,14.0,4.65,-,63.0,197,149,47.79,4.32,2.19,2.13,25.71,-,-
5,臺北市,1995/10,萬華,4.5,0.99,18.9,37.0,34,7,26.94,-,-,-,24.82,-,-
6,臺北市,1995/10,陽明,1.1,0.23,41.8,16.0,2,0,1.35,-,-,-,18.16,-,-
7,臺北市,1995/10,士林,1.8,0.57,27.7,32.0,20,5,15.25,-,-,-,25.16,-,-
8,新北市,1995/10,板橋,6.5,1.0,17.4,55.0,40,10,30.03,2.46,0.42,2.04,24.91,-,-
9,新北市,1995/10,三重,5.2,1.69,-,50.0,79,46,33.17,-,-,-,25.6,-,-
10,新北市,1995/10,菜寮,4.9,0.93,19.2,41.0,30,8,22.65,-,-,-,25.44,-,-
11,新北市,1995/10,新莊,5.9,0.77,24.0,33.0,30,6,23.96,2.53,0.33,2.17,24.58,-,-
12,新北市,1995/10,新店,2.9,0.57,26.4,32.0,17,2,14.71,-,-,-,24.55,-,-
13,新北市,1995/10,淡水,1.3,0.56,32.3,42.0,11,2,9.26,-,-,-,24.48,-,-
14,新北市,1995/10,汐止,6.5,0.82,15.0,50.0,47,19,27.48,-,-,-,23.43,-,-
15,新北市,1995/10,土城,4.2,0.67,22.7,41.0,24,4,19.8,-,-,-,24.92,-,-
16,新北市,1995/10,林口,2.8,0.44,32.3,39.0,17,3,13.7,-,-,-,22.58,-,-
17,新北市,1995/10,萬里,1.0,0.27,37.7,75.0,5,1,3.95,-,-,-,23.8,-,-
