序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1998/06,松山,4.7,1.28,17.4,41.0,-,59,23.73,35.24,-,-,-,27.89,-,-
2,臺北市,1998/06,古亭,3.4,1.33,15.9,42.0,39,61,27.77,32.94,2.57,0.58,2.0,27.83,-,-
3,臺北市,1998/06,中山,5.6,1.53,14.9,-,-,55,30.12,25.15,3.13,0.65,2.48,28.65,-,-
4,臺北市,1998/06,大同,8.1,3.64,-,-,-,148,101.75,45.84,4.63,1.81,2.81,29.19,-,-
5,臺北市,1998/06,萬華,3.8,1.27,18.6,44.0,-,38,10.18,28.24,-,-,-,27.53,-,-
6,臺北市,1998/06,陽明,1.6,0.23,33.4,14.0,-,6,0.55,5.14,-,-,-,22.65,-,-
7,臺北市,1998/06,士林,4.2,1.0,15.0,47.0,-,47,18.42,28.68,-,-,-,27.99,-,-
8,新北市,1998/06,板橋,10.3,1.17,20.4,57.0,-,52,19.51,32.94,3.04,0.9,2.13,28.46,-,-
9,新北市,1998/06,三重,9.9,3.26,-,73.0,62,175,127.36,47.38,-,-,-,28.47,-,-
10,新北市,1998/06,菜寮,6.3,1.51,18.6,58.0,-,57,24.65,32.79,-,-,-,28.28,-,-
11,新北市,1998/06,永和,5.4,2.25,-,70.0,-,85,51.62,33.8,-,-,-,30.85,-,-
12,新北市,1998/06,新莊,11.1,1.02,21.0,48.0,-,49,21.54,27.57,3.03,0.7,2.34,27.37,-,-
13,新北市,1998/06,新店,2.2,0.7,24.5,37.0,-,25,5.33,19.99,-,-,-,27.97,-,-
14,新北市,1998/06,淡水,3.7,0.96,20.1,53.0,-,35,11.8,23.18,-,-,-,27.98,-,-
15,新北市,1998/06,汐止,4.6,1.08,14.7,63.0,-,56,22.43,33.22,-,-,-,27.46,-,-
16,新北市,1998/06,土城,5.8,0.95,19.2,48.0,-,50,21.3,28.76,-,-,-,28.52,-,-
17,新北市,1998/06,林口,6.2,0.63,20.8,32.0,-,32,10.42,21.7,-,-,-,26.08,-,-
18,新北市,1998/06,萬里,2.6,0.25,31.6,26.0,-,14,2.75,11.74,2.23,0.16,2.08,27.02,-,-
19,臺中市,1998/06,西屯,4.2,0.65,6.6,31.0,-,33,14.4,18.82,2.05,0.19,1.87,27.73,-,-
20,臺中市,1998/06,忠明,2.8,1.07,12.5,33.0,35,39,16.51,22.74,-,-,-,27.54,-,-
21,臺中市,1998/06,豐原,3.1,0.75,18.6,31.0,-,23,4.58,18.87,-,-,-,27.14,-,-
22,臺中市,1998/06,沙鹿,2.5,0.5,15.0,27.0,-,19,3.76,15.21,-,-,-,27.98,-,-
23,臺中市,1998/06,大里,2.6,0.7,13.6,39.0,-,26,7.35,18.23,-,-,-,28.18,-,-
24,臺南市,1998/06,新營,2.9,0.45,16.8,20.0,-,13,2.38,10.53,2.43,0.12,2.31,28.78,-,-
25,臺南市,1998/06,善化,4.3,0.33,14.0,25.0,-,11,2.91,8.2,-,-,-,27.82,-,-
26,臺南市,1998/06,安南,5.0,0.59,17.3,29.0,-,22,7.37,15.0,-,-,-,28.16,-,-
27,臺南市,1998/06,臺南,6.4,0.61,11.6,34.0,-,22,8.2,13.31,2.33,0.23,2.09,27.41,-,-
28,高雄市,1998/06,左營,6.5,0.75,12.3,27.0,-,30,13.42,17.05,2.48,0.48,2.01,28.46,-,-
29,高雄市,1998/06,楠梓,8.2,0.5,10.6,30.0,-,35,16.18,18.32,2.58,0.46,2.12,28.55,-,-
30,高雄市,1998/06,前金,6.5,0.9,8.9,21.0,-,33,15.81,16.8,-,-,-,28.36,-,-
31,高雄市,1998/06,前鎮,13.0,-,-,38.0,-,39,19.32,19.44,2.53,0.69,1.85,28.46,-,-
32,高雄市,1998/06,復興,11.1,0.99,-,28.0,-,40,20.7,19.58,2.37,0.57,1.8,28.01,-,-
33,高雄市,1998/06,小港,16.4,0.94,8.0,38.0,-,39,20.35,18.61,2.27,0.23,2.04,28.39,-,-
34,高雄市,1998/06,鳳山,5.6,0.85,10.0,28.0,18,28,10.56,17.77,-,-,-,28.63,-,-
35,高雄市,1998/06,林園,2.1,0.31,12.9,26.0,18,8,1.82,6.33,2.17,0.25,1.92,27.88,-,-
