序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2013/10,松山,2.4,0.38,414.29,34.5,41,20,3.52,16.51,1.95,0.124,1.823,23.9,70.54
2,臺北市,2013/10,古亭,2.1,0.45,-,30.2,49,23,5.33,17.5,2.03,0.129,1.901,24.08,74.5
3,臺北市,2013/10,中山,2.4,0.58,-,27.5,63,31,8.7,21.96,2.07,0.184,1.882,24.78,71.15
4,臺北市,2013/10,大同,3.2,1.33,-,-,68,65,34.49,30.66,2.42,0.455,1.967,-,-
5,臺北市,2013/10,萬華,2.4,0.48,-,27.8,45,27,5.72,21.34,-,-,-,24.68,70.56
6,臺北市,2013/10,陽明,1.4,0.16,399.92,47.9,19,3,1.34,1.7,-,-,-,17.61,98.14
7,臺北市,2013/10,士林,2.0,0.31,-,38.9,46,14,3.12,10.95,-,-,-,24.47,69.73
8,新北市,2013/10,板橋,2.5,0.51,-,31.5,48,23,3.81,18.89,2.14,0.211,1.931,24.77,68.13
9,新北市,2013/10,三重,3.1,1.46,-,-,67,100,60.9,38.74,2.56,0.566,1.993,24.73,69.12
10,新北市,2013/10,菜寮,2.3,0.45,-,35.7,46,19,3.0,15.6,-,-,-,24.36,68.63
11,新北市,2013/10,永和,2.0,0.77,-,28.4,44,31,11.35,19.4,2.1,0.254,1.841,24.43,76.4
12,新北市,2013/10,新莊,2.9,0.43,-,35.9,48,20,3.35,16.8,-,-,-,24.24,71.46
13,新北市,2013/10,新店,1.7,0.4,-,34.3,42,16,2.98,13.36,-,-,-,24.21,71.98
14,新北市,2013/10,淡水,1.9,0.29,-,40.6,47,10,2.04,7.72,-,-,-,-,-
15,新北市,2013/10,汐止,3.6,0.3,-,33.2,42,19,4.0,15.12,-,-,-,23.77,78.55
