序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
37,高雄市,2018/08,大寮,3.7,0.25,-,22.8,23,12,11.19,2.5,8.68,2.133,0.111,2.023,1.79,1.54,28.25,-,-,84.77,-
38,高雄市,2018/08,仁武,3.1,0.29,-,25.1,27,8,12.98,2.52,10.44,2.032,0.117,1.915,1.78,1.49,27.68,-,-,84.84,-
39,高雄市,2018/08,橋頭,2.4,0.26,-,21.7,21,-,12.12,2.17,9.94,-,-,-,2.36,2.13,28.08,4.99,5.36,86.25,14.96
40,高雄市,2018/08,美濃,1.2,0.17,-,23.7,20,3,3.7,1.04,2.65,-,-,-,1.26,1.01,27.19,-,-,84.66,-
41,基隆市,2018/08,基隆,2.6,0.25,-,24.1,19,10,12.97,2.29,10.68,1.958,0.098,1.86,1.52,1.12,29.19,-,-,76.61,-
42,新竹市,2018/08,新竹,2.3,0.34,-,22.6,22,15,13.25,1.86,11.39,1.947,0.097,1.849,1.66,1.17,29.58,-,-,72.82,-
43,嘉義市,2018/08,嘉義,3.1,0.21,-,26.2,26,8,8.67,1.94,6.73,1.885,0.07,1.814,1.66,1.42,27.84,-,-,78.03,-
44,宜蘭縣,2018/08,宜蘭,3.1,0.24,417.92,28,27,10,6.54,1.19,5.32,-,-,-,1.76,1.39,29.29,-,-,74.79,-
45,宜蘭縣,2018/08,冬山,2.3,0.25,-,23.2,30,11,10.12,2.5,7.62,-,-,-,1.89,1.55,29.32,3.32,5.56,77.4,23.32
46,桃園市,2018/08,桃園,5.4,0.36,-,25.6,32,17,17.99,2.93,15.07,2.082,0.181,1.901,1.54,1.16,29.8,-,-,74.84,-
47,桃園市,2018/08,中壢,2.9,0.95,-,15.6,38,12,45.47,21.23,24.24,2.126,0.316,1.809,1.17,0.63,29.21,-,-,76.46,-
48,桃園市,2018/08,大園,3.2,0.28,-,27.9,33,15,15.68,2.92,12.77,-,-,-,2.99,2.73,29.38,-,-,75.65,-
49,桃園市,2018/08,龍潭,2.8,0.3,-,29.5,29,16,13.28,2.33,10.95,-,-,-,1.97,1.71,27.84,-,-,78.35,-
50,桃園市,2018/08,平鎮,3,0.33,-,26.5,34,16,16.42,1.83,14.59,-,-,-,1.71,1.39,28.73,-,-,79.13,-
