序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
1,臺北市,2017/03,松山,2.8,0.56,435.34,32,40,22,32.39,7.26,25.13,2.093,0.168,1.925,1.61,1.17,18.32,-,-,75.61,-
2,臺北市,2017/03,古亭,2.5,0.57,-,34.8,44,24,30.14,5.92,24.22,2.211,0.188,2.023,1.96,1.67,18.47,-,-,77.19,-
3,臺北市,2017/03,中山,2.6,0.74,-,27.9,42,21,41.56,11.68,29.88,2.187,0.224,1.963,1.76,1.34,18.89,-,-,80.19,-
4,臺北市,2017/03,大同,3.4,1.26,-,-,60,22,76.24,37.91,38.33,2.544,0.394,2.15,-,-,-,-,-,-,-
5,臺北市,2017/03,萬華,2.8,0.64,-,29.8,42,20,35.94,7.63,28.31,-,-,-,1.73,1.43,19.05,-,-,75.64,-
6,臺北市,2017/03,陽明,1.8,0.22,419.06,56.1,21,14,3.43,0.55,2.84,-,-,-,-,-,11.9,1.27,4.46,91.3,34.72
7,臺北市,2017/03,士林,2.2,0.45,-,37.6,38,19,20.38,3.43,16.94,-,-,-,1.83,1.54,18.43,-,-,77.76,-
8,新北市,2017/03,板橋,3.5,0.69,-,31.6,52,22,33.76,7.32,26.43,2.25,0.261,1.988,1.99,1.98,19.01,1.74,4.93,72.46,84.72
9,新北市,2017/03,三重,3.4,1.51,-,-,61,21,108.66,62.95,45.71,2.604,0.494,2.11,-,-,18.82,-,-,72.32,-
10,新北市,2017/03,菜寮,2.6,0.62,-,34.5,44,23,29.72,6.23,23.49,-,-,-,2.03,1.65,18.9,-,-,75.09,-
11,新北市,2017/03,永和,2.6,0.89,-,31.7,41,23,39.42,13.31,26.11,2.258,0.284,1.974,1.85,1.64,18.51,-,-,74.83,-
12,新北市,2017/03,新莊,3.2,0.6,-,34.3,46,19,30.39,6.69,23.7,-,-,-,2.76,2.41,18.47,-,-,70.72,-
13,新北市,2017/03,新店,2.4,0.49,-,38.3,36,22,21.82,3.5,18.32,-,-,-,1.74,1.32,18.07,-,-,74.09,-
14,新北市,2017/03,淡水,2.3,0.39,-,37.7,42,20,14.48,2.28,12.19,-,-,-,-,-,-,-,-,-,-
15,新北市,2017/03,汐止,3.1,0.5,-,32.4,38,23,27.78,6.02,21.76,-,-,-,1.63,1.35,17.74,-,-,79.03,-
16,新北市,2017/03,土城,3,0.59,-,35.2,42,23,27.59,5.89,21.7,2.241,0.226,2.015,1.37,0.77,18.76,-,-,76.82,-
17,新北市,2017/03,林口,2.5,0.38,-,42.6,53,26,19.63,3.71,15.92,-,-,-,2.74,2.34,16.55,-,-,83.46,-
18,新北市,2017/03,萬里,2.2,0.28,-,50.3,51,23,8.29,1.44,6.84,-,-,-,3.56,2.9,17.12,1.54,4.19,80.62,116.92
19,臺中市,2017/03,西屯,2.7,0.41,-,35.9,57,29,23.56,4.3,19.26,1.922,0.194,1.728,2.61,1.29,19.45,1.35,4.66,70.12,42.86
20,臺中市,2017/03,忠明,2.6,0.53,-,31.2,51,30,26.6,4.88,21.72,2.031,0.189,1.842,1.93,1.1,20.15,-,-,69.5,-
21,臺中市,2017/03,豐原,2.5,0.42,-,37.4,45,21,15.25,2.25,13.02,1.939,0.138,1.802,2.12,1.47,18.46,-,-,72.24,-
22,臺中市,2017/03,沙鹿,2.4,0.4,-,39.1,55,29,18.91,2.28,16.63,-,-,-,3.68,1.42,19.22,-,-,74.82,-
23,臺中市,2017/03,大里,2.5,0.55,445.93,29.4,62,31,27.44,3.92,23.53,1.964,0.241,1.723,1.77,1.06,19.73,-,-,69.33,-
24,臺南市,2017/03,新營,3.1,0.44,-,34,83,38,18.71,2.18,16.54,2.149,0.118,2.031,2.33,1.19,21.07,1.58,4.68,72.2,42.56
25,臺南市,2017/03,善化,3,0.46,432.73,33.7,70,38,16.65,2.07,14.57,-,-,-,2.93,1.79,22.98,-,-,73.05,-
26,臺南市,2017/03,安南,3.3,0.44,-,39.1,78,37,18.34,2.42,15.91,2.178,0.136,2.042,2.59,1.55,21.84,-,-,71.96,-
27,臺南市,2017/03,臺南,3.1,0.54,-,40.2,68,38,19.54,1.82,17.75,2.061,0.177,1.883,2.31,1.37,21.36,-,-,66.28,-
28,高雄市,2017/03,左營,4.2,0.52,-,41.1,79,40,19.97,2.01,18.01,2.228,0.176,2.052,2.42,1.79,22.91,-,-,70.4,-
29,高雄市,2017/03,楠梓,3.6,0.49,-,36.2,96,43,22.58,3.51,19.07,2.127,0.2,1.927,2.19,1.4,22.54,-,-,67.89,-
30,高雄市,2017/03,前金,4.2,0.53,-,40.7,81,37,20.26,2.1,18.15,2.135,0.169,1.966,2.4,1.56,22.81,-,-,69.3,-
31,高雄市,2017/03,前鎮,5,0.6,-,34.8,79,43,26,3.14,22.86,2.228,0.193,2.035,1.76,1.01,23.07,-,-,67.59,-
32,高雄市,2017/03,復興,5,0.73,-,35.3,73,38,28.65,4.16,24.49,2.294,0.276,2.018,1.24,0.81,23.98,-,-,69.72,-
33,高雄市,2017/03,小港,7,0.54,-,33.8,77,41,31.23,4.33,26.9,2.184,0.212,1.972,2,1.33,23.27,0.63,4.59,70.68,99.98
34,高雄市,2017/03,鳳山,4.7,0.64,-,29.7,92,37,25.77,3.48,22.29,2.286,0.241,2.045,1.65,1.04,23.48,1.6,5.09,67.47,84.55
35,高雄市,2017/03,林園,4.8,0.41,-,39.1,48,29,18.3,2.17,16.13,2.157,0.12,2.037,2.5,2.06,23.69,-,-,70.93,-
36,高雄市,2017/03,大寮,5,0.48,-,32.8,76,33,22.99,2.98,20.01,2.32,0.2,2.12,2.02,1.57,22.63,-,-,72.55,-
37,高雄市,2017/03,仁武,4.5,0.51,-,36,83,40,25.01,3.52,21.49,2.164,0.201,1.963,2.12,1.59,22.48,-,-,69.95,-
38,高雄市,2017/03,橋頭,3.7,0.49,-,31.9,85,46,21.1,2.89,18.2,-,-,-,2.48,1.67,21.52,0.5,5.62,67.98,10.39
39,高雄市,2017/03,美濃,2.2,0.42,-,41,63,36,12.46,1.53,10.93,-,-,-,1.3,1.03,22.8,-,-,70.5,-
40,基隆市,2017/03,基隆,2.9,0.42,-,39.3,30,19,18.07,3.12,14.94,2.103,0.135,1.967,1.16,0.77,17.02,-,-,85.17,-
41,新竹市,2017/03,新竹,2.5,0.47,-,35.5,50,23,22.36,3.5,18.86,2.07,0.161,1.908,2.11,1.61,17.83,-,-,75.95,-
42,嘉義市,2017/03,嘉義,3.6,0.55,-,32.9,76,40,21.37,2.62,18.75,2.129,0.183,1.946,2.19,1.25,21.09,-,-,66.9,-
43,宜蘭縣,2017/03,宜蘭,1.7,0.37,428.31,40,38,17,9.25,1.23,8.01,-,-,-,1.32,0.86,18.84,-,-,81.43,-
44,宜蘭縣,2017/03,冬山,1.7,0.33,-,37,37,14,14.31,3.28,11.03,-,-,-,1.66,1.25,18.21,0.95,4.82,80.34,55.03
45,桃園市,2017/03,桃園,4,0.53,-,36.5,45,23,24.43,4.01,20.42,2.2,0.173,2.027,1.48,1.08,17.62,-,-,78.35,-
46,桃園市,2017/03,中壢,3.5,1,-,27.9,59,23,53.77,20.61,33.16,2.351,0.356,1.996,1.23,0.48,17.4,-,-,78.15,-
47,桃園市,2017/03,大園,3.7,0.38,-,43.6,54,23,21.9,3.81,18.09,-,-,-,4.42,3.77,17.74,-,-,80.11,-
48,桃園市,2017/03,龍潭,2.6,0.47,-,38.4,54,23,20.76,3.1,17.65,-,-,-,2.59,2.19,16.44,-,-,79.25,-
49,桃園市,2017/03,平鎮,3.2,0.48,-,38.4,51,21,24.55,3.65,20.9,-,-,-,2.51,1.95,17.65,-,-,79.4,-
50,桃園市,2017/03,觀音,4.9,0.33,-,44.4,57,22,17.03,2.08,14.95,-,-,-,3.92,3.56,17.71,1.42,4.29,80.75,58.08
51,新竹縣,2017/03,竹東,2,0.42,-,30,46,24,17.64,3.59,14.04,-,-,-,1.7,1.16,17.58,-,-,78.11,-
52,新竹縣,2017/03,湖口,3.2,0.37,-,45.1,50,26,16.05,2.54,13.52,-,-,-,3.5,3.2,18.6,-,-,79.77,-
53,苗栗縣,2017/03,苗栗,2.7,0.45,-,33.6,59,25,20.53,3.56,16.97,-,-,-,2.07,1.33,18,-,-,79.12,-
54,苗栗縣,2017/03,頭份,2.2,0.4,-,37.9,53,25,19.7,2.52,17.18,2.096,0.123,1.973,2.14,1.55,18.2,-,-,79.17,-
55,苗栗縣,2017/03,三義,1.8,0.34,-,37.7,43,21,12.34,1.84,10.49,-,-,-,3.38,2.7,16.6,1.51,4.57,85.28,44.49
56,彰化縣,2017/03,彰化,3.1,0.51,-,32.3,54,32,21.36,2.85,18.51,2.053,0.189,1.864,2.37,1.03,19.65,-,-,71.3,-
57,彰化縣,2017/03,線西,4.6,0.41,-,40.6,67,35,18.62,2.19,16.43,2.018,0.1,1.918,3.83,2.99,19.6,-,-,76.49,-
58,彰化縣,2017/03,二林,4.3,0.4,-,39.9,67,26,15.45,1.69,13.75,-,-,-,3.13,2.25,20.17,-,-,76.92,-
59,南投縣,2017/03,南投,2.3,0.52,-,27,67,38,23.82,3.76,20.05,1.985,0.202,1.784,1.52,0.85,20.12,1.76,5.59,72.89,43.59
60,南投縣,2017/03,埔里,2.1,0.45,-,36.1,59,41,14.16,1.59,12.56,-,-,-,1.52,1.2,20.47,-,-,72.76,-
61,南投縣,2017/03,竹山,3.3,0.44,-,31.6,72,44,19.72,2.06,17.65,-,-,-,1.59,1.08,19.83,-,-,76.43,-
62,雲林縣,2017/03,斗六,3.1,0.43,-,35,67,40,18.83,2.37,16.46,-,-,-,1.86,1.01,21.57,-,-,73.11,-
63,雲林縣,2017/03,崙背,3.6,0.41,-,39.8,66,40,15.48,1.88,13.6,-,-,-,3.05,1.34,20.28,1.46,6.07,75.48,135.55
64,雲林縣,2017/03,麥寮,3.1,0.37,-,41,87,40,14.09,2.33,11.76,2.155,0.082,2.073,3.59,1.67,19.61,-,-,76.98,-
65,雲林縣,2017/03,臺西,3.5,0.32,-,45.8,60,36,11.7,1.53,10.17,2.001,0.055,1.946,5.54,4.5,20.2,-,-,75.8,-
66,嘉義縣,2017/03,朴子,3.3,0.38,-,42.2,83,32,13.09,1.83,11.26,-,-,-,2.25,1.08,21.5,-,-,73.79,-
67,嘉義縣,2017/03,新港,3.2,0.43,-,38.1,78,37,14.85,2.08,12.77,-,-,-,2.57,1.21,20.41,-,-,73.18,-
68,屏東縣,2017/03,屏東,3.5,0.52,-,38.2,71,40,18.16,1.83,16.33,2.183,0.142,2.041,1.69,1.19,23.26,-,-,67.34,-
69,屏東縣,2017/03,潮州,3.1,0.42,-,41.3,80,34,15.06,2.75,12.31,-,-,-,1.77,1.42,22.93,-,-,75.49,-
70,屏東縣,2017/03,恆春,1.6,0.2,416.91,54.3,31,14,2.83,1.15,1.68,-,-,-,6.25,5.83,22.51,0.7,5.32,80.04,45.67
71,臺東縣,2017/03,臺東,1,0.39,-,32,28,11,8.01,1.74,6.27,-,-,-,2.04,1.37,21.26,0.93,5.39,74.86,33.92
72,臺東縣,2017/03,關山,1.1,-,-,33.1,26,12,5.76,1.39,4.37,-,-,-,1.45,1.04,19.17,-,-,83.11,-
73,花蓮縣,2017/03,花蓮,1.5,0.37,-,37.1,33,15,11.03,1.97,9.05,-,-,-,2.13,1.8,19.74,0.85,4.85,80.87,97.56
74,澎湖縣,2017/03,馬公,1.4,0.28,-,50.5,41,20,4.78,1.11,3.66,-,-,-,4.22,2.52,20.01,2.18,5.62,77.73,318.7
75,金門縣,2017/03,金門,4.9,0.39,-,41.4,75,38,16.75,2.04,14.7,-,-,-,2.59,2.17,16.12,1.09,4.49,71.67,50.06
76,連江縣,2017/03,馬祖,2.6,0.35,-,55,49,24,8.04,0.92,7.08,-,-,-,3.1,2.47,12.89,1.83,4.64,84.34,32.19
,,,,,,,,,,,,,,,,,,,,,,
