序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2000/12,松山,3.1,0.82,14.8,45.0,-,49,17.86,31.22,-,-,-,19.24,-,-,-
2,臺北市,2000/12,古亭,2.0,0.67,18.6,32.0,17,42,15.98,26.01,2.31,0.29,2.02,20.13,-,-,-
3,臺北市,2000/12,中山,2.5,0.86,16.1,44.0,-,44,15.85,27.9,2.44,0.26,2.17,19.88,-,-,-
4,臺北市,2000/12,大同,4.4,3.38,-,63.0,-,184,138.6,45.01,4.07,1.8,2.27,20.53,-,-,-
5,臺北市,2000/12,萬華,2.1,0.9,19.0,35.0,-,34,7.7,26.32,-,-,-,19.98,-,-,-
6,臺北市,2000/12,陽明,0.8,0.26,52.2,15.0,-,2,0.37,1.7,-,-,-,13.65,-,-,-
7,臺北市,2000/12,士林,1.6,0.62,24.8,39.0,-,22,5.17,16.82,-,-,-,20.13,-,-,-
8,新北市,2000/12,板橋,3.1,0.76,16.2,50.0,-,38,10.58,27.89,2.54,0.4,2.14,19.84,-,-,-
9,新北市,2000/12,三重,3.9,2.31,-,63.0,21,141,98.1,43.06,3.07,0.82,2.25,20.11,-,-,-
10,新北市,2000/12,菜寮,2.9,0.75,17.5,38.0,-,37,10.97,26.47,-,-,-,19.81,-,-,-
11,新北市,2000/12,永和,2.5,1.1,16.4,48.0,-,51,24.82,26.0,2.67,0.5,2.17,19.97,-,-,-
12,新北市,2000/12,新莊,3.0,0.67,23.3,43.0,-,31,6.07,24.64,2.24,0.34,1.9,19.72,-,-,-
13,新北市,2000/12,新店,1.5,0.54,22.7,27.0,-,20,3.52,16.78,-,-,-,19.55,-,-,-
14,新北市,2000/12,淡水,1.0,0.5,30.2,30.0,-,13,2.67,10.49,-,-,-,19.31,-,-,-
15,新北市,2000/12,汐止,2.5,0.76,16.3,56.0,-,44,16.32,28.06,-,-,-,18.66,-,-,-
16,新北市,2000/12,土城,2.1,0.69,19.6,31.0,-,29,6.65,22.38,-,-,-,19.52,-,-,-
17,新北市,2000/12,林口,1.6,0.3,27.9,32.0,-,17,2.28,15.12,-,-,-,17.74,-,-,-
18,新北市,2000/12,萬里,1.1,0.22,38.3,43.0,-,6,0.79,5.03,2.39,0.05,2.34,20.15,-,-,-
19,臺中市,2000/12,西屯,3.0,0.69,21.9,61.0,-,30,10.0,19.73,2.36,0.27,2.09,18.1,-,-,-
20,臺中市,2000/12,忠明,3.2,0.96,17.5,57.0,35,51,17.88,32.81,-,-,-,19.91,-,-,-
