序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2003/02,松山,3.0,0.88,391.9,25.7,58,-,40.62,12.98,27.64,-,-,-,16.99,-,-,-
2,臺北市,2003/02,古亭,1.9,0.93,-,23.5,51,28,42.68,14.49,28.2,2.783,0.8,1.98,17.63,-,-,-
3,臺北市,2003/02,中山,2.9,0.87,-,21.3,67,-,52.39,18.07,34.32,2.784,0.5,2.28,18.01,-,-,-
4,臺北市,2003/02,大同,5.6,2.58,-,-,83,-,138.74,90.75,47.99,3.789,1.31,2.48,18.61,-,-,-
5,臺北市,2003/02,萬華,2.4,0.94,-,23.8,45,-,32.39,8.41,23.99,-,-,-,17.88,-,-,-
6,臺北市,2003/02,陽明,1.7,0.42,-,48.8,27,-,3.91,0.25,3.66,-,-,-,12.19,-,-,-
7,臺北市,2003/02,士林,1.5,0.68,-,29.3,42,-,34.71,9.53,25.18,-,-,-,16.89,-,-,-
8,新北市,2003/02,板橋,4.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,新北市,2003/02,三重,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,新北市,2003/02,菜寮,3.4,0.94,-,22.4,-,-,41.53,12.97,28.4,-,-,-,18.08,-,-,-
11,新北市,2003/02,永和,3.6,1.44,-,22.0,61,-,57.8,26.13,31.67,2.908,0.67,2.24,17.82,-,-,-
12,新北市,2003/02,新莊,4.1,0.87,-,27.1,62,-,39.41,10.53,28.59,2.672,0.58,2.09,17.21,-,-,-
13,新北市,2003/02,新店,1.7,0.61,-,28.0,46,-,24.82,3.6,21.21,-,-,-,17.9,-,-,-
14,新北市,2003/02,淡水,2.0,0.71,-,33.3,46,-,21.01,4.81,16.18,-,-,-,16.7,-,-,-
15,新北市,2003/02,汐止,3.1,0.74,-,26.1,51,-,38.57,13.88,24.68,-,-,-,16.82,-,-,-
16,新北市,2003/02,土城,4.3,0.88,-,23.0,39,-,42.18,14.33,27.86,-,-,-,18.39,-,-,-
17,新北市,2003/02,林口,2.5,0.53,-,35.3,48,-,20.79,3.39,17.51,-,-,-,15.88,-,-,-
18,新北市,2003/02,萬里,1.2,0.31,-,40.6,54,-,-,-,-,2.869,0.22,2.65,16.66,-,-,-
19,臺中市,2003/02,西屯,2.8,0.72,-,28.8,79,-,33.28,13.06,20.22,2.341,0.35,2.0,18.5,-,-,-
20,臺中市,2003/02,忠明,3.2,0.98,-,29.0,76,58,37.83,11.06,26.77,-,-,-,18.64,-,-,-
21,臺中市,2003/02,豐原,3.1,0.92,-,23.4,60,-,33.32,6.85,26.47,-,-,-,17.25,-,-,-
22,臺中市,2003/02,沙鹿,3.9,0.65,-,21.6,54,-,25.12,4.17,21.02,-,-,-,17.27,-,-,-
23,臺中市,2003/02,大里,3.3,0.99,373.82,23.2,68,-,41.69,9.78,31.91,-,-,-,18.75,-,-,-
24,臺南市,2003/02,新營,3.3,0.58,-,29.5,75,-,23.68,3.64,20.21,2.442,0.32,2.12,19.35,-,-,-
25,臺南市,2003/02,善化,3.5,-,-,30.1,63,-,-,-,-,-,-,-,19.63,-,-,-
26,臺南市,2003/02,安南,3.4,0.63,-,31.3,77,-,23.42,4.09,19.69,-,-,-,20.31,-,-,-
27,臺南市,2003/02,臺南,3.7,0.75,-,35.2,83,-,24.62,3.6,21.21,2.442,0.42,2.02,19.87,-,-,-
28,高雄市,2003/02,左營,5.8,0.84,-,33.7,99,-,34.08,8.12,25.96,2.893,0.46,2.43,20.37,-,-,-
29,高雄市,2003/02,楠梓,3.1,0.76,-,24.0,89,-,31.06,5.79,25.27,3.054,0.41,2.65,20.52,-,-,-
30,高雄市,2003/02,前金,6.9,0.76,-,34.3,89,-,32.13,5.71,26.42,-,-,-,20.25,-,-,-
31,高雄市,2003/02,前鎮,10.7,-,-,-,86,-,43.48,9.99,33.49,2.513,0.47,2.04,20.73,-,-,-
32,高雄市,2003/02,復興,10.3,1.26,-,-,121,-,50.78,13.65,37.13,3.249,0.64,2.6,22.44,-,-,-
33,高雄市,2003/02,小港,8.1,0.92,-,19.0,95,-,48.75,14.24,34.51,2.376,0.48,1.89,21.16,-,-,-
34,高雄市,2003/02,鳳山,16.6,0.89,-,28.8,94,49,49.15,20.93,28.23,-,-,-,21.89,-,-,-
35,高雄市,2003/02,林園,16.8,0.76,-,33.2,94,24,31.37,6.7,24.93,2.431,0.14,2.29,21.59,-,-,-
36,高雄市,2003/02,大寮,14.9,0.74,-,27.1,88,-,30.91,5.0,25.91,2.789,0.45,2.34,20.45,-,-,-
37,高雄市,2003/02,仁武,12.2,0.67,-,28.5,92,-,39.7,10.27,29.44,2.672,0.3,2.38,20.59,-,-,-
38,高雄市,2003/02,橋頭,4.7,0.66,-,28.5,60,-,31.3,4.48,26.82,2.783,0.22,2.57,20.66,-,-,-
39,高雄市,2003/02,美濃,1.9,0.59,-,40.1,83,-,16.19,1.34,14.87,-,-,-,20.62,-,-,-
40,基隆市,2003/02,基隆,3.8,0.71,-,27.3,71,-,31.25,7.98,23.28,2.474,0.39,2.09,16.93,-,-,-
41,新竹市,2003/02,新竹,3.6,0.73,-,20.8,55,-,27.85,7.41,20.44,-,-,-,13.95,-,-,-
42,嘉義市,2003/02,嘉義,3.1,0.71,-,27.6,92,-,27.79,4.39,23.4,2.568,0.42,2.14,19.26,-,-,-
43,宜蘭縣,2003/02,宜蘭,0.7,0.52,338.21,34.4,39,-,12.97,1.43,11.57,-,-,-,17.68,-,-,-
44,宜蘭縣,2003/02,冬山,1.5,0.51,-,24.8,52,-,19.84,6.07,13.78,2.256,0.37,1.89,18.14,-,-,-
45,桃園市,2003/02,桃園,5.2,0.7,-,24.3,62,-,26.31,6.4,19.91,2.983,0.44,2.55,16.56,-,-,-
46,桃園市,2003/02,中壢,3.4,1.09,-,-,-,-,54.12,23.69,30.43,2.649,0.64,2.01,15.42,-,-,-
47,桃園市,2003/02,大園,2.7,0.48,-,33.4,63,-,21.12,-,15.84,-,-,-,16.72,-,-,-
48,桃園市,2003/02,龍潭,2.2,0.63,-,21.7,48,-,25.2,4.79,20.41,-,-,-,15.97,-,-,-
49,桃園市,2003/02,平鎮,6.7,0.78,-,22.0,73,-,29.59,6.53,23.06,2.423,0.29,2.13,16.81,-,-,-
50,桃園市,2003/02,觀音,4.2,0.43,-,35.2,57,-,17.32,2.58,14.74,2.292,0.29,2.0,-,-,-,-
51,新竹縣,2003/02,竹東,1.8,0.56,-,27.0,56,-,20.82,3.92,16.9,-,-,-,16.65,-,-,-
52,新竹縣,2003/02,湖口,2.0,0.53,-,27.9,67,-,20.93,5.0,15.95,-,-,-,16.82,-,-,-
53,苗栗縣,2003/02,苗栗,2.8,0.6,-,28.2,70,-,26.5,5.93,20.57,-,-,-,16.09,-,-,-
54,苗栗縣,2003/02,頭份,4.1,-,-,-,58,-,23.49,5.45,18.34,2.608,0.32,2.28,16.51,-,-,-
55,苗栗縣,2003/02,三義,1.5,0.45,-,31.0,45,-,16.03,1.69,14.34,2.682,0.37,2.31,14.9,-,-,-
56,彰化縣,2003/02,彰化,3.9,0.8,-,22.5,82,-,34.26,8.85,25.41,2.484,0.54,1.94,18.37,-,-,-
57,彰化縣,2003/02,線西,3.5,-,-,-,72,-,23.11,3.92,19.19,2.666,0.23,2.45,17.34,-,-,-
58,彰化縣,2003/02,二林,5.9,0.47,-,29.9,88,-,17.12,-,15.06,-,-,-,17.29,-,-,-
59,南投縣,2003/02,南投,2.3,0.73,-,25.9,78,-,31.45,7.05,24.39,2.905,0.37,2.53,18.62,-,-,-
60,南投縣,2003/02,埔里,1.9,0.74,-,30.5,107,-,17.57,-,15.56,2.374,0.22,2.16,18.32,-,-,-
61,南投縣,2003/02,竹山,2.0,0.64,-,21.9,89,-,27.94,4.52,23.43,-,-,-,18.38,-,-,-
62,雲林縣,2003/02,斗六,3.0,0.66,-,24.7,88,-,25.16,3.78,21.38,-,-,-,17.97,-,-,-
63,雲林縣,2003/02,崙背,1.9,0.46,-,33.3,77,-,-,-,-,2.887,0.29,2.6,18.2,-,-,-
64,雲林縣,2003/02,臺西,5.0,0.45,-,32.9,71,-,15.78,3.07,12.78,-,-,-,18.32,-,-,-
65,嘉義縣,2003/02,朴子,2.5,0.49,-,35.2,83,-,17.55,1.81,15.66,-,-,-,18.48,-,-,-
66,嘉義縣,2003/02,新港,2.4,0.53,-,32.2,87,-,19.75,2.59,17.16,-,-,-,18.24,-,-,-
67,屏東縣,2003/02,屏東,4.2,0.72,-,34.3,81,-,37.82,17.56,20.26,2.526,0.24,2.29,21.24,-,-,-
68,屏東縣,2003/02,潮州,2.9,0.61,-,32.7,91,-,25.11,3.41,21.7,-,-,-,21.18,-,-,-
69,屏東縣,2003/02,恆春,0.3,0.28,393.01,37.9,22,-,1.03,0.03,0.99,-,-,-,21.82,-,-,-
70,臺東縣,2003/02,臺東,0.4,0.54,-,31.3,31,-,10.21,1.65,8.57,2.264,0.16,2.1,16.96,-,-,-
71,花蓮縣,2003/02,花蓮,1.0,0.66,-,21.1,29,-,18.08,4.07,14.01,2.412,0.34,2.07,19.93,-,-,-
72,金門縣,2003/02,金門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,連江縣,2003/02,馬祖,3.0,0.39,-,48.1,34,-,5.35,1.21,4.14,-,-,-,11.0,-,-,-
,,,,,,,,,,,,,,,,,,,
