序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/03,松山,2.5,0.49,440.49,29,39,18,27.83,6.83,21,1.991,0.147,1.843,1.79,1.36,20.13,-,-,68.08,-
2,臺北市,2018/03,古亭,2.1,0.51,-,31.9,38,17,26.63,6.13,20.5,2.087,0.152,1.935,2.04,1.72,20.7,-,-,66.74,-
3,臺北市,2018/03,中山,2.4,0.68,-,25.5,44,20,36.6,11.28,25.32,2.204,0.206,1.999,1.92,1.45,20.84,-,-,70.49,-
4,臺北市,2018/03,大同,2.9,1.09,-,-,58,21,64.72,31.5,33.22,2.463,0.334,2.129,-,-,-,-,-,-,-
5,臺北市,2018/03,萬華,2.4,0.59,-,27.3,41,18,31.71,7.27,24.44,-,-,-,1.92,1.52,21.14,-,-,66.56,-
6,臺北市,2018/03,陽明,1.9,0.2,419.41,47.1,18,11,2.83,0.43,2.43,-,-,-,2.88,-,13.93,0.89,4.43,89.37,44.02
7,臺北市,2018/03,士林,2.2,0.4,-,35,39,19,18.5,4.93,13.56,-,-,-,2.11,1.75,21.27,-,-,70.4,-
8,新北市,2018/03,板橋,2.9,0.6,-,30.3,47,23,29.96,7.22,22.74,2.185,0.233,1.953,2.11,1.71,21.04,0.73,4.64,65.48,71.15
9,新北市,2018/03,三重,3.4,1.28,-,-,57,17,98.08,59.26,38.81,2.458,0.422,2.036,-,-,21.15,-,-,67.51,-
10,新北市,2018/03,菜寮,2.3,0.56,-,26.1,41,21,27.37,7.61,19.77,-,-,-,2.23,1.85,20.64,-,-,66.29,-
11,新北市,2018/03,永和,2.4,0.79,-,29.1,39,20,37.55,13.9,23.64,2.2,0.259,1.941,1.86,1.53,21.16,-,-,68.69,-
12,新北市,2018/03,新莊,3,0.53,-,31.2,44,19,28.23,7.92,20.32,-,-,-,2.93,2.51,20.76,-,-,63.16,-
13,新北市,2018/03,新店,1.9,0.43,-,36,33,18,18.62,3.62,15,-,-,-,1.83,1.46,20.77,-,-,72,-
14,新北市,2018/03,淡水,2.4,0.36,-,29,40,20,13.92,2.97,10.94,-,-,-,1.97,-,19.79,-,-,70.05,-
15,新北市,2018/03,汐止,3,0.46,-,29.6,35,21,27.67,8.8,18.86,-,-,-,1.67,1.33,20.23,-,-,75.82,-
16,新北市,2018/03,土城,2.7,0.53,-,30.4,43,21,26.77,7.32,19.43,2.153,0.201,1.951,1.44,0.86,20.79,-,-,68.21,-
17,新北市,2018/03,林口,2.5,0.34,-,38.9,49,20,18.38,3.72,14.65,-,-,-,2.76,2.38,18.34,-,-,77.6,-
18,新北市,2018/03,富貴角,0.8,0.21,-,28.9,45,23,9.7,5.31,4.4,2.228,0.246,1.982,5.63,5.51,18.9,-,-,77.18,-
19,新北市,2018/03,萬里,2.7,0.25,-,41.9,45,17,7.5,1.59,5.91,-,-,-,3.99,3.68,18.47,1.08,4.08,74.87,261.5
20,臺中市,2018/03,西屯,2.7,0.43,-,37,55,29,22.57,3.82,18.78,2.072,0.223,1.849,2.37,2.05,20.19,2.02,4.77,67.5,20.82
21,臺中市,2018/03,忠明,2.5,0.52,-,31.8,53,30,27.33,5.27,22.06,2.03,0.201,1.829,1.85,1.37,21.8,-,-,64.91,-
22,臺中市,2018/03,豐原,2.3,0.41,-,38.6,46,23,13.2,2.25,10.95,1.915,0.123,1.792,2.1,1.82,19.42,-,-,70.05,-
23,臺中市,2018/03,沙鹿,2.5,0.38,-,36.7,58,29,18.45,2.22,16.22,-,-,-,3.31,3.01,20.02,-,-,74.99,-
