序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,1999/04,松山,3.5,0.79,29.0,57.0,-,44,10.67,33.09,-,-,-,22.65,-,-,-
2,臺北市,1999/04,古亭,3.6,0.92,29.2,55.0,17,46,12.85,32.73,2.44,0.37,2.07,22.44,-,-,-
3,臺北市,1999/04,中山,3.6,0.92,30.7,62.0,-,45,11.13,33.53,2.48,0.31,2.18,22.81,-,-,-
4,臺北市,1999/04,大同,7.2,3.22,-,78.0,-,161,105.17,55.34,3.91,1.55,2.36,23.94,-,-,-
5,臺北市,1999/04,萬華,3.6,0.92,33.0,50.0,-,35,5.01,30.23,-,-,-,22.59,-,-,-
6,臺北市,1999/04,陽明,1.9,0.22,56.0,26.0,-,4,0.23,3.75,-,-,-,16.82,-,-,-
7,臺北市,1999/04,士林,2.3,0.62,29.0,46.0,-,26,5.35,20.59,-,-,-,22.66,-,-,-
8,新北市,1999/04,板橋,5.9,0.91,32.3,69.0,-,45,10.91,34.07,2.52,0.44,2.08,23.3,-,-,-
9,新北市,1999/04,三重,5.1,2.35,-,83.0,-,125,74.6,50.3,3.0,0.87,2.13,22.57,-,-,-
10,新北市,1999/04,菜寮,4.5,1.01,30.1,71.0,-,42,11.07,30.94,-,-,-,22.99,-,-,-
11,新北市,1999/04,永和,5.1,1.37,-,65.0,-,62,27.69,34.11,-,-,-,23.72,-,-,-
12,新北市,1999/04,新莊,5.8,0.71,36.1,61.0,-,34,6.75,27.15,2.52,0.38,2.14,23.13,-,-,-
13,新北市,1999/04,新店,2.2,0.58,40.5,49.0,-,22,2.44,19.61,-,-,-,23.02,-,-,-
14,新北市,1999/04,淡水,2.0,0.66,36.0,59.0,-,22,3.64,18.21,-,-,-,22.2,-,-,-
15,新北市,1999/04,汐止,3.4,0.72,29.6,61.0,-,40,10.24,29.73,-,-,-,21.32,-,-,-
16,新北市,1999/04,土城,4.3,0.74,34.0,63.0,-,36,8.89,27.44,-,-,-,23.03,-,-,-
17,新北市,1999/04,林口,3.9,0.45,38.1,44.0,-,23,3.65,18.96,-,-,-,20.35,-,-,-
18,新北市,1999/04,萬里,1.4,0.25,48.8,43.0,-,8,0.83,7.13,2.15,0.04,2.11,21.17,-,-,-
19,臺中市,1999/04,西屯,4.2,0.65,21.7,67.0,-,36,8.62,27.59,2.74,0.4,2.34,24.39,-,-,-
20,臺中市,1999/04,忠明,5.8,0.99,28.2,97.0,32,49,11.46,37.35,-,-,-,24.57,-,-,-
21,臺中市,1999/04,豐原,4.4,0.89,27.0,75.0,-,40,7.21,33.22,-,-,-,23.08,-,-,-
22,臺中市,1999/04,沙鹿,6.5,0.62,31.1,76.0,-,32,6.22,26.08,-,-,-,23.77,-,-,-
23,臺中市,1999/04,大里,6.2,0.78,27.2,81.0,-,43,8.47,34.98,-,-,-,24.47,-,-,-
24,臺南市,1999/04,新營,6.2,0.55,32.2,73.0,-,29,4.83,24.06,2.66,0.26,2.4,24.99,-,-,-
25,臺南市,1999/04,善化,5.5,0.53,31.1,71.0,-,22,2.83,18.11,-,-,-,24.89,-,-,-
26,臺南市,1999/04,安南,5.0,0.55,36.1,77.0,-,22,3.0,19.39,-,-,-,24.79,-,-,-
27,臺南市,1999/04,臺南,8.1,0.87,28.2,103.0,-,38,7.19,30.77,2.57,0.35,2.22,24.46,-,-,-
28,高雄市,1999/04,左營,10.3,-,42.3,83.0,-,26,4.33,21.88,2.68,0.22,2.47,25.3,-,-,-
29,高雄市,1999/04,楠梓,6.2,0.59,37.8,95.0,-,30,5.74,24.28,2.63,0.31,2.31,25.5,-,-,-
30,高雄市,1999/04,前金,8.9,0.76,36.2,78.0,-,26,4.53,21.84,-,-,-,25.26,-,-,-
31,高雄市,1999/04,前鎮,12.1,-,-,85.0,-,44,10.29,33.52,2.77,0.39,2.39,25.78,-,-,-
32,高雄市,1999/04,復興,9.8,1.58,-,94.0,-,46,14.09,31.53,2.79,0.64,2.15,25.78,-,-,-
33,高雄市,1999/04,小港,13.9,0.82,30.8,87.0,-,44,11.09,33.14,2.37,0.39,1.99,26.25,-,-,-
34,高雄市,1999/04,鳳山,-,0.9,13.8,-,25,36,8.33,27.95,-,-,-,26.02,-,-,-
35,高雄市,1999/04,林園,8.9,0.57,39.6,79.0,31,20,3.1,16.95,2.22,0.26,1.95,26.18,-,-,-
36,高雄市,1999/04,大寮,9.5,0.73,33.4,85.0,-,28,3.59,24.25,2.46,0.25,2.22,26.43,-,-,-
37,高雄市,1999/04,仁武,10.5,0.72,42.1,87.0,-,36,9.02,26.73,2.54,0.29,2.25,25.54,-,-,-
38,高雄市,1999/04,橋頭,6.9,0.67,32.5,77.0,-,30,5.53,24.27,2.69,0.17,2.52,24.68,-,-,-
39,高雄市,1999/04,美濃,2.7,0.53,30.2,101.0,-,15,0.91,14.32,-,-,-,25.46,-,-,-
40,基隆市,1999/04,基隆,4.4,0.65,38.8,65.0,-,27,4.95,21.57,2.41,0.18,2.22,21.9,-,-,-
41,新竹市,1999/04,新竹,5.8,0.73,37.6,65.0,-,31,5.79,25.54,2.69,0.29,2.4,22.98,-,-,-
42,嘉義市,1999/04,嘉義,5.8,0.8,24.0,101.0,-,37,6.45,30.45,2.52,0.35,2.17,24.7,-,-,-
43,宜蘭縣,1999/04,宜蘭,1.4,0.52,38.1,48.0,-,14,1.13,12.74,-,-,-,21.56,-,-,-
44,宜蘭縣,1999/04,冬山,1.6,0.47,26.5,53.0,-,23,4.99,17.92,2.4,0.17,2.22,22.05,-,-,-
45,桃園市,1999/04,桃園,8.6,0.64,37.1,57.0,-,31,4.93,26.46,2.48,0.31,2.17,22.1,-,-,-
46,桃園市,1999/04,中壢,7.0,1.06,-,66.0,-,63,22.45,40.53,2.96,0.67,2.29,21.57,-,-,-
47,桃園市,1999/04,大園,3.5,0.43,40.6,55.0,-,22,4.43,17.79,-,-,-,22.02,-,-,-
