序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2006/03,松山,5.8,0.78,419.06,25.3,69,23,53.09,17.64,35.45,-,-,-,18.4,-,-,70.83,-
2,臺北市,2006/03,古亭,5.3,0.86,-,25.5,75,33,49.17,16.03,33.14,2.36,0.333,2.027,18.26,-,-,74.72,-
3,臺北市,2006/03,中山,5.8,1.06,-,21.7,69,33,64.59,25.1,39.49,2.452,0.385,2.067,18.7,-,-,69.45,-
4,臺北市,2006/03,萬華,5.4,0.88,-,27.7,66,34,46.02,13.47,32.55,-,-,-,19.24,-,-,71.5,-
5,臺北市,2006/03,陽明,2.7,0.29,392.29,54.6,33,19,4.99,1.2,3.79,-,-,-,12.55,-,-,-,-
6,臺北市,2006/03,士林,3.9,0.65,-,34.4,70,30,30.43,8.33,22.1,-,-,-,18.79,-,-,71.77,-
7,新北市,2006/03,板橋,7.0,0.92,-,28.9,70,37,45.48,13.08,32.39,2.575,0.448,2.128,18.43,-,-,71.46,-
8,新北市,2006/03,三重,6.0,1.98,-,13.7,89,45,143.82,95.0,48.82,-,-,-,19.07,-,-,-,-
9,新北市,2006/03,菜寮,5.6,0.99,-,21.0,69,36,52.07,18.21,33.86,-,-,-,19.25,-,-,70.69,-
10,新北市,2006/03,永和,6.0,1.35,-,21.7,66,37,70.65,33.59,37.06,-,-,-,19.57,-,-,71.6,-
11,新北市,2006/03,新莊,7.1,0.81,-,31.5,72,42,41.48,12.05,29.43,-,-,-,18.65,-,-,71.83,-
12,新北市,2006/03,新店,4.5,0.61,-,31.8,55,31,28.12,6.19,21.92,-,-,-,18.8,-,-,70.14,-
13,新北市,2006/03,淡水,2.7,0.54,-,33.7,58,32,21.38,4.58,16.79,-,-,-,-,-,-,-,-
14,新北市,2006/03,汐止,6.2,0.63,-,22.8,64,30,39.93,12.56,27.37,-,-,-,18.18,-,-,76.56,-
15,新北市,2006/03,土城,6.4,0.78,-,29.1,75,44,45.32,14.75,30.55,-,-,-,19.27,-,-,72.32,-
16,新北市,2006/03,林口,4.6,0.49,-,32.7,70,31,26.35,5.71,20.64,-,-,-,16.42,-,-,80.81,-
17,新北市,2006/03,萬里,2.5,0.32,-,47.4,45,30,10.85,1.96,8.89,1.699,0.057,1.642,17.91,-,-,79.16,-
18,臺中市,2006/03,西屯,4.0,0.59,-,27.9,84,49,31.0,8.27,22.72,2.347,0.344,2.003,20.05,-,-,69.7,-
19,臺中市,2006/03,忠明,3.9,0.84,-,20.8,80,42,42.5,13.2,29.3,-,-,-,19.79,-,-,67.31,-
20,臺中市,2006/03,豐原,5.2,0.76,-,25.1,79,42,33.0,7.31,25.69,2.283,0.322,1.961,18.62,-,-,73.62,-
21,臺中市,2006/03,沙鹿,3.9,0.53,-,32.8,84,44,26.09,5.22,20.87,-,-,-,18.67,-,-,74.95,-
22,臺中市,2006/03,大里,5.1,0.87,406.91,22.6,99,49,41.81,10.41,31.4,-,-,-,20.14,-,-,68.97,-
23,臺南市,2006/03,新營,4.8,0.55,-,29.9,117,52,28.21,4.89,23.31,2.298,0.198,2.101,20.2,-,-,72.72,-
24,臺南市,2006/03,善化,4.9,0.49,425.86,27.1,105,52,24.9,4.27,20.62,-,-,-,21.07,-,-,73.92,-
25,臺南市,2006/03,安南,5.7,0.52,-,28.3,108,49,27.96,5.45,22.5,-,-,-,20.93,-,-,67.35,-
26,臺南市,2006/03,臺南,4.8,0.72,-,36.7,106,50,31.23,5.8,25.43,2.184,0.338,1.846,21.02,-,-,67.71,-
27,高雄市,2006/03,左營,8.0,0.73,-,31.0,106,52,37.99,8.96,29.03,-,-,-,20.96,-,-,71.53,-
28,高雄市,2006/03,楠梓,6.2,0.59,-,26.1,118,57,31.3,8.1,23.21,1.982,0.213,1.769,22.06,-,-,66.51,-
29,高雄市,2006/03,前金,8.2,0.78,-,38.8,101,60,34.66,5.39,29.26,-,-,-,23.07,-,-,66.27,-
30,高雄市,2006/03,前鎮,10.2,0.87,-,26.3,130,67,44.48,7.72,36.76,-,-,-,22.72,-,-,64.8,-
31,高雄市,2006/03,復興,10.6,1.2,-,27.5,127,67,55.11,14.53,40.58,-,-,-,22.85,-,-,65.01,-
32,高雄市,2006/03,小港,13.2,0.79,-,30.0,113,62,50.26,13.2,37.06,2.145,0.49,1.654,23.67,-,-,64.24,-
33,高雄市,2006/03,鳳山,10.9,0.88,-,28.7,121,52,42.85,9.33,33.52,-,-,-,22.51,-,-,67.46,-
34,高雄市,2006/03,林園,12.4,0.62,-,36.0,118,59,28.52,6.34,22.18,2.409,0.338,2.071,22.87,-,-,66.52,-
35,高雄市,2006/03,大寮,12.1,0.67,-,31.3,123,73,34.58,6.15,28.43,-,-,-,23.04,-,-,66.82,-
36,高雄市,2006/03,仁武,11.7,0.76,-,25.4,109,53,43.81,10.38,33.43,2.46,0.363,2.097,22.68,-,-,69.28,-
37,高雄市,2006/03,橋頭,6.2,0.59,-,31.2,110,63,36.24,9.01,27.23,-,-,-,22.31,-,-,71.93,-
38,高雄市,2006/03,美濃,3.1,0.48,-,36.8,103,54,17.34,2.2,15.14,-,-,-,23.22,-,-,68.37,-
39,基隆市,2006/03,基隆,6.3,0.62,-,30.4,54,31,33.92,8.72,25.2,2.199,0.175,2.024,18.57,-,-,76.1,-
40,新竹市,2006/03,新竹,5.8,0.63,-,29.3,78,44,33.26,7.77,25.48,2.343,0.298,2.045,18.82,-,-,73.37,-
41,嘉義市,2006/03,嘉義,4.7,0.65,-,26.5,119,60,31.46,5.86,25.6,2.305,0.255,2.05,19.67,-,-,69.92,-
42,宜蘭縣,2006/03,宜蘭,2.6,0.49,403.09,30.5,56,28,15.05,2.07,12.96,-,-,-,19.46,-,-,71.22,-
43,宜蘭縣,2006/03,冬山,3.0,0.52,-,31.4,59,26,20.88,5.08,15.79,-,-,-,18.99,-,-,76.42,-
44,桃園市,2006/03,桃園,10.3,0.74,-,30.5,78,37,39.72,10.69,29.03,2.396,0.36,2.036,18.12,-,-,73.52,-
45,桃園市,2006/03,中壢,8.3,1.11,-,20.6,78,43,59.94,24.08,35.86,-,-,-,18.1,-,-,74.53,-
46,桃園市,2006/03,大園,6.8,0.46,-,30.6,74,38,31.87,7.24,24.62,-,-,-,17.35,-,-,74.08,-
47,桃園市,2006/03,龍潭,4.8,0.61,-,26.8,73,33,34.04,7.31,26.72,-,-,-,16.62,-,-,73.85,-
48,桃園市,2006/03,平鎮,7.4,0.61,-,27.0,75,37,36.54,6.88,29.66,-,-,-,17.09,-,-,73.09,-
49,桃園市,2006/03,觀音,7.4,0.4,-,38.5,83,32,23.83,3.62,20.2,2.133,0.191,1.942,18.13,-,-,77.46,-
50,新竹縣,2006/03,竹東,2.8,0.58,-,27.9,69,38,25.08,4.24,20.84,-,-,-,18.66,-,-,73.76,-
