序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2006/12,松山,5.0,0.61,411.05,19.6,40,27,39.83,12.91,26.92,2.261,0.24,2.021,18.56,-,-,80.09,-
2,臺北市,2006/12,古亭,3.7,0.67,-,19.3,47,29,37.96,13.05,24.91,2.037,0.213,1.823,18.26,-,-,77.56,-
3,臺北市,2006/12,中山,4.6,0.81,-,14.3,46,28,48.09,17.92,30.18,2.231,0.261,1.97,18.87,-,-,68.88,-
4,臺北市,2006/12,萬華,5.4,0.74,-,20.5,41,-,35.17,9.49,25.68,-,-,-,19.67,-,-,77.99,-
5,臺北市,2006/12,陽明,2.4,0.24,392.27,34.3,19,12,3.01,0.98,2.01,-,-,-,11.82,-,-,98.13,-
6,臺北市,2006/12,士林,3.0,0.48,-,29.5,46,-,21.1,5.72,15.38,-,-,-,19.07,-,-,73.89,-
7,新北市,2006/12,板橋,4.6,0.72,-,20.2,39,24,33.54,8.11,25.43,2.378,0.335,2.044,18.66,-,-,77.02,-
8,新北市,2006/12,三重,4.8,1.84,-,-,61,31,120.97,80.1,40.87,2.977,0.868,2.109,19.19,-,-,67.17,-
9,新北市,2006/12,菜寮,4.2,0.73,-,19.1,43,23,34.63,10.0,24.63,-,-,-,19.59,-,-,69.89,-
10,新北市,2006/12,永和,4.7,1.06,-,20.4,42,26,44.52,19.14,25.37,-,-,-,17.68,-,-,73.1,-
11,新北市,2006/12,新莊,4.5,0.67,-,23.9,36,23,30.16,6.79,23.36,-,-,-,18.41,-,-,71.02,-
12,新北市,2006/12,新店,2.9,0.47,-,27.5,31,17,19.76,4.71,15.05,-,-,-,18.35,-,-,77.13,-
13,新北市,2006/12,淡水,2.5,0.45,-,32.2,35,19,14.93,3.61,11.31,-,-,-,-,-,-,-,-
14,新北市,2006/12,汐止,5.4,0.46,-,23.3,40,19,26.51,6.89,19.61,-,-,-,18.17,-,-,75.58,-
15,新北市,2006/12,土城,3.8,0.58,-,24.7,40,20,29.42,8.29,21.11,2.21,0.292,1.919,18.61,-,-,76.18,-
16,新北市,2006/12,林口,3.2,0.41,-,30.8,46,21,16.76,2.26,14.47,-,-,-,16.46,-,-,86.05,-
17,新北市,2006/12,萬里,2.2,0.27,-,42.5,61,18,5.36,0.97,4.35,-,-,-,18.66,-,-,74.44,-
18,臺中市,2006/12,西屯,3.4,0.55,-,28.0,61,36,27.39,8.99,18.39,2.28,0.294,1.985,19.59,-,-,73.29,-
19,臺中市,2006/12,忠明,3.1,0.74,-,21.2,57,33,37.25,12.62,24.63,2.383,0.39,1.993,18.87,-,-,68.56,-
20,臺中市,2006/12,豐原,4.0,0.64,-,19.8,53,31,26.82,6.64,20.18,2.12,0.234,1.886,17.66,-,-,70.91,-
21,臺中市,2006/12,沙鹿,3.2,0.47,-,28.7,55,30,20.58,4.39,16.19,-,-,-,18.69,-,-,72.09,-
22,臺中市,2006/12,大里,4.2,0.8,412.18,20.7,67,43,36.05,12.06,23.99,-,-,-,18.91,-,-,68.64,-
23,臺南市,2006/12,新營,4.4,0.53,-,24.1,90,59,28.35,7.47,20.89,2.237,0.167,2.07,18.76,-,-,73.13,-
24,臺南市,2006/12,善化,6.0,0.47,437.42,23.0,95,52,29.79,8.06,21.73,-,-,-,19.78,-,-,75.65,-
25,臺南市,2006/12,安南,4.9,0.53,-,26.1,87,46,27.82,7.96,19.87,2.261,0.217,2.044,19.44,-,-,68.05,-
26,臺南市,2006/12,臺南,5.4,0.7,-,28.3,87,47,32.18,6.36,25.81,2.214,0.279,1.935,19.68,-,-,68.3,-
27,高雄市,2006/12,左營,6.8,0.75,-,25.8,95,56,36.92,8.21,28.71,2.204,0.338,1.866,20.85,-,-,68.46,-
28,高雄市,2006/12,楠梓,4.7,0.59,-,23.9,107,59,32.51,8.25,24.26,2.238,0.248,1.99,20.74,-,-,68.35,-
29,高雄市,2006/12,前金,9.4,0.82,-,29.8,108,59,40.9,10.33,30.57,2.452,0.336,2.116,22.12,-,-,68.32,-
30,高雄市,2006/12,前鎮,8.9,0.91,-,22.5,113,67,45.22,13.4,31.81,-,-,-,21.2,-,-,70.93,-
31,高雄市,2006/12,復興,9.0,1.39,-,22.6,112,63,66.27,19.17,47.1,-,-,-,21.58,-,-,72.79,-
32,高雄市,2006/12,小港,14.4,0.85,-,21.6,103,66,57.01,17.4,39.61,2.205,0.461,1.744,22.35,-,-,65.19,-
33,高雄市,2006/12,鳳山,14.1,0.82,-,25.1,100,60,45.1,11.62,33.47,2.246,0.433,1.813,22.04,-,-,72.31,-
34,高雄市,2006/12,林園,13.7,0.66,-,33.9,116,62,37.92,9.32,28.6,3.218,0.665,2.554,21.55,-,-,68.18,-
35,高雄市,2006/12,大寮,9.4,0.7,-,27.3,124,67,37.73,6.51,31.22,-,-,-,21.49,-,-,68.82,-
36,高雄市,2006/12,仁武,11.6,0.7,-,21.7,91,65,48.38,12.77,35.61,2.428,0.365,2.063,21.74,-,-,67.1,-
37,高雄市,2006/12,橋頭,5.7,0.62,-,23.0,100,66,34.48,7.44,27.04,-,-,-,20.92,-,-,73.51,-
38,高雄市,2006/12,美濃,2.1,0.51,-,34.3,85,55,16.81,3.06,13.74,-,-,-,20.74,-,-,73.22,-
39,基隆市,2006/12,基隆,2.8,0.42,-,36.9,32,20,13.21,3.43,9.75,2.043,0.124,1.92,18.73,-,-,74.92,-
40,新竹市,2006/12,新竹,4.4,0.52,-,24.4,47,28,26.7,5.94,20.75,2.254,0.224,2.031,18.84,-,-,69.39,-
41,嘉義市,2006/12,嘉義,5.1,0.69,-,21.8,94,55,32.67,8.03,24.64,2.344,0.245,2.098,19.12,-,-,69.91,-
42,宜蘭縣,2006/12,宜蘭,2.4,0.53,401.08,25.3,35,18,15.77,2.87,12.88,-,-,-,17.8,-,-,79.42,-
43,宜蘭縣,2006/12,冬山,2.4,0.48,-,21.4,35,17,18.68,5.6,13.08,-,-,-,18.17,-,-,80.83,-
44,桃園市,2006/12,桃園,6.5,0.63,-,23.4,49,26,29.61,7.18,22.43,2.221,0.266,1.954,19.74,-,-,73.52,-
45,桃園市,2006/12,中壢,6.6,0.82,-,18.1,53,27,42.53,15.9,26.64,2.462,0.474,1.988,17.91,-,-,73.06,-
46,桃園市,2006/12,大園,4.0,0.37,-,30.3,45,25,21.63,5.5,16.12,-,-,-,18.22,-,-,78.0,-
47,桃園市,2006/12,龍潭,2.7,0.47,-,25.6,46,20,22.57,5.69,16.88,-,-,-,16.68,-,-,74.1,-
48,桃園市,2006/12,平鎮,5.6,0.55,-,23.6,51,25,27.82,4.74,23.07,-,-,-,17.42,-,-,74.15,-
49,桃園市,2006/12,觀音,7.4,0.35,-,32.4,51,25,19.53,3.21,16.32,-,-,-,18.93,-,-,73.88,-
50,新竹縣,2006/12,竹東,1.6,0.49,-,28.3,39,20,17.23,3.64,13.59,-,-,-,18.54,-,-,69.53,-
51,新竹縣,2006/12,湖口,4.0,0.38,-,32.1,44,28,17.83,4.08,13.74,-,-,-,18.32,-,-,74.48,-
52,苗栗縣,2006/12,苗栗,5.2,0.56,-,22.3,45,29,25.94,9.06,16.88,-,-,-,18.81,-,-,71.99,-
53,苗栗縣,2006/12,頭份,2.7,0.46,-,29.4,48,26,21.48,5.9,15.58,-,-,-,18.44,-,-,71.7,-
54,苗栗縣,2006/12,三義,2.7,0.35,-,28.6,45,26,13.24,2.09,11.14,-,-,-,16.5,-,-,79.92,-
55,彰化縣,2006/12,彰化,5.3,0.62,-,19.7,61,40,35.89,11.8,24.09,2.207,0.215,1.992,19.33,-,-,64.78,-
56,彰化縣,2006/12,線西,4.7,0.45,-,24.5,72,31,25.06,7.14,17.91,-,-,-,19.33,-,-,68.36,-
57,彰化縣,2006/12,二林,3.7,0.41,-,28.5,56,38,18.31,3.97,14.33,-,-,-,19.14,-,-,72.52,-
58,南投縣,2006/12,南投,3.7,0.71,-,21.0,59,43,31.78,9.01,22.77,2.296,0.251,2.045,18.99,-,-,71.63,-
59,南投縣,2006/12,埔里,2.3,0.62,-,22.2,59,43,22.54,5.41,17.12,-,-,-,18.35,-,-,71.33,-
60,南投縣,2006/12,竹山,3.3,0.59,-,25.4,72,52,22.45,5.01,17.44,-,-,-,18.68,-,-,74.43,-
61,雲林縣,2006/12,斗六,3.9,0.6,-,24.0,71,48,28.54,7.15,21.39,-,-,-,19.61,-,-,71.29,-
62,雲林縣,2006/12,崙背,4.2,0.34,-,26.2,78,30,18.91,3.6,15.3,-,-,-,20.05,-,-,73.3,-
63,雲林縣,2006/12,臺西,4.1,0.32,-,35.1,57,26,15.03,3.0,12.0,-,-,-,19.84,-,-,76.82,-
64,嘉義縣,2006/12,朴子,4.0,0.45,-,27.2,87,40,19.96,3.66,16.3,-,-,-,19.53,-,-,79.72,-
65,嘉義縣,2006/12,新港,3.7,0.49,-,26.8,81,-,22.59,6.56,16.02,-,-,-,18.86,-,-,74.27,-
66,屏東縣,2006/12,屏東,4.5,0.71,-,28.3,93,59,27.0,4.6,22.4,2.282,0.242,2.04,21.4,-,-,71.57,-
67,屏東縣,2006/12,潮州,4.7,0.59,-,32.1,93,61,25.44,4.86,20.58,-,-,-,21.69,-,-,72.69,-
68,屏東縣,2006/12,恆春,1.3,0.18,397.81,37.9,28,13,6.14,2.63,3.51,-,-,-,22.3,-,-,72.28,-
69,臺東縣,2006/12,臺東,2.4,0.41,-,34.2,34,15,10.57,3.33,7.24,-,-,-,21.98,-,-,68.82,-
70,臺東縣,2006/12,關山,1.7,-,-,24.7,28,13,-,-,-,-,-,-,19.36,-,-,74.86,-
71,花蓮縣,2006/12,花蓮,2.4,0.54,-,22.1,34,18,18.24,4.21,14.02,-,-,-,21.58,-,-,68.13,-
72,澎湖縣,2006/12,馬公,2.6,0.3,-,47.4,45,25,7.56,2.46,5.1,-,-,-,19.45,-,-,74.78,-
73,金門縣,2006/12,金門,11.3,0.53,-,30.7,91,46,16.95,3.32,13.62,-,-,-,15.52,-,-,63.55,-
74,連江縣,2006/12,馬祖,6.8,0.44,-,38.4,66,36,10.62,1.76,8.85,-,-,-,15.3,-,-,67.67,-
,,,,,,,,,,,,,,,,,,,,
