序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2011/05,松山,3.4,0.59,416.69,26.2,43,29,37.72,9.19,28.53,2.251,0.221,2.03,24.75,76.04
2,臺北市,2011/05,古亭,3.1,0.64,-,30.2,48,29,33.24,7.52,25.72,2.213,0.223,1.99,24.93,80.41
3,臺北市,2011/05,中山,3.4,0.77,-,25.8,45,33,42.28,12.5,29.78,2.297,0.292,2.006,25.4,76.45
4,臺北市,2011/05,大同,3.9,1.58,-,-,49,33,72.94,35.27,37.67,2.676,0.575,2.1,-,-
5,臺北市,2011/05,萬華,3.1,0.65,-,27.6,40,27,36.15,7.37,28.78,-,-,-,24.88,76.74
6,臺北市,2011/05,陽明,1.7,0.11,394.96,46.6,15,12,4.79,1.1,3.66,-,-,-,18.99,96.26
7,臺北市,2011/05,士林,2.6,0.47,-,36.8,37,24,22.33,4.52,17.81,-,-,-,25.1,74.7
8,新北市,2011/05,板橋,4.3,0.66,-,31.6,48,36,31.2,5.77,25.43,2.409,0.392,2.018,25.56,73.77
9,新北市,2011/05,三重,3.4,1.75,-,-,54,33,115.62,70.21,45.4,2.787,0.755,2.031,24.75,73.81
10,新北市,2011/05,菜寮,3.9,0.67,-,31.9,43,27,30.49,6.37,24.12,-,-,-,25.08,75.46
11,新北市,2011/05,永和,3.5,1.08,-,25.8,43,27,44.39,17.01,27.39,2.21,0.432,1.778,24.87,75.76
12,新北市,2011/05,新莊,5.1,0.6,-,31.5,44,30,30.74,6.12,24.62,-,-,-,25.46,76.64
13,新北市,2011/05,新店,2.6,0.43,-,35.3,36,21,18.7,2.98,15.72,-,-,-,24.91,82.34
14,新北市,2011/05,淡水,2.6,0.41,-,33.4,33,23,17.32,3.57,13.74,-,-,-,-,-
15,新北市,2011/05,汐止,4.0,0.46,-,29.4,39,26,29.76,8.07,21.69,-,-,-,24.61,86.96
16,新北市,2011/05,土城,3.9,0.58,-,32.8,51,35,28.02,6.82,21.2,2.207,0.279,1.928,25.39,78.49
17,新北市,2011/05,林口,3.9,0.4,-,36.8,42,25,22.27,3.85,18.42,-,-,-,23.34,85.4
18,新北市,2011/05,萬里,2.5,0.25,-,42.1,39,17,10.9,2.09,8.81,-,-,-,23.98,90.53
19,臺中市,2011/05,西屯,3.5,0.42,-,31.0,61,31,23.65,4.53,19.12,2.005,0.12,1.885,25.97,77.12
20,臺中市,2011/05,忠明,3.4,0.58,-,33.5,50,33,25.8,5.4,20.4,2.264,0.285,1.979,26.44,74.46
21,臺中市,2011/05,豐原,3.4,0.53,-,30.2,57,31,21.64,3.59,18.05,2.182,0.211,1.971,24.96,77.96
22,臺中市,2011/05,沙鹿,3.4,0.36,-,35.0,49,32,18.31,2.59,15.72,-,-,-,25.49,76.27
23,臺中市,2011/05,大里,3.4,0.56,431.11,30.9,58,34,25.65,4.86,20.79,2.202,0.28,1.922,26.87,70.13
24,臺南市,2011/05,新營,3.3,0.36,-,32.5,63,31,16.06,3.53,12.53,2.141,0.09,2.051,27.01,78.75
25,臺南市,2011/05,善化,3.7,0.31,420.55,32.5,60,29,15.85,4.9,10.95,-,-,-,26.96,82.93
26,臺南市,2011/05,安南,3.7,0.34,-,36.9,63,31,16.59,5.0,11.59,2.148,0.166,1.982,27.06,74.42
27,臺南市,2011/05,臺南,3.8,0.46,-,35.7,52,29,17.09,2.64,14.45,2.113,0.212,1.901,27.46,78.29
28,高雄市,2011/05,左營,5.1,0.44,-,30.9,54,33,22.62,4.77,17.85,2.105,0.181,1.924,26.89,76.95
29,高雄市,2011/05,楠梓,4.9,0.38,-,30.5,56,33,20.14,4.07,16.07,1.981,0.188,1.793,27.03,76.48
30,高雄市,2011/05,前金,5.5,0.47,-,31.2,52,38,21.34,4.37,16.97,2.067,0.174,1.893,27.18,75.45
31,高雄市,2011/05,前鎮,7.1,0.49,-,27.3,53,32,24.18,5.34,18.84,2.101,0.272,1.829,27.82,76.52
32,高雄市,2011/05,復興,7.0,0.73,-,24.7,54,30,30.02,7.11,22.91,2.346,0.381,1.965,27.28,74.63
33,高雄市,2011/05,小港,9.3,0.42,-,25.3,54,34,26.86,6.24,20.62,1.921,0.235,1.686,27.31,74.63
34,高雄市,2011/05,鳳山,7.1,0.58,-,31.2,66,35,25.32,4.78,20.54,2.204,0.271,1.933,27.41,76.16
35,高雄市,2011/05,林園,5.1,0.29,-,36.5,57,32,14.06,2.36,11.69,2.029,0.108,1.921,26.79,79.19
36,高雄市,2011/05,大寮,6.3,0.39,-,28.6,59,36,18.42,2.95,15.47,2.082,0.19,1.892,27.36,79.23
37,高雄市,2011/05,仁武,7.6,0.42,-,28.5,64,35,24.81,5.28,19.53,2.12,0.202,1.919,26.95,77.1
