序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2000/05,松山,4.4,0.88,25.9,60.0,-,46,12.5,33.67,-,-,-,25.34,-,-,-
2,臺北市,2000/05,古亭,3.0,0.86,30.2,51.0,29,38,10.74,27.58,2.2,0.28,1.92,26.18,-,-,-
3,臺北市,2000/05,中山,4.2,0.99,25.3,69.0,-,45,11.69,33.74,2.67,0.38,2.29,25.97,-,-,-
4,臺北市,2000/05,大同,8.9,3.57,-,81.0,-,169,115.06,54.36,4.01,1.78,2.23,27.0,-,-,-
5,臺北市,2000/05,萬華,3.5,0.9,30.3,54.0,-,31,3.76,27.43,-,-,-,25.33,-,-,-
6,臺北市,2000/05,陽明,2.5,0.3,52.5,24.0,-,4,0.35,3.9,-,-,-,19.55,-,-,-
7,臺北市,2000/05,士林,3.3,0.7,32.8,47.0,-,27,5.74,21.33,-,-,-,25.69,-,-,-
8,新北市,2000/05,板橋,7.4,0.91,28.6,70.0,-,38,8.37,30.04,2.66,0.49,2.17,26.21,-,-,-
9,新北市,2000/05,三重,6.4,2.44,-,107.0,30,129,80.67,48.59,3.05,0.83,2.22,26.17,-,-,-
10,新北市,2000/05,菜寮,5.1,1.0,28.0,68.0,-,44,10.78,32.81,-,-,-,25.57,-,-,-
11,新北市,2000/05,永和,4.5,1.4,-,69.0,-,54,20.78,32.95,2.64,0.57,2.07,25.76,-,-,-
12,新北市,2000/05,新莊,7.3,0.81,38.7,66.0,-,34,6.98,27.52,2.59,0.5,2.09,25.49,-,-,-
13,新北市,2000/05,新店,1.8,0.55,37.4,50.0,-,19,1.85,16.99,-,-,-,25.87,-,-,-
14,新北市,2000/05,淡水,2.2,0.73,35.1,50.0,-,27,5.58,21.02,-,-,-,25.68,-,-,-
15,新北市,2000/05,汐止,4.2,0.76,26.2,60.0,-,43,11.9,30.86,-,-,-,24.58,-,-,-
16,新北市,2000/05,土城,4.6,0.78,31.9,50.0,-,35,9.46,25.69,-,-,-,25.45,-,-,-
17,新北市,2000/05,林口,5.8,0.57,36.8,62.0,-,25,3.55,21.56,-,-,-,23.71,-,-,-
18,新北市,2000/05,萬里,1.9,0.37,42.1,46.0,-,10,1.1,8.64,2.1,0.03,2.07,23.84,-,-,-
19,臺中市,2000/05,西屯,4.2,0.7,27.1,89.0,-,33,8.28,24.79,2.62,0.23,2.4,24.91,-,-,-
20,臺中市,2000/05,忠明,4.2,1.0,31.3,84.0,49,42,8.91,32.67,-,-,-,26.89,-,-,-
21,臺中市,2000/05,豐原,3.7,0.72,29.4,71.0,-,31,4.72,26.25,-,-,-,25.24,-,-,-
