序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2010/05,松山,3.8,0.63,418.45,29.7,55,36,39.15,9.89,29.26,2.007,0.245,1.762,25.74,71.36
2,臺北市,2010/05,古亭,3.6,0.7,-,29.5,55,29,33.76,8.4,25.36,2.224,0.26,1.963,25.72,76.02
3,臺北市,2010/05,中山,4.0,0.86,-,26.0,54,37,44.1,14.01,30.09,2.383,0.322,2.062,26.13,72.78
4,臺北市,2010/05,萬華,3.5,0.73,-,26.7,47,30,37.57,8.72,28.85,-,-,-,25.72,75.09
5,臺北市,2010/05,陽明,2.0,0.23,391.4,45.9,19,15,4.67,1.24,3.42,-,-,-,18.0,89.43
6,臺北市,2010/05,士林,3.1,0.49,-,36.5,52,23,22.43,4.77,17.66,-,-,-,25.43,73.75
7,新北市,2010/05,板橋,5.2,0.7,-,31.9,44,29,32.88,7.6,25.28,2.347,0.363,1.984,25.93,69.75
8,新北市,2010/05,三重,4.1,1.93,-,-,72,38,127.15,81.48,45.67,2.71,0.832,1.878,25.64,70.78
9,新北市,2010/05,菜寮,4.1,0.8,-,30.2,46,25,34.6,10.02,24.58,-,-,-,25.89,70.55
10,新北市,2010/05,永和,3.7,1.14,-,25.5,54,30,47.12,19.09,28.03,2.529,0.49,2.038,26.07,72.04
11,新北市,2010/05,新莊,6.7,0.62,-,31.3,47,28,29.87,7.09,22.77,-,-,-,25.08,73.7
12,新北市,2010/05,新店,2.6,0.48,-,34.0,40,25,19.76,3.68,16.08,-,-,-,25.58,77.83
13,新北市,2010/05,淡水,2.8,0.43,-,33.8,38,22,17.11,3.73,13.37,-,-,-,-,-
14,新北市,2010/05,汐止,4.9,0.51,-,29.4,43,26,34.0,10.38,23.62,-,-,-,25.31,82.05
15,新北市,2010/05,土城,4.6,0.6,-,32.0,47,26,29.95,8.26,21.69,2.25,0.321,1.929,25.96,74.55
16,新北市,2010/05,林口,4.6,0.42,-,35.6,45,22,21.61,4.14,17.47,-,-,-,23.93,79.8
17,新北市,2010/05,萬里,2.6,0.29,-,43.6,40,22,9.66,1.98,7.67,-,-,-,23.98,86.83
18,臺中市,2010/05,西屯,3.8,0.42,-,33.5,62,35,21.9,4.21,17.69,2.105,0.243,1.862,25.83,76.35
19,臺中市,2010/05,忠明,4.0,0.56,-,34.0,57,36,24.78,4.31,20.48,2.08,0.271,1.809,27.17,73.41
20,臺中市,2010/05,豐原,3.6,0.53,-,32.9,62,30,19.96,2.99,16.97,1.915,0.203,1.713,26.01,75.87
21,臺中市,2010/05,沙鹿,3.8,0.41,-,34.2,51,32,18.53,2.6,15.92,-,-,-,26.11,81.86
22,臺中市,2010/05,大里,3.9,0.55,426.01,29.9,64,36,25.02,4.23,20.79,1.84,0.262,1.578,27.8,71.72
23,臺南市,2010/05,新營,3.8,0.36,-,29.9,72,33,15.02,3.22,11.8,2.126,0.103,2.023,27.35,77.19
24,臺南市,2010/05,善化,4.9,0.28,418.47,27.7,64,31,15.91,3.71,12.2,-,-,-,26.9,82.07
25,臺南市,2010/05,安南,3.4,0.34,-,35.7,69,32,15.29,4.44,10.85,1.979,0.138,1.842,27.5,72.86
26,臺南市,2010/05,臺南,3.7,0.4,-,38.6,60,30,15.43,1.96,13.47,1.923,0.17,1.753,27.65,75.28
27,高雄市,2010/05,左營,5.6,0.37,-,32.2,54,30,17.74,3.57,14.17,2.05,0.143,1.907,28.76,75.05
28,高雄市,2010/05,楠梓,6.9,0.37,-,31.6,67,29,19.01,3.39,15.62,1.935,0.166,1.769,27.36,73.0
29,高雄市,2010/05,前金,5.8,0.38,-,34.6,55,33,18.46,4.26,14.2,2.009,0.144,1.866,27.25,76.72
30,高雄市,2010/05,前鎮,8.5,0.39,-,27.8,53,27,21.76,4.03,17.73,2.064,0.222,1.843,28.59,75.14
31,高雄市,2010/05,復興,10.3,0.61,-,31.6,51,27,27.11,5.17,21.94,2.266,0.334,1.932,27.88,78.64
32,高雄市,2010/05,小港,10.9,0.37,-,31.2,68,32,25.12,6.36,18.75,1.904,0.149,1.756,27.92,74.67
33,高雄市,2010/05,鳳山,7.6,0.53,-,26.7,70,34,24.03,4.34,19.69,2.1,0.282,1.819,28.42,72.0
34,高雄市,2010/05,林園,5.8,0.26,-,38.0,58,31,11.51,1.96,9.54,1.917,0.064,1.852,28.18,78.97
35,高雄市,2010/05,大寮,6.4,0.38,-,29.4,59,31,18.81,3.24,15.58,2.05,0.15,1.901,27.92,74.01
36,高雄市,2010/05,仁武,9.4,0.37,-,31.4,62,30,23.79,5.63,18.16,2.0,0.169,1.832,28.66,73.6
37,高雄市,2010/05,橋頭,4.7,0.35,-,32.3,50,30,17.95,4.28,13.67,-,-,-,27.71,75.15
38,高雄市,2010/05,美濃,2.3,0.28,-,36.3,52,24,10.74,2.38,8.36,-,-,-,27.71,74.69
39,基隆市,2010/05,基隆,3.0,0.44,-,30.1,34,22,19.53,4.63,14.91,1.984,0.151,1.833,24.77,80.01
40,新竹市,2010/05,新竹,4.1,0.49,-,30.1,43,29,21.47,3.26,18.21,2.073,0.198,1.875,25.51,77.03
41,嘉義市,2010/05,嘉義,4.1,0.41,-,31.7,64,38,16.32,2.16,14.15,2.001,0.131,1.87,27.43,71.0
42,宜蘭縣,2010/05,宜蘭,2.7,0.36,408.44,33.1,41,19,10.01,1.53,8.47,-,-,-,25.1,78.51
43,宜蘭縣,2010/05,冬山,2.2,0.39,-,31.3,37,19,12.51,2.79,9.71,-,-,-,25.15,80.8
44,桃園市,2010/05,桃園,8.6,0.61,-,33.4,56,30,28.61,6.21,22.4,2.069,0.294,1.776,25.22,78.33
45,桃園市,2010/05,中壢,5.3,1.1,-,27.1,68,31,48.86,19.48,29.38,2.493,0.528,1.964,24.91,76.48
46,桃園市,2010/05,大園,5.4,0.37,-,34.8,47,30,23.88,3.79,20.09,-,-,-,24.45,82.93
47,桃園市,2010/05,龍潭,3.4,0.47,-,34.5,65,24,22.49,3.53,18.95,-,-,-,24.27,79.24
48,桃園市,2010/05,平鎮,5.5,0.47,-,32.1,60,25,25.74,4.12,21.61,-,-,-,24.86,76.57
49,桃園市,2010/05,觀音,6.3,0.29,-,39.0,60,25,15.15,2.57,12.58,-,-,-,24.82,81.97
50,新竹縣,2010/05,竹東,1.5,0.38,-,31.5,43,28,15.05,2.38,12.67,-,-,-,24.76,79.34
51,新竹縣,2010/05,湖口,4.6,0.37,-,38.4,49,27,18.16,4.21,13.95,-,-,-,24.78,75.87
52,苗栗縣,2010/05,苗栗,3.8,0.43,-,32.6,45,27,18.93,3.24,15.69,-,-,-,25.41,76.57
53,苗栗縣,2010/05,頭份,5.8,0.4,-,33.5,47,24,19.43,3.33,16.1,2.131,0.135,1.996,25.4,79.93
54,苗栗縣,2010/05,三義,2.8,0.33,-,36.6,47,25,14.25,2.7,11.55,-,-,-,23.36,82.8
55,彰化縣,2010/05,彰化,4.8,0.43,-,26.7,60,39,27.23,5.4,21.83,1.989,0.2,1.788,26.25,73.43
56,彰化縣,2010/05,線西,4.5,0.36,-,37.5,54,30,15.21,2.65,12.56,-,-,-,25.61,83.58
57,彰化縣,2010/05,二林,2.7,0.31,-,33.6,64,35,13.98,2.28,11.7,-,-,-,26.38,76.94
58,南投縣,2010/05,南投,3.6,0.44,-,30.8,69,29,18.96,3.32,15.64,1.991,0.348,1.642,26.79,73.89
59,南投縣,2010/05,埔里,2.1,0.35,-,38.9,42,28,12.62,1.62,10.99,-,-,-,25.49,71.54
60,南投縣,2010/05,竹山,3.0,0.35,-,35.4,50,33,15.23,2.96,12.27,-,-,-,25.81,78.03
61,雲林縣,2010/05,斗六,3.7,0.39,-,34.2,58,37,17.51,3.14,14.37,-,-,-,27.35,73.79
62,雲林縣,2010/05,崙背,3.5,0.32,-,34.8,65,35,13.36,3.52,9.87,-,-,-,26.26,81.32
63,雲林縣,2010/05,臺西,4.1,0.27,-,47.5,45,28,10.28,1.79,8.48,-,-,-,26.1,83.15
64,嘉義縣,2010/05,朴子,3.2,0.34,-,39.3,72,31,12.26,2.18,10.07,-,-,-,27.12,76.59
65,嘉義縣,2010/05,新港,3.4,0.33,-,35.6,67,30,14.06,3.07,10.99,-,-,-,26.34,74.74
66,屏東縣,2010/05,屏東,4.3,0.43,-,35.4,64,32,15.63,2.07,13.56,2.003,0.149,1.854,28.47,69.1
