序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
50,桃園市,2012/02,觀音,5.4,0.32,-,30.5,50,22,12.34,2.17,10.17,-,-,-,14.85,89.42
51,新竹縣,2012/02,竹東,2.0,0.44,-,25.0,35,21,19.95,4.71,15.24,-,-,-,15.89,83.86
52,新竹縣,2012/02,湖口,3.0,0.36,-,30.0,35,25,14.61,2.73,11.87,-,-,-,14.73,86.17
53,苗栗縣,2012/02,苗栗,3.0,0.5,-,20.4,41,27,26.65,6.07,20.58,-,-,-,14.9,84.9
54,苗栗縣,2012/02,頭份,3.0,0.44,-,26.1,42,24,20.78,5.35,15.44,2.113,0.128,1.985,14.76,82.78
55,苗栗縣,2012/02,三義,1.4,0.37,-,25.3,26,19,16.02,3.42,12.59,-,-,-,13.43,91.36
56,彰化縣,2012/02,彰化,3.2,0.56,-,19.2,46,32,27.89,8.0,19.89,1.952,0.214,1.738,15.73,77.67
57,彰化縣,2012/02,線西,4.0,0.41,-,27.9,50,27,16.97,2.92,14.04,1.953,0.087,1.866,14.97,86.2
58,彰化縣,2012/02,二林,3.1,0.34,-,27.7,60,33,14.41,2.16,12.25,-,-,-,15.69,80.38
59,南投縣,2012/02,南投,2.5,0.66,-,15.3,60,31,31.43,8.96,22.47,2.227,0.26,1.967,17.04,77.93
60,南投縣,2012/02,埔里,1.7,0.52,-,23.2,41,32,18.37,3.55,14.82,-,-,-,18.16,78.76
61,南投縣,2012/02,竹山,2.5,0.49,-,18.3,57,46,24.15,5.2,18.95,-,-,-,16.17,82.74
62,雲林縣,2012/02,斗六,2.8,0.52,-,20.9,65,43,24.59,5.37,19.21,-,-,-,17.14,77.47
63,雲林縣,2012/02,崙背,3.0,0.41,-,26.7,63,39,17.34,3.19,14.15,-,-,-,15.9,87.8
64,雲林縣,2012/02,麥寮,3.0,0.34,-,31.6,51,26,11.42,3.32,8.1,1.866,0.057,1.81,15.47,85.56
65,雲林縣,2012/02,臺西,3.2,0.31,-,36.8,40,27,8.12,1.4,6.71,1.926,0.073,1.853,15.88,86.36
66,嘉義縣,2012/02,朴子,2.5,0.39,-,28.2,72,37,15.43,2.55,12.88,-,-,-,17.18,83.26
67,嘉義縣,2012/02,新港,2.4,0.43,-,25.6,59,40,15.35,2.84,12.51,-,-,-,16.01,79.37
68,屏東縣,2012/02,屏東,2.8,0.59,-,23.1,82,46,21.19,3.77,17.42,2.166,0.206,1.96,19.83,77.45
69,屏東縣,2012/02,潮州,3.2,0.49,-,23.2,83,52,18.2,3.02,15.18,-,-,-,20.23,80.65
70,屏東縣,2012/02,恆春,1.9,0.23,396.35,40.5,15,11,4.73,2.0,2.72,-,-,-,21.34,80.75
71,臺東縣,2012/02,臺東,1.6,0.42,-,30.2,21,7,10.01,3.16,6.85,-,-,-,20.53,77.46
72,臺東縣,2012/02,關山,1.6,-,-,29.6,14,11,7.32,2.04,5.28,-,-,-,18.2,82.1
73,花蓮縣,2012/02,花蓮,1.9,0.48,-,23.9,23,18,15.68,3.82,11.86,-,-,-,19.39,81.7
74,澎湖縣,2012/02,馬公,1.5,0.33,-,39.9,39,22,6.52,1.37,5.15,-,-,-,14.81,81.9
75,金門縣,2012/02,金門,5.8,0.56,-,23.5,73,41,21.87,5.82,16.05,-,-,-,13.04,76.65
76,連江縣,2012/02,馬祖,3.4,0.4,-,31.5,48,30,10.31,1.75,8.56,-,-,-,9.04,82.84
,,,,,,,,,,,,,,,,,
