序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1994/04,松山,12.2,1.58,16.0,99.0,76,33,41.57,-,-,-,23.28,-,-
2,臺北市,1994/04,古亭,8.9,1.79,16.8,80.0,70,31,38.1,2.79,0.58,2.22,23.83,-,-
3,臺北市,1994/04,中山,12.8,1.97,14.3,99.0,86,41,42.79,2.94,0.63,2.31,23.71,-,-
4,臺北市,1994/04,大同,20.9,5.59,-,158.0,225,166,57.16,5.33,2.68,2.73,24.38,-,-
5,臺北市,1994/04,萬華,10.6,1.65,17.5,83.0,56,18,36.04,-,-,-,23.71,-,-
6,臺北市,1994/04,陽明,3.3,0.38,43.2,27.0,6,0,4.7,-,-,-,18.47,-,-
7,臺北市,1994/04,士林,7.3,1.31,16.9,94.0,53,23,29.56,-,-,-,23.73,-,-
8,新北市,1994/04,板橋,16.9,1.65,17.3,100.0,61,21,39.37,3.08,0.95,2.14,24.63,-,-
9,新北市,1994/04,菜寮,12.6,1.87,14.5,103.0,69,31,36.84,-,-,-,24.08,-,-
10,新北市,1994/04,新莊,17.8,1.36,17.6,89.0,56,21,32.77,3.16,1.07,2.09,23.47,-,-
11,新北市,1994/04,新店,6.6,1.04,21.5,63.0,37,8,27.59,-,-,-,23.85,-,-
12,新北市,1994/04,淡水,6.7,1.23,24.5,68.0,37,13,21.77,-,-,-,23.43,-,-
13,新北市,1994/04,汐止,12.9,1.2,12.2,79.0,76,37,36.53,-,-,-,22.38,-,-
14,新北市,1994/04,土城,11.1,1.2,19.4,95.0,46,16,29.08,-,-,-,24.1,-,-
15,新北市,1994/04,林口,9.1,0.89,23.5,75.0,30,10,18.37,-,-,-,21.7,-,-
16,新北市,1994/04,萬里,3.2,0.5,33.9,51.0,13,3,9.21,1.7,0.15,1.56,22.18,-,-
17,臺中市,1994/04,西屯,8.5,0.83,21.3,70.0,39,12,26.57,2.0,0.29,1.71,24.84,-,-
18,臺中市,1994/04,忠明,8.0,1.28,17.5,77.0,54,17,37.52,-,-,-,25.04,-,-
19,臺中市,1994/04,豐原,8.8,0.95,21.1,68.0,44,9,34.92,-,-,-,23.93,-,-
20,臺中市,1994/04,沙鹿,11.0,0.78,19.7,74.0,36,12,24.49,-,-,-,24.49,-,-
21,臺中市,1994/04,大里,8.4,0.87,17.2,96.0,44,10,32.48,-,-,-,25.54,-,-
22,臺南市,1994/04,新營,5.1,0.62,25.5,70.0,26,4,20.7,-,-,-,25.78,-,-
23,臺南市,1994/04,善化,5.9,0.52,28.9,74.0,20,4,15.25,-,-,-,25.51,-,-
24,臺南市,1994/04,安南,6.3,0.69,25.4,108.0,25,9,15.56,-,-,-,26.14,-,-
25,臺南市,1994/04,臺南,8.4,0.85,20.7,107.0,27,8,19.48,2.28,0.37,1.89,26.39,-,-
26,高雄市,1994/04,左營,10.9,0.87,24.0,70.0,31,8,19.68,2.32,0.28,2.04,25.8,-,-
27,高雄市,1994/04,楠梓,8.9,0.68,18.7,74.0,39,13,25.44,2.69,0.37,2.33,27.99,-,-
28,高雄市,1994/04,前金,12.0,0.95,18.4,78.0,33,9,24.11,-,-,-,26.7,-,-
29,高雄市,1994/04,前鎮,17.5,-,-,75.0,44,12,31.1,1.84,0.42,1.43,26.59,-,-
30,高雄市,1994/04,小港,16.1,0.81,17.6,91.0,45,14,27.15,2.09,0.29,1.8,28.24,-,-
31,高雄市,1994/04,鳳山,17.4,1.03,19.4,97.0,44,11,32.17,-,-,-,26.59,-,-
32,高雄市,1994/04,林園,11.7,0.6,22.3,87.0,18,4,14.01,2.11,0.36,1.76,26.49,-,-
33,高雄市,1994/04,大寮,22.1,0.74,19.0,95.0,29,6,23.07,-,-,-,27.12,-,-
34,高雄市,1994/04,仁武,20.0,0.77,16.0,101.0,40,12,27.89,1.84,0.32,1.53,25.7,-,-
35,高雄市,1994/04,橋頭,8.3,0.66,21.6,79.0,30,9,20.01,2.19,0.21,1.97,26.59,-,-
36,高雄市,1994/04,美濃,4.4,0.54,30.4,84.0,19,2,15.88,-,-,-,26.3,-,-
37,基隆市,1994/04,基隆,12.2,1.28,20.3,64.0,51,20,30.71,2.58,0.55,2.03,22.57,-,-
38,新竹市,1994/04,新竹,7.3,1.0,20.1,71.0,35,12,22.84,2.95,0.4,2.54,23.68,-,-
39,嘉義市,1994/04,嘉義,6.0,0.95,23.0,86.0,38,8,30.8,2.31,0.36,1.95,25.76,-,-
40,宜蘭縣,1994/04,宜蘭,2.5,0.72,22.8,44.0,18,3,12.1,-,-,-,23.24,-,-
41,宜蘭縣,1994/04,冬山,2.2,-,-,55.0,20,6,12.33,2.22,0.13,2.08,23.07,-,-
42,桃園市,1994/04,桃園,22.1,1.28,18.2,83.0,54,18,36.03,2.88,0.56,2.33,23.04,-,-
