序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2009/08,松山,4.2,0.49,402.58,20.7,38,28,27.34,8.05,19.29,1.958,0.227,1.731,29.9,70.48
2,臺北市,2009/08,古亭,3.7,0.59,-,20.0,44,25,28.35,9.36,18.99,2.054,0.229,1.826,30.24,75.45
3,臺北市,2009/08,中山,4.3,0.74,-,18.4,42,31,37.4,14.16,23.24,2.252,0.249,2.002,30.7,72.12
4,臺北市,2009/08,萬華,3.3,0.59,-,21.6,39,25,23.84,6.57,17.27,-,-,-,30.01,73.99
5,臺北市,2009/08,陽明,2.3,0.16,382.43,29.9,19,15,4.85,1.3,3.55,-,-,-,22.81,91.61
6,臺北市,2009/08,士林,3.5,0.39,-,25.2,47,21,18.93,4.37,14.56,-,-,-,29.79,73.02
7,新北市,2009/08,板橋,5.7,0.62,-,21.9,38,23,29.51,8.61,20.9,2.423,0.344,2.079,30.14,69.33
8,新北市,2009/08,三重,4.3,1.7,-,-,59,36,112.67,78.31,34.35,2.411,0.77,1.641,30.74,77.71
9,新北市,2009/08,菜寮,4.7,0.7,-,21.8,32,21,30.18,10.72,19.47,-,-,-,30.4,69.67
10,新北市,2009/08,永和,4.1,1.11,-,17.4,42,27,43.51,20.8,22.71,-,-,-,30.4,71.24
11,新北市,2009/08,新莊,8.4,0.52,-,21.0,34,24,27.0,7.77,19.22,-,-,-,29.6,72.9
12,新北市,2009/08,新店,2.7,0.38,-,23.5,32,17,17.74,3.38,14.36,-,-,-,29.5,77.58
13,新北市,2009/08,淡水,3.1,0.34,-,19.1,32,17,15.18,3.36,11.8,-,-,-,-,-
14,新北市,2009/08,汐止,3.9,0.4,-,23.2,33,22,21.44,6.21,15.23,-,-,-,29.52,80.0
15,新北市,2009/08,土城,4.5,0.52,-,22.9,40,22,27.44,9.32,18.12,2.216,0.291,1.925,30.15,74.3
16,新北市,2009/08,林口,5.4,0.34,-,22.4,38,22,21.08,5.03,16.03,-,-,-,28.6,76.27
17,新北市,2009/08,萬里,2.8,0.21,-,23.8,40,19,9.19,1.87,7.31,-,-,-,28.3,86.48
18,臺中市,2009/08,西屯,3.6,0.31,-,27.8,50,30,17.55,3.47,14.08,2.07,0.196,1.874,28.8,71.16
19,臺中市,2009/08,忠明,3.6,0.44,-,29.6,46,31,19.48,3.14,16.34,1.827,0.253,1.574,28.81,75.18
20,臺中市,2009/08,豐原,3.2,0.39,-,29.8,50,27,13.59,1.66,11.93,1.8,0.15,1.65,28.93,76.95
21,臺中市,2009/08,沙鹿,4.0,0.29,-,27.2,42,26,14.21,2.16,12.03,-,-,-,28.6,76.9
22,臺中市,2009/08,大里,3.3,0.34,414.61,31.4,47,33,14.84,2.73,12.11,1.747,0.187,1.559,30.29,74.54
