序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1995/08,松山,6.9,1.07,11.1,45.0,48,23,25.03,-,-,-,29.24,-,-
2,臺北市,1995/08,古亭,5.0,1.16,11.0,45.0,47,29,18.66,-,-,-,29.39,-,-
3,臺北市,1995/08,中山,9.9,1.43,11.4,49.0,57,31,26.62,2.8,0.59,2.21,29.35,-,-
4,臺北市,1995/08,大同,16.6,4.11,-,67.0,164,125,38.98,4.26,1.8,2.45,30.03,-,-
5,臺北市,1995/08,萬華,7.7,0.98,14.2,43.0,36,12,23.66,-,-,-,29.08,-,-
6,臺北市,1995/08,陽明,3.9,0.21,27.5,18.0,5,1,4.28,-,-,-,23.04,-,-
7,臺北市,1995/08,士林,5.7,0.91,13.5,45.0,40,17,22.56,-,-,-,28.93,-,-
8,新北市,1995/08,板橋,15.9,1.01,16.3,63.0,44,16,27.7,2.54,0.66,1.88,29.0,-,-
9,新北市,1995/08,菜寮,11.5,1.4,11.3,59.0,55,28,27.5,-,-,-,29.49,-,-
10,新北市,1995/08,新莊,17.4,0.92,18.7,52.0,42,17,24.69,3.27,0.7,2.58,28.59,-,-
11,新北市,1995/08,新店,3.6,0.58,16.9,37.0,20,5,14.89,-,-,-,28.74,-,-
12,新北市,1995/08,淡水,5.4,0.91,15.4,46.0,29,11,18.03,-,-,-,29.62,-,-
13,新北市,1995/08,汐止,8.2,0.76,9.5,47.0,47,26,20.06,-,-,-,28.52,-,-
14,新北市,1995/08,土城,9.7,0.81,16.8,52.0,37,16,21.68,-,-,-,28.61,-,-
15,新北市,1995/08,林口,8.8,0.72,18.8,48.0,35,14,21.33,-,-,-,26.89,-,-
16,新北市,1995/08,萬里,5.5,0.37,14.9,31.0,13,4,8.92,2.09,0.11,1.98,27.85,-,-
17,臺中市,1995/08,西屯,4.3,0.62,19.7,65.0,30,10,20.6,2.45,0.31,2.14,28.21,-,-
18,臺中市,1995/08,忠明,6.2,1.06,26.6,65.0,37,12,25.42,-,-,-,28.12,-,-
19,臺中市,1995/08,豐原,6.7,0.87,20.2,45.0,26,6,19.59,-,-,-,26.96,-,-
20,臺中市,1995/08,沙鹿,6.0,0.52,20.8,50.0,20,4,16.15,-,-,-,28.29,-,-
21,臺中市,1995/08,大里,-,0.73,17.6,71.0,23,5,18.3,-,-,-,28.3,-,-
22,臺南市,1995/08,新營,3.2,0.46,16.4,44.0,16,3,13.05,-,-,-,28.16,-,-
23,臺南市,1995/08,善化,3.4,0.33,32.2,28.0,11,2,9.14,-,-,-,27.33,-,-
24,臺南市,1995/08,安南,6.5,0.48,18.2,50.0,20,8,12.45,-,-,-,28.31,-,-
25,臺南市,1995/08,臺南,5.8,0.73,14.5,64.0,24,7,17.18,2.42,0.29,2.13,28.19,-,-
26,高雄市,1995/08,左營,10.3,0.75,19.8,45.0,29,11,17.91,2.47,0.28,2.19,27.97,-,-
27,高雄市,1995/08,楠梓,8.0,0.38,14.3,45.0,34,14,20.41,-,-,-,29.06,-,-
28,高雄市,1995/08,前金,12.5,0.86,19.4,55.0,33,12,20.7,-,-,-,28.42,-,-
29,高雄市,1995/08,前鎮,18.0,-,-,62.0,37,13,24.36,-,-,-,28.21,-,-
30,高雄市,1995/08,小港,18.2,0.95,15.9,64.0,43,17,25.37,2.28,0.2,2.09,29.46,-,-
31,高雄市,1995/08,鳳山,9.7,0.85,20.5,55.0,30,7,22.66,-,-,-,28.51,-,-
32,高雄市,1995/08,林園,-,0.44,22.0,77.0,12,3,9.72,2.12,0.14,1.98,28.21,-,-
33,高雄市,1995/08,大寮,10.2,0.58,17.0,54.0,18,3,15.56,-,-,-,27.8,-,-
34,高雄市,1995/08,仁武,10.1,0.6,15.0,59.0,26,8,17.61,2.92,0.29,2.63,29.1,-,-
35,高雄市,1995/08,橋頭,7.6,0.51,12.3,49.0,24,9,15.28,2.16,0.15,2.02,28.06,-,-
36,高雄市,1995/08,美濃,1.5,0.41,23.6,41.0,10,2,8.57,-,-,-,26.59,-,-
37,基隆市,1995/08,基隆,7.9,0.66,13.5,38.0,30,13,16.41,2.39,0.31,2.08,28.63,-,-
38,新竹市,1995/08,新竹,4.9,0.79,-,45.0,33,15,18.63,3.39,0.48,2.9,27.74,-,-
39,嘉義市,1995/08,嘉義,4.1,0.76,21.6,34.0,27,6,20.75,2.28,0.29,1.99,28.23,-,-
40,宜蘭縣,1995/08,宜蘭,2.2,0.54,10.7,33.0,18,6,11.25,-,-,-,27.99,-,-
41,宜蘭縣,1995/08,冬山,3.8,-,-,35.0,22,12,10.16,1.9,0.14,1.75,28.03,-,-
42,桃園市,1995/08,桃園,21.9,0.84,14.3,-,37,13,24.52,2.66,0.43,2.23,-,-,-
43,桃園市,1995/08,大園,9.6,0.7,23.5,53.0,29,11,18.39,-,-,-,28.35,-,-
44,桃園市,1995/08,龍潭,6.7,0.57,21.3,69.0,27,8,19.26,-,-,-,26.74,-,-
45,桃園市,1995/08,平鎮,9.4,0.8,18.9,77.0,35,10,24.16,2.31,0.37,1.94,28.39,-,-
46,桃園市,1995/08,觀音,11.4,0.41,25.8,55.0,20,5,15.07,2.49,0.2,2.29,28.13,-,-
47,新竹縣,1995/08,竹東,2.8,0.47,20.6,58.0,21,6,15.13,-,-,-,27.22,-,-
48,新竹縣,1995/08,湖口,5.7,0.58,20.1,51.0,31,13,18.5,-,-,-,28.5,-,-
49,苗栗縣,1995/08,苗栗,5.4,0.58,20.6,63.0,26,7,18.89,-,-,-,28.08,-,-
50,苗栗縣,1995/08,頭份,11.2,-,-,56.0,36,15,21.14,2.36,0.14,2.22,27.78,-,-
51,苗栗縣,1995/08,三義,2.7,0.42,21.4,58.0,18,6,12.73,2.12,0.12,1.99,24.89,-,-
52,彰化縣,1995/08,彰化,6.2,0.78,16.3,66.0,28,7,21.22,2.65,0.3,2.35,28.43,-,-
53,彰化縣,1995/08,線西,3.9,-,-,54.0,21,6,14.13,-,-,-,28.12,-,-
54,彰化縣,1995/08,二林,1.3,0.43,19.7,60.0,15,4,11.79,-,-,-,27.64,-,-
55,南投縣,1995/08,南投,2.2,0.56,22.4,49.0,21,5,15.85,-,-,-,27.23,-,-
56,雲林縣,1995/08,斗六,4.9,0.73,19.6,45.0,19,5,14.14,-,-,-,27.53,-,-
57,雲林縣,1995/08,崙背,2.9,0.43,19.3,48.0,19,5,14.17,-,-,-,27.75,-,-
58,雲林縣,1995/08,臺西,1.2,0.27,22.0,42.0,7,1,5.93,-,-,-,27.83,-,-
59,嘉義縣,1995/08,朴子,2.4,0.41,20.4,33.0,14,2,11.64,-,-,-,28.32,-,-
60,嘉義縣,1995/08,新港,1.9,0.45,20.6,57.0,16,4,12.23,-,-,-,27.74,-,-
61,屏東縣,1995/08,屏東,4.9,0.72,20.0,58.0,27,6,21.27,2.49,0.29,2.2,27.52,-,-
62,屏東縣,1995/08,潮州,2.6,0.41,15.2,57.0,16,3,13.88,-,-,-,28.73,-,-
63,屏東縣,1995/08,恆春,0.3,0.05,13.9,-,0,0,0.18,-,-,-,27.14,-,-
64,臺東縣,1995/08,臺東,0.8,0.6,7.7,29.0,12,5,6.81,2.05,0.13,1.92,27.79,-,-
65,花蓮縣,1995/08,花蓮,0.9,0.57,7.4,26.0,16,7,9.06,2.03,0.18,1.85,28.02,-,-
,,,,,,,,,,,,,,,,
