序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2001/01,松山,3.2,0.9,17.2,54.0,-,57,22.4,34.71,-,-,-,17.12,-,-,-
2,臺北市,2001/01,古亭,3.0,0.86,19.0,41.0,20,47,17.84,29.55,2.36,0.34,2.02,17.96,-,-,-
3,臺北市,2001/01,中山,4.6,1.01,16.6,59.0,-,50,19.96,30.44,2.71,0.37,2.34,17.59,-,-,-
4,臺北市,2001/01,大同,5.1,2.83,-,64.0,-,153,105.87,46.88,3.61,1.37,2.24,18.05,-,-,-
5,臺北市,2001/01,萬華,2.8,1.01,19.4,46.0,-,39,10.03,28.93,-,-,-,17.71,-,-,-
6,臺北市,2001/01,陽明,1.1,0.31,-,16.0,-,3,0.48,2.67,-,-,-,12.19,-,-,-
7,臺北市,2001/01,士林,2.1,0.76,22.7,46.0,-,31,9.19,21.46,-,-,-,17.5,-,-,-
8,新北市,2001/01,板橋,5.0,1.01,19.1,52.0,-,44,13.71,30.34,-,-,-,17.18,-,-,-
9,新北市,2001/01,三重,5.0,2.69,-,76.0,24,169,120.11,48.32,3.19,0.9,2.29,17.77,-,-,-
10,新北市,2001/01,菜寮,4.5,0.97,18.3,55.0,-,50,20.08,29.88,-,-,-,17.42,-,-,-
11,新北市,2001/01,永和,4.4,1.39,14.7,55.0,-,70,37.26,32.89,2.86,0.6,2.26,17.84,-,-,-
12,新北市,2001/01,新莊,4.7,0.85,22.8,51.0,-,35,10.19,24.91,2.49,0.48,2.02,17.37,-,-,-
13,新北市,2001/01,新店,2.0,0.46,22.5,36.0,-,26,6.06,19.86,-,-,-,17.58,-,-,-
14,新北市,2001/01,淡水,1.9,0.68,25.8,38.0,-,24,6.11,17.89,-,-,-,16.77,-,-,-
15,新北市,2001/01,汐止,3.3,0.87,16.5,51.0,-,51,20.5,30.58,-,-,-,16.75,-,-,-
16,新北市,2001/01,土城,3.5,0.86,18.0,40.0,-,45,18.07,26.7,-,-,-,17.22,-,-,-
17,新北市,2001/01,林口,2.9,0.4,28.6,48.0,-,22,4.78,17.25,-,-,-,15.43,-,-,-
18,新北市,2001/01,萬里,1.2,0.29,35.4,46.0,-,10,1.34,8.32,2.46,0.06,2.39,17.68,-,-,-
19,臺中市,2001/01,西屯,3.0,0.75,21.3,68.0,-,44,17.74,26.02,2.5,0.29,2.2,15.87,-,-,-
20,臺中市,2001/01,忠明,3.5,1.12,18.3,68.0,39,60,24.94,35.21,-,-,-,17.28,-,-,-
21,臺中市,2001/01,豐原,2.9,0.95,18.2,55.0,-,39,12.53,26.85,-,-,-,16.76,-,-,-
22,臺中市,2001/01,沙鹿,6.2,0.66,19.4,50.0,-,30,8.46,21.86,-,-,-,17.07,-,-,-
23,臺中市,2001/01,大里,3.6,1.12,16.1,-,-,55,21.03,33.8,-,-,-,16.7,-,-,-
24,臺南市,2001/01,新營,3.4,0.62,22.2,65.0,-,35,9.84,25.58,2.51,0.2,2.31,18.34,-,-,-
25,臺南市,2001/01,善化,4.5,0.59,22.5,78.0,-,30,7.46,22.69,-,-,-,18.55,-,-,-
26,臺南市,2001/01,安南,5.5,0.61,23.6,85.0,-,33,9.58,23.28,-,-,-,17.97,-,-,-
27,臺南市,2001/01,臺南,4.9,0.86,19.8,95.0,-,38,9.11,28.7,2.5,0.31,2.19,19.19,-,-,-
28,高雄市,2001/01,左營,7.7,0.93,31.5,98.0,-,37,8.94,28.11,2.53,0.35,2.18,19.63,-,-,-
29,高雄市,2001/01,楠梓,5.7,0.71,30.3,85.0,-,43,11.57,30.96,2.56,0.25,2.3,19.41,-,-,-
30,高雄市,2001/01,前金,8.7,1.07,28.0,132.0,-,44,8.18,35.89,-,-,-,19.35,-,-,-
31,高雄市,2001/01,前鎮,13.0,-,-,98.0,-,64,19.39,44.67,2.61,0.56,2.05,20.3,-,-,-
32,高雄市,2001/01,復興,12.0,1.51,-,123.0,-,81,31.93,48.57,3.08,0.89,2.19,20.11,-,-,-
33,高雄市,2001/01,小港,21.7,1.11,28.0,109.0,-,76,28.88,46.91,2.74,0.58,2.17,20.49,-,-,-
34,高雄市,2001/01,鳳山,15.5,1.08,17.4,121.0,45,60,26.84,33.32,-,-,-,20.6,-,-,-
35,高雄市,2001/01,林園,15.3,0.83,21.6,102.0,50,43,12.55,30.71,3.02,0.65,2.38,20.66,-,-,-
36,高雄市,2001/01,大寮,13.9,0.84,25.6,119.0,-,38,8.68,29.69,2.71,0.37,2.34,20.18,-,-,-
