序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1998/09,松山,3.7,0.97,16.1,35.0,-,51,19.36,31.36,-,-,-,27.48,-,-
2,臺北市,1998/09,古亭,3.0,1.04,16.4,40.0,25,51,22.27,28.96,2.51,0.44,2.07,26.62,-,-
3,臺北市,1998/09,中山,3.7,1.11,17.1,44.0,-,49,19.4,29.94,2.69,0.4,2.28,27.33,-,-
4,臺北市,1998/09,大同,7.2,3.78,-,-,-,153,109.17,43.55,4.31,1.77,2.53,27.88,-,-
5,臺北市,1998/09,萬華,3.3,1.0,20.8,33.0,-,32,8.11,24.37,-,-,-,27.35,-,-
6,臺北市,1998/09,陽明,1.7,0.23,40.2,16.0,-,3,0.34,2.78,-,-,-,20.81,-,-
7,臺北市,1998/09,士林,3.0,0.81,20.5,42.0,-,29,9.72,18.88,-,-,-,26.98,-,-
8,新北市,1998/09,板橋,5.7,1.01,17.3,50.0,-,45,14.75,29.86,2.68,0.57,2.12,27.54,-,-
9,新北市,1998/09,三重,6.4,2.69,-,64.0,39,139,94.42,43.38,-,-,-,27.16,-,-
10,新北市,1998/09,菜寮,4.4,1.13,16.9,49.0,-,43,16.22,26.75,-,-,-,27.06,-,-
11,新北市,1998/09,永和,4.8,1.84,-,60.0,-,67,39.94,27.47,3.0,0.83,2.17,29.73,-,-
12,新北市,1998/09,新莊,4.9,0.83,23.2,42.0,-,31,8.68,23.05,2.62,0.42,2.2,26.23,-,-
13,新北市,1998/09,新店,1.9,0.57,24.7,30.0,-,22,4.98,17.14,-,-,-,26.72,-,-
14,新北市,1998/09,淡水,2.1,0.7,29.1,50.0,-,21,5.21,15.86,-,-,-,26.93,-,-
15,新北市,1998/09,汐止,3.4,0.89,15.3,54.0,-,47,18.54,28.57,-,-,-,26.02,-,-
16,新北市,1998/09,土城,3.6,0.79,19.8,39.0,-,34,11.51,22.64,-,-,-,27.67,-,-
17,新北市,1998/09,林口,3.3,0.34,26.6,33.0,-,22,5.28,16.69,-,-,-,24.7,-,-
18,新北市,1998/09,萬里,1.1,0.29,38.8,39.0,-,7,1.29,5.39,2.07,0.06,2.01,26.93,-,-
19,臺中市,1998/09,西屯,3.7,0.6,26.4,60.0,-,31,11.86,19.42,2.41,0.26,2.15,27.7,-,-
20,臺中市,1998/09,忠明,4.3,1.0,27.1,61.0,46,39,8.4,30.08,-,-,-,28.03,-,-
