序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2006/06,松山,5.4,0.8,414.62,23.6,50,32,47.98,18.13,29.85,-,-,-,27.93,-,-,69.03,-
2,臺北市,2006/06,古亭,4.2,0.83,-,22.4,49,29,41.5,15.63,25.87,2.265,0.327,1.938,27.92,-,-,72.77,-
3,臺北市,2006/06,中山,5.2,1.05,-,17.9,53,32,58.2,24.36,33.84,2.403,0.434,1.969,28.21,-,-,67.86,-
4,臺北市,2006/06,萬華,4.2,0.82,-,24.8,44,30,37.76,13.76,24.0,-,-,-,29.01,-,-,70.32,-
5,臺北市,2006/06,陽明,2.8,0.16,385.35,38.0,18,14,5.8,1.32,4.47,-,-,-,22.04,-,-,-,-
6,臺北市,2006/06,士林,4.4,0.67,-,25.0,52,26,33.37,9.51,23.87,-,-,-,27.96,-,-,71.85,-
7,新北市,2006/06,板橋,6.0,0.83,-,24.0,52,-,39.65,14.05,25.6,2.557,0.533,2.024,27.97,-,-,70.7,-
8,新北市,2006/06,三重,6.0,2.14,-,13.7,67,40,132.44,89.38,43.06,-,-,-,28.93,-,-,-,-
9,新北市,2006/06,菜寮,5.2,0.99,-,17.7,46,24,49.98,19.12,30.86,-,-,-,28.88,-,-,68.53,-
10,新北市,2006/06,永和,4.3,1.35,-,17.9,46,29,59.45,27.38,32.07,-,-,-,29.4,-,-,70.38,-
11,新北市,2006/06,新莊,10.3,0.81,-,24.6,50,32,41.91,15.72,26.18,-,-,-,27.81,-,-,71.14,-
12,新北市,2006/06,新店,3.8,0.47,-,28.1,34,19,21.28,5.06,16.21,-,-,-,27.26,-,-,72.1,-
13,新北市,2006/06,淡水,3.0,0.51,-,24.6,46,22,24.46,6.22,18.27,-,-,-,-,-,-,-,-
14,新北市,2006/06,汐止,5.7,0.62,-,20.6,43,23,39.06,15.19,23.87,-,-,-,27.69,-,-,76.14,-
15,新北市,2006/06,土城,5.8,0.67,-,23.9,49,31,41.42,15.55,25.87,-,-,-,28.19,-,-,73.3,-
16,新北市,2006/06,林口,6.1,0.47,-,22.5,53,26,30.85,8.22,22.63,-,-,-,26.41,-,-,78.75,-
17,新北市,2006/06,萬里,3.1,0.27,-,31.8,29,20,14.12,2.84,11.27,1.684,0.106,1.579,26.95,-,-,75.64,-
18,臺中市,2006/06,西屯,3.8,0.38,-,20.5,37,21,23.24,8.68,14.56,-,-,-,28.1,-,-,73.99,-
19,臺中市,2006/06,忠明,2.7,0.53,-,17.4,35,19,27.48,9.12,18.36,-,-,-,27.61,-,-,74.45,-
20,臺中市,2006/06,豐原,2.7,0.45,-,22.7,36,18,17.37,3.81,13.56,1.992,0.251,1.741,26.43,-,-,75.88,-
21,臺中市,2006/06,沙鹿,3.3,0.3,-,24.5,25,15,16.84,4.33,12.5,-,-,-,27.94,-,-,75.93,-
22,臺中市,2006/06,大里,3.2,0.44,386.16,20.5,37,20,16.75,4.99,11.76,-,-,-,28.1,-,-,72.4,-
23,臺南市,2006/06,新營,3.1,0.27,-,26.0,40,19,11.04,2.54,8.5,2.168,0.1,2.068,27.59,-,-,76.07,-
24,臺南市,2006/06,善化,5.3,0.18,396.49,24.0,41,17,14.18,4.11,10.08,-,-,-,28.06,-,-,79.13,-
25,臺南市,2006/06,安南,4.5,0.35,-,21.2,41,22,15.98,4.64,11.34,-,-,-,28.44,-,-,70.62,-
26,臺南市,2006/06,臺南,4.1,0.36,-,25.1,37,20,17.01,5.11,11.9,1.945,0.235,1.711,28.3,-,-,72.89,-
27,高雄市,2006/06,左營,6.9,0.46,-,16.3,37,20,21.83,8.45,13.38,-,-,-,27.95,-,-,74.1,-
28,高雄市,2006/06,楠梓,6.3,0.4,-,19.8,42,20,23.48,10.52,12.95,1.92,0.237,1.692,29.24,-,-,69.27,-
29,高雄市,2006/06,前金,9.0,0.45,-,20.9,39,21,23.94,9.74,14.2,-,-,-,30.26,-,-,68.88,-
30,高雄市,2006/06,前鎮,10.5,0.43,-,14.4,47,22,26.9,10.91,15.98,-,-,-,29.19,-,-,70.36,-
31,高雄市,2006/06,復興,9.3,0.65,-,14.9,37,17,32.83,14.63,18.2,-,-,-,28.99,-,-,69.9,-
32,高雄市,2006/06,小港,15.1,0.37,-,13.3,45,22,25.56,10.98,14.57,1.951,0.254,1.697,29.85,-,-,70.75,-
33,高雄市,2006/06,鳳山,6.1,0.61,-,19.2,46,21,23.19,7.53,15.66,-,-,-,29.51,-,-,74.46,-
34,高雄市,2006/06,林園,3.7,0.23,-,19.7,45,18,10.66,3.91,6.75,2.012,0.247,1.788,28.5,-,-,74.24,-
35,高雄市,2006/06,大寮,5.2,0.31,-,20.7,60,20,15.36,5.44,9.92,-,-,-,28.76,-,-,74.94,-
36,高雄市,2006/06,仁武,6.7,0.43,-,14.0,36,23,19.24,6.88,12.36,2.154,0.241,1.918,29.75,-,-,71.07,-
37,高雄市,2006/06,橋頭,4.4,0.28,-,20.4,31,17,18.0,6.44,11.56,-,-,-,29.33,-,-,77.42,-
38,高雄市,2006/06,美濃,1.8,0.2,-,25.4,31,12,7.54,1.68,5.85,-,-,-,28.47,-,-,74.2,-
39,基隆市,2006/06,基隆,6.9,0.57,-,23.1,35,-,30.4,8.78,21.62,2.092,0.202,1.89,27.58,-,-,73.16,-
40,新竹市,2006/06,新竹,3.3,0.45,-,22.3,32,18,21.94,6.2,15.74,2.259,0.311,1.948,28.21,-,-,70.82,-
41,嘉義市,2006/06,嘉義,2.4,0.29,-,25.8,38,21,11.99,2.68,9.31,2.099,0.123,1.976,27.29,-,-,74.09,-
42,宜蘭縣,2006/06,宜蘭,2.8,0.41,412.83,19.7,38,19,14.57,3.35,11.21,-,-,-,26.82,-,-,80.65,-
43,宜蘭縣,2006/06,冬山,3.0,0.51,-,18.9,44,17,23.17,9.02,14.15,2.033,0.128,1.906,27.36,-,-,77.85,-
44,桃園市,2006/06,桃園,11.1,0.62,-,26.5,54,31,34.42,9.88,24.54,2.354,0.362,1.992,28.12,-,-,71.43,-
45,桃園市,2006/06,中壢,6.7,1.26,-,15.6,55,30,56.63,28.93,27.71,-,-,-,27.44,-,-,71.19,-
46,桃園市,2006/06,大園,5.1,0.33,-,26.3,43,29,21.05,5.44,15.61,-,-,-,27.32,-,-,71.87,-
47,桃園市,2006/06,龍潭,3.2,0.38,-,23.5,45,19,24.72,7.92,16.8,-,-,-,26.18,-,-,72.51,-
48,桃園市,2006/06,平鎮,5.5,0.43,-,26.0,48,27,25.0,6.4,18.61,-,-,-,26.99,-,-,70.42,-
