序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2002/09,松山,2.0,0.68,364.05,23.0,39,-,30.0,8.93,21.07,-,-,-,26.53,-,-,-
2,臺北市,2002/09,古亭,1.9,0.77,-,22.9,33,23,35.02,11.54,23.48,2.417,0.4,2.02,26.84,-,-,-
3,臺北市,2002/09,中山,2.5,0.65,-,21.4,53,-,38.51,11.91,26.6,2.455,0.28,2.18,27.5,-,-,-
4,臺北市,2002/09,大同,6.5,2.94,-,-,67,-,132.62,90.06,42.56,3.586,1.39,2.2,28.32,-,-,-
5,臺北市,2002/09,萬華,1.9,0.77,-,25.5,38,-,25.9,4.06,21.86,-,-,-,27.02,-,-,-
6,臺北市,2002/09,陽明,1.0,0.24,357.23,45.5,22,-,2.82,0.26,2.56,-,-,-,20.73,-,-,-
7,臺北市,2002/09,士林,1.8,0.61,-,29.9,34,-,28.16,5.64,22.34,-,-,-,26.57,-,-,-
8,新北市,2002/09,板橋,3.3,0.77,-,24.3,35,-,28.18,6.45,21.73,2.315,0.36,1.95,27.89,-,-,-
9,新北市,2002/09,三重,5.6,2.42,-,-,55,22,120.03,78.24,41.79,2.855,0.66,2.2,28.26,-,-,-
10,新北市,2002/09,菜寮,3.1,0.87,-,25.0,47,-,36.68,9.85,26.83,-,-,-,27.54,-,-,-
11,新北市,2002/09,永和,3.3,1.35,-,19.4,38,-,45.89,20.57,25.31,2.59,0.57,2.02,27.42,-,-,-
12,新北市,2002/09,新莊,4.5,0.66,-,28.3,47,-,25.97,6.07,19.9,2.261,0.41,1.86,26.92,-,-,-
13,新北市,2002/09,新店,0.9,0.5,-,26.3,34,-,15.85,2.08,13.77,-,-,-,27.17,-,-,-
14,新北市,2002/09,淡水,1.5,0.47,-,33.0,33,-,17.24,3.04,14.2,-,-,-,27.05,-,-,-
15,新北市,2002/09,汐止,2.5,0.52,-,26.5,38,-,25.35,6.93,18.42,-,-,-,26.68,-,-,-
16,新北市,2002/09,土城,2.7,0.69,-,24.8,33,-,28.3,8.47,19.86,-,-,-,27.93,-,-,-
17,新北市,2002/09,林口,3.1,0.53,-,31.8,42,-,20.84,3.34,17.5,-,-,-,26.17,-,-,-
18,新北市,2002/09,萬里,0.8,-,-,35.9,36,-,6.57,1.19,5.38,2.011,0.03,1.99,26.53,-,-,-
19,臺中市,2002/09,西屯,2.3,0.53,-,29.7,52,-,23.04,5.51,17.53,2.224,0.23,1.99,27.14,-,-,-
20,臺中市,2002/09,忠明,2.6,0.74,-,27.7,46,35,30.0,4.83,25.18,-,-,-,27.87,-,-,-
21,臺中市,2002/09,豐原,2.3,0.78,-,30.5,45,-,23.1,2.84,20.25,-,-,-,26.17,-,-,-
22,臺中市,2002/09,沙鹿,3.4,0.55,-,28.6,37,-,20.35,2.74,17.62,-,-,-,27.36,-,-,-
