序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,1998/12,松山,3.2,0.64,16.9,38.0,-,46,15.68,30.81,-,-,-,19.84,-,-,-
2,臺北市,1998/12,古亭,2.4,0.82,17.7,36.0,17,44,15.95,27.91,2.16,0.3,1.87,18.87,-,-,-
3,臺北市,1998/12,中山,2.7,0.9,17.4,39.0,-,46,15.89,30.17,2.2,0.28,1.92,19.86,-,-,-
4,臺北市,1998/12,大同,4.5,3.76,-,-,-,198,151.11,46.98,4.38,2.0,2.37,20.18,-,-,-
5,臺北市,1998/12,萬華,2.4,0.9,16.4,34.0,-,37,8.69,28.48,-,-,-,19.95,-,-,-
6,臺北市,1998/12,陽明,0.6,0.16,43.2,16.0,-,2,0.19,1.47,-,-,-,13.18,-,-,-
7,臺北市,1998/12,士林,1.4,0.37,25.5,29.0,-,24,7.14,17.09,-,-,-,19.86,-,-,-
8,新北市,1998/12,板橋,3.4,0.81,14.9,49.0,-,43,12.58,30.18,2.42,0.4,2.02,19.75,-,-,-
9,新北市,1998/12,三重,3.4,2.49,-,60.0,20,136,92.28,43.3,3.56,1.34,2.22,19.6,-,-,-
10,新北市,1998/12,菜寮,2.5,0.93,16.4,44.0,-,41,12.6,27.82,-,-,-,19.85,-,-,-
11,新北市,1998/12,永和,3.1,1.1,-,46.0,-,60,32.32,27.79,2.6,0.52,2.08,22.45,-,-,-
12,新北市,1998/12,新莊,2.8,0.55,19.2,35.0,-,31,5.91,24.63,2.3,0.31,1.99,19.91,-,-,-
13,新北市,1998/12,新店,1.2,0.52,24.4,31.0,-,22,3.43,18.16,-,-,-,19.3,-,-,-
14,新北市,1998/12,淡水,0.8,0.54,32.6,37.0,-,16,4.41,11.74,-,-,-,18.89,-,-,-
15,新北市,1998/12,汐止,3.0,0.7,17.6,42.0,-,45,15.99,28.92,-,-,-,18.52,-,-,-
16,新北市,1998/12,土城,1.6,0.62,19.4,33.0,-,30,6.11,23.85,-,-,-,19.75,-,-,-
17,新北市,1998/12,林口,1.9,0.35,28.0,31.0,-,19,2.56,16.24,-,-,-,16.83,-,-,-
18,新北市,1998/12,萬里,0.7,0.19,43.2,53.0,-,5,0.62,3.99,2.0,0.02,1.99,19.28,-,-,-
19,臺中市,1998/12,西屯,2.8,0.58,17.9,57.0,-,29,8.06,21.31,2.26,0.25,2.02,19.96,-,-,-
20,臺中市,1998/12,忠明,3.2,0.83,14.9,61.0,39,48,15.14,32.42,-,-,-,-,-,-,-
21,臺中市,1998/12,豐原,2.5,0.79,16.3,47.0,-,38,10.85,26.74,-,-,-,18.82,-,-,-
22,臺中市,1998/12,沙鹿,5.7,0.58,20.8,50.0,-,24,4.08,20.31,-,-,-,20.17,-,-,-
23,臺中市,1998/12,大里,3.2,0.84,13.6,72.0,-,48,15.66,32.15,-,-,-,20.14,-,-,-
24,臺南市,1998/12,新營,4.0,0.54,16.9,66.0,-,35,9.21,26.15,2.65,0.28,2.39,20.11,-,-,-
25,臺南市,1998/12,善化,4.7,0.55,18.7,78.0,-,29,7.36,21.94,-,-,-,20.52,-,-,-
26,臺南市,1998/12,安南,5.8,0.58,20.4,75.0,-,37,10.14,26.87,-,-,-,19.97,-,-,-
27,臺南市,1998/12,臺南,6.4,1.02,15.1,106.0,-,47,15.07,31.64,2.74,0.5,2.25,19.82,-,-,-
28,高雄市,1998/12,左營,7.7,0.9,23.4,107.0,-,45,13.47,31.4,2.71,0.41,2.29,21.09,-,-,-
29,高雄市,1998/12,楠梓,4.7,0.67,21.2,110.0,-,46,14.16,32.0,2.68,0.32,2.36,20.96,-,-,-
30,高雄市,1998/12,前金,13.6,1.02,21.6,110.0,-,50,15.93,33.89,-,-,-,21.13,-,-,-
31,高雄市,1998/12,前鎮,14.5,-,-,127.0,-,80,32.71,47.44,3.29,0.67,2.62,21.93,-,-,-
32,高雄市,1998/12,復興,14.9,1.75,-,148.0,-,75,35.58,39.78,3.53,1.14,2.38,21.79,-,-,-
33,高雄市,1998/12,小港,25.6,1.15,20.6,134.0,-,91,41.53,49.11,3.24,0.76,2.49,22.37,-,-,-
34,高雄市,1998/12,鳳山,23.0,1.22,15.8,147.0,82,82,36.39,45.61,-,-,-,21.9,-,-,-
35,高雄市,1998/12,林園,24.7,0.86,26.9,126.0,73,53,18.4,35.3,3.01,0.67,2.33,22.7,-,-,-
36,高雄市,1998/12,大寮,15.5,0.9,24.4,138.0,-,51,11.96,39.38,2.78,0.56,2.25,22.34,-,-,-
37,高雄市,1998/12,仁武,18.5,0.83,22.0,112.0,-,58,21.15,36.6,3.07,0.59,2.48,21.37,-,-,-
38,高雄市,1998/12,橋頭,6.1,0.75,18.3,93.0,-,45,13.57,31.37,2.84,0.25,2.6,20.5,-,-,-
39,高雄市,1998/12,美濃,2.8,0.67,29.0,131.0,-,24,3.23,20.37,-,-,-,21.57,-,-,-
40,基隆市,1998/12,基隆,3.9,0.63,27.9,48.0,-,29,7.91,20.96,2.37,0.21,2.16,19.03,-,-,-
41,新竹市,1998/12,新竹,4.0,0.55,25.5,41.0,-,28,5.51,22.69,2.31,0.2,2.1,19.73,-,-,-
42,嘉義市,1998/12,嘉義,6.2,0.89,14.6,102.0,-,55,17.64,37.12,2.7,0.48,2.21,19.93,-,-,-
43,宜蘭縣,1998/12,宜蘭,1.1,0.57,22.9,32.0,-,18,3.25,14.3,-,-,-,18.45,-,-,-
44,宜蘭縣,1998/12,冬山,0.7,0.45,17.6,36.0,-,27,8.78,17.95,2.4,0.22,2.18,18.65,-,-,-
45,桃園市,1998/12,桃園,5.5,0.42,24.8,39.0,-,30,5.88,24.12,2.37,0.25,2.12,18.55,-,-,-
46,桃園市,1998/12,中壢,5.5,0.88,-,39.0,-,64,25.85,38.58,-,-,-,17.79,-,-,-
47,桃園市,1998/12,大園,2.1,0.34,31.3,31.0,-,16,2.5,13.28,-,-,-,18.72,-,-,-
48,桃園市,1998/12,龍潭,2.2,0.36,24.6,38.0,-,24,5.11,18.72,-,-,-,17.71,-,-,-
49,桃園市,1998/12,平鎮,4.5,0.72,25.3,35.0,-,33,7.92,25.29,2.35,0.29,2.06,18.63,-,-,-
50,桃園市,1998/12,觀音,4.1,0.24,32.6,59.0,-,14,2.11,11.63,2.45,0.13,2.32,18.93,-,-,-
51,新竹縣,1998/12,竹東,1.0,0.3,24.9,40.0,-,19,4.41,14.43,-,-,-,19.37,-,-,-
52,新竹縣,1998/12,湖口,2.3,0.41,26.3,40.0,-,19,2.62,15.91,-,-,-,18.91,-,-,-
53,苗栗縣,1998/12,苗栗,3.8,0.62,19.8,64.0,-,33,10.68,22.01,-,-,-,19.32,-,-,-
54,苗栗縣,1998/12,頭份,19.0,-,-,49.0,-,29,10.2,19.28,2.19,0.15,2.04,19.31,-,-,-
55,苗栗縣,1998/12,三義,1.7,0.34,18.6,49.0,-,23,3.85,19.31,2.32,0.08,2.23,17.09,-,-,-
56,彰化縣,1998/12,彰化,4.9,0.81,15.5,75.0,-,47,17.15,29.86,2.59,0.35,2.23,19.85,-,-,-
57,彰化縣,1998/12,線西,6.1,-,-,48.0,-,28,5.73,22.59,2.09,0.08,2.01,19.49,-,-,-
58,彰化縣,1998/12,二林,5.8,0.37,27.1,73.0,-,21,2.44,18.87,-,-,-,19.8,-,-,-
59,南投縣,1998/12,南投,2.4,0.85,15.5,83.0,-,45,14.31,30.71,2.73,0.49,2.24,20.17,-,-,-
60,南投縣,1998/12,埔里,2.3,0.89,20.2,128.0,-,19,3.69,15.55,-,-,-,18.56,-,-,-
61,南投縣,1998/12,竹山,1.8,0.7,16.9,98.0,-,38,10.18,27.32,-,-,-,19.28,-,-,-
62,雲林縣,1998/12,斗六,5.1,0.8,12.7,88.0,-,37,12.02,25.34,-,-,-,19.95,-,-,-
63,雲林縣,1998/12,崙背,4.7,0.3,21.6,90.0,-,23,3.12,20.37,1.84,0.09,1.74,19.46,-,-,-
