序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1996/02,松山,5.8,1.03,17.8,49.0,52,19,32.73,-,-,-,14.84,-,-
2,臺北市,1996/02,古亭,4.3,1.03,21.0,53.0,53,22,31.15,2.4,0.38,2.02,15.16,-,-
3,臺北市,1996/02,中山,5.8,1.34,17.1,49.0,66,29,37.57,2.64,0.45,2.19,15.17,-,-
4,臺北市,1996/02,大同,10.9,4.48,-,57.0,245,186,59.3,4.27,1.96,2.31,15.63,-,-
5,臺北市,1996/02,萬華,4.9,1.07,19.5,43.0,44,11,32.89,-,-,-,15.09,-,-
6,臺北市,1996/02,陽明,2.3,0.26,46.6,-,3,1,2.73,-,-,-,8.57,-,-
7,臺北市,1996/02,士林,3.2,0.65,26.1,38.0,27,9,18.03,-,-,-,14.48,-,-
8,新北市,1996/02,板橋,7.2,0.98,18.8,60.0,47,16,31.74,2.76,0.52,2.25,15.08,-,-
9,新北市,1996/02,三重,6.5,2.69,-,70.0,155,109,46.57,-,-,-,15.74,-,-
10,新北市,1996/02,菜寮,5.9,1.21,16.3,52.0,52,20,31.46,-,-,-,15.19,-,-
11,新北市,1996/02,新莊,7.2,0.73,24.8,42.0,46,22,24.0,3.04,0.54,2.49,15.04,-,-
12,新北市,1996/02,新店,2.9,0.69,28.2,39.0,23,4,18.94,-,-,-,14.88,-,-
13,新北市,1996/02,淡水,2.5,0.71,29.6,44.0,23,7,16.12,-,-,-,14.44,-,-
14,新北市,1996/02,汐止,6.8,0.85,19.5,56.0,55,23,31.59,-,-,-,13.99,-,-
15,新北市,1996/02,土城,5.7,0.83,20.6,46.0,36,11,24.89,-,-,-,14.97,-,-
16,新北市,1996/02,林口,3.8,0.29,36.1,43.0,18,3,14.73,-,-,-,12.85,-,-
17,新北市,1996/02,萬里,1.8,0.25,41.8,46.0,7,1,5.77,2.81,0.13,2.69,14.5,-,-
18,臺中市,1996/02,西屯,4.1,0.47,26.4,55.0,25,6,18.53,2.07,0.19,1.88,15.41,-,-
19,臺中市,1996/02,忠明,4.3,0.79,23.5,59.0,41,12,28.5,-,-,-,15.42,-,-
20,臺中市,1996/02,豐原,5.3,0.72,20.4,55.0,31,7,24.33,-,-,-,14.38,-,-
21,臺中市,1996/02,沙鹿,6.5,0.49,26.5,73.0,26,5,20.69,-,-,-,15.78,-,-
22,臺中市,1996/02,大里,2.3,0.71,19.7,58.0,33,7,26.09,-,-,-,16.39,-,-
23,臺南市,1996/02,新營,4.7,0.56,24.2,72.0,26,4,21.39,-,-,-,16.47,-,-
24,臺南市,1996/02,善化,4.9,0.47,24.2,74.0,22,3,19.05,-,-,-,16.38,-,-
25,臺南市,1996/02,安南,6.0,0.53,27.8,83.0,29,7,21.64,-,-,-,16.64,-,-
26,臺南市,1996/02,臺南,7.3,0.76,19.6,95.0,36,9,26.98,2.49,0.29,2.2,16.97,-,-
27,高雄市,1996/02,左營,8.3,0.67,25.3,79.0,37,10,27.29,3.06,0.34,2.71,17.43,-,-
28,高雄市,1996/02,楠梓,6.5,0.54,20.5,99.0,43,12,30.92,2.38,0.21,2.17,18.38,-,-
29,高雄市,1996/02,前金,11.9,0.87,22.0,106.0,42,11,30.25,-,-,-,17.86,-,-
30,高雄市,1996/02,前鎮,13.9,-,-,98.0,58,22,36.31,2.43,0.4,2.04,18.07,-,-
31,高雄市,1996/02,小港,23.1,0.99,17.7,92.0,74,31,42.47,2.28,0.41,1.87,20.11,-,-
32,高雄市,1996/02,鳳山,25.4,0.99,18.6,115.0,68,26,41.57,-,-,-,18.61,-,-
33,高雄市,1996/02,林園,27.4,0.7,26.0,119.0,42,14,28.23,2.68,0.56,2.12,19.07,-,-
34,高雄市,1996/02,大寮,18.9,0.8,26.7,118.0,38,8,30.14,-,-,-,18.43,-,-
35,高雄市,1996/02,仁武,25.5,0.8,18.7,95.0,51,18,33.97,2.82,0.52,2.3,18.0,-,-
36,高雄市,1996/02,橋頭,6.7,0.63,21.9,84.0,36,10,25.92,2.25,0.16,2.1,17.86,-,-
37,高雄市,1996/02,美濃,3.3,0.55,30.7,96.0,22,2,19.88,-,-,-,17.83,-,-
38,基隆市,1996/02,基隆,8.5,0.77,27.7,51.0,34,11,23.57,2.43,0.4,2.04,14.46,-,-
39,新竹市,1996/02,新竹,3.9,0.66,22.6,50.0,31,9,21.34,2.97,0.32,2.65,13.88,-,-
40,嘉義市,1996/02,嘉義,6.5,0.87,19.2,83.0,43,11,31.92,2.57,0.44,2.12,16.19,-,-
41,宜蘭縣,1996/02,宜蘭,2.0,0.6,28.6,38.0,18,3,15.1,-,-,-,15.23,-,-
42,宜蘭縣,1996/02,冬山,1.3,-,-,44.0,21,6,15.16,2.25,0.17,2.08,14.85,-,-
43,桃園市,1996/02,桃園,9.5,0.64,23.7,47.0,33,9,23.96,2.5,0.3,2.2,14.1,-,-
44,桃園市,1996/02,中壢,7.1,1.07,-,57.0,70,31,39.32,-,-,-,13.37,-,-
45,桃園市,1996/02,大園,3.5,0.45,39.4,40.0,11,3,8.67,-,-,-,14.16,-,-
46,桃園市,1996/02,龍潭,4.4,0.53,29.5,46.0,24,6,18.25,-,-,-,13.18,-,-
47,桃園市,1996/02,平鎮,4.8,0.68,25.3,38.0,27,6,21.62,2.26,0.44,1.82,15.61,-,-
48,桃園市,1996/02,觀音,6.5,0.25,40.0,55.0,10,1,9.12,2.1,0.15,1.96,13.91,-,-
49,新竹縣,1996/02,竹東,2.7,0.47,28.3,50.0,24,5,19.05,-,-,-,14.25,-,-
50,新竹縣,1996/02,湖口,3.4,0.41,33.8,44.0,17,4,13.67,-,-,-,14.2,-,-
51,苗栗縣,1996/02,苗栗,5.3,0.52,18.5,52.0,31,9,22.49,-,-,-,14.29,-,-
52,苗栗縣,1996/02,頭份,66.1,-,-,59.0,48,22,26.68,1.59,0.19,1.47,14.52,-,-
53,苗栗縣,1996/02,三義,1.8,0.38,24.9,44.0,22,3,19.27,2.26,0.12,2.14,12.0,-,-
54,彰化縣,1996/02,彰化,5.7,0.78,20.1,85.0,41,12,28.22,2.55,0.27,2.27,15.77,-,-
55,彰化縣,1996/02,線西,7.8,-,-,57.0,29,10,18.23,1.98,-,1.86,14.92,-,-
56,彰化縣,1996/02,二林,6.5,0.44,30.8,67.0,19,3,16.17,-,-,-,15.01,-,-
57,南投縣,1996/02,南投,2.4,0.7,21.7,55.0,33,7,25.41,-,-,-,15.85,-,-
58,南投縣,1996/02,竹山,3.4,-,20.1,92.0,32,5,27.51,-,-,-,15.28,-,-
59,雲林縣,1996/02,斗六,4.5,0.87,19.0,70.0,30,8,22.17,-,-,-,15.91,-,-
60,雲林縣,1996/02,崙背,5.1,0.47,24.0,78.0,27,5,21.81,-,-,-,15.08,-,-
61,雲林縣,1996/02,臺西,3.7,0.28,33.0,61.0,11,2,9.56,-,-,-,15.11,-,-
62,嘉義縣,1996/02,朴子,5.0,0.36,19.5,49.0,20,3,17.27,-,-,-,15.73,-,-
63,嘉義縣,1996/02,新港,4.2,-,26.7,80.0,-,-,-,-,-,-,15.34,-,-
64,屏東縣,1996/02,屏東,5.6,0.8,28.1,101.0,34,4,30.09,2.84,0.37,2.47,18.37,-,-
65,屏東縣,1996/02,潮州,7.3,0.65,30.5,119.0,31,5,25.96,-,-,-,19.52,-,-
66,屏東縣,1996/02,恆春,0.3,0.15,42.7,25.0,0,0,0.41,-,-,-,19.56,-,-
67,臺東縣,1996/02,臺東,0.7,0.47,30.5,44.0,12,2,9.72,2.05,0.12,1.94,19.15,-,-
68,花蓮縣,1996/02,花蓮,1.9,0.67,24.5,40.0,22,6,16.18,2.22,0.2,2.02,17.65,-,-
,,,,,,,,,,,,,,,,
