序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1993/09,松山,9.0,1.03,14.3,69.0,53,22,30.34,-,-,-,27.25,-,-
2,臺北市,1993/09,古亭,5.0,1.39,15.2,61.0,54,27,28.02,2.32,0.37,1.95,26.1,-,-
3,臺北市,1993/09,中山,8.1,1.36,11.3,63.0,60,27,34.31,2.31,0.36,1.95,28.14,-,-
4,臺北市,1993/09,大同,20.8,5.84,-,103.0,240,192,50.98,4.36,2.53,1.83,28.99,-,-
5,臺北市,1993/09,萬華,6.0,1.14,15.1,44.0,33,9,24.41,-,-,-,25.66,-,-
6,臺北市,1993/09,陽明,3.4,0.25,39.1,29.0,4,1,-,-,-,-,21.07,-,-
7,臺北市,1993/09,士林,4.6,0.81,18.0,58.0,29,10,18.78,-,-,-,27.65,-,-
8,新北市,1993/09,板橋,11.0,1.07,17.6,74.0,41,12,30.04,2.56,0.53,2.03,28.53,-,-
9,新北市,1993/09,菜寮,12.4,1.18,14.1,131.0,44,17,26.93,-,-,-,28.1,-,-
10,新北市,1993/09,新莊,10.9,0.94,17.7,63.0,35,10,24.73,2.6,0.54,2.07,27.49,-,-
11,新北市,1993/09,新店,3.5,0.62,19.3,38.0,20,3,16.64,-,-,-,27.33,-,-
12,新北市,1993/09,淡水,4.6,0.82,25.3,76.0,24,6,18.55,-,-,-,28.17,-,-
13,新北市,1993/09,汐止,6.3,0.84,13.0,71.0,52,26,28.9,-,-,-,26.44,-,-
14,新北市,1993/09,土城,6.6,0.73,21.5,59.0,29,9,21.75,-,-,-,27.45,-,-
