序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2004/03,松山,2.6,0.72,416.31,25.6,51,-,43.44,11.21,32.24,-,-,-,17.16,-,-,-,-
2,臺北市,2004/03,古亭,1.8,0.84,-,22.6,51,-,44.15,10.75,33.39,3.514,0.735,2.778,17.16,-,-,75.32,-
3,臺北市,2004/03,中山,2.5,0.75,-,21.9,45,-,54.69,17.02,37.73,2.809,0.752,2.057,20.08,-,-,75.69,-
4,臺北市,2004/03,大同,3.8,0.68,-,-,49,-,74.5,34.23,40.27,2.939,0.598,2.341,18.12,-,-,-,-
5,臺北市,2004/03,萬華,1.9,0.77,-,29.2,44,27,34.91,6.21,28.71,-,-,-,18.36,-,-,77.34,-
6,臺北市,2004/03,陽明,0.9,0.24,382.21,56.5,25,-,2.72,0.28,2.37,-,-,-,12.49,-,-,-,-
7,臺北市,2004/03,士林,1.4,0.52,-,31.5,43,-,25.14,4.42,20.72,-,-,-,17.45,-,-,77.84,-
8,新北市,2004/03,板橋,3.7,0.73,-,28.3,58,-,39.49,8.83,30.66,2.848,0.471,2.379,17.41,-,-,78.09,-
9,新北市,2004/03,三重,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,新北市,2004/03,菜寮,2.3,0.77,-,25.2,47,-,40.75,10.3,30.45,-,-,-,17.97,-,-,76.5,-
11,新北市,2004/03,永和,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,新北市,2004/03,新莊,3.5,0.76,-,31.1,50,-,34.22,7.04,27.19,2.883,0.538,2.345,-,-,-,-,-
13,新北市,2004/03,新店,1.1,0.54,-,33.5,38,-,22.3,2.73,19.59,-,-,-,18.31,-,-,-,-
14,新北市,2004/03,淡水,1.4,0.6,-,40.1,37,-,19.11,3.69,15.41,-,-,-,17.99,-,-,-,-
15,新北市,2004/03,汐止,2.8,0.58,-,28.5,45,-,33.15,9.08,24.06,-,-,-,17.07,-,-,-,-
16,新北市,2004/03,土城,3.1,0.73,-,27.8,47,-,36.92,9.16,27.78,-,-,-,18.06,-,-,-,-
17,新北市,2004/03,林口,1.9,0.4,-,40.5,43,-,24.02,-,20.01,-,-,-,15.93,-,-,83.94,-
18,新北市,2004/03,萬里,1.0,0.25,-,45.3,51,-,6.53,0.65,5.88,2.069,0.086,1.983,18.08,-,-,83.32,-
19,臺中市,2004/03,西屯,2.3,0.61,-,30.3,69,-,27.51,4.89,22.67,2.623,0.387,2.236,19.19,-,-,72.68,-
20,臺中市,2004/03,忠明,2.8,0.73,-,21.3,63,41,34.19,6.93,27.53,-,-,-,18.46,-,-,-,-
21,臺中市,2004/03,豐原,3.2,0.61,-,23.2,52,-,26.34,4.39,21.95,-,-,-,17.94,-,-,76.73,-
22,臺中市,2004/03,沙鹿,5.1,0.56,-,27.4,62,-,27.02,3.93,23.1,-,-,-,18.55,-,-,-,-
23,臺中市,2004/03,大里,2.9,0.86,430.85,24.4,70,-,41.7,8.33,33.38,-,-,-,18.69,-,-,70.3,-
24,臺南市,2004/03,新營,3.6,0.56,-,27.6,95,-,27.59,3.97,23.65,2.788,0.326,2.462,20.14,-,-,-,-
25,臺南市,2004/03,善化,3.6,0.47,-,27.6,87,-,29.5,7.99,21.5,-,-,-,20.55,-,-,-,-
26,臺南市,2004/03,安南,3.4,0.51,-,31.2,77,-,27.55,4.47,23.13,-,-,-,21.0,-,-,-,-
27,臺南市,2004/03,臺南,3.5,0.74,-,33.2,77,-,26.06,3.45,22.68,2.654,0.377,2.276,20.34,-,-,-,-
28,高雄市,2004/03,左營,6.5,0.69,-,34.2,97,-,39.36,7.43,31.94,2.519,0.357,2.162,21.83,-,-,73.28,-
29,高雄市,2004/03,楠梓,4.7,0.63,-,22.3,101,-,35.4,7.07,28.41,2.453,0.357,2.096,21.76,-,-,71.71,-
30,高雄市,2004/03,前金,6.5,0.83,-,31.1,98,-,34.21,4.9,29.36,-,-,-,-,-,-,-,-
31,高雄市,2004/03,前鎮,8.4,-,-,-,102,-,52.84,15.67,37.17,2.927,0.508,2.419,22.77,-,-,-,-
32,高雄市,2004/03,復興,10.4,1.26,-,-,-,-,53.52,16.71,36.81,2.883,0.526,2.358,23.09,-,-,-,-
33,高雄市,2004/03,小港,13.9,0.81,-,23.9,95,-,56.94,18.56,38.38,2.942,0.641,2.302,22.58,-,-,72.45,-
34,高雄市,2004/03,鳳山,12.2,0.88,-,18.7,137,106,48.27,16.17,31.98,-,-,-,21.35,-,-,71.08,-
35,高雄市,2004/03,林園,13.8,0.59,-,31.7,113,68,38.55,9.19,29.38,-,-,-,23.02,-,-,78.26,-
36,高雄市,2004/03,大寮,10.1,0.65,-,25.9,117,-,43.97,9.95,34.02,2.937,0.267,2.67,22.68,-,-,71.87,-
37,高雄市,2004/03,仁武,11.5,0.63,-,20.8,112,-,50.36,12.77,37.59,2.456,0.388,2.068,21.02,-,-,71.49,-
38,高雄市,2004/03,橋頭,5.6,0.62,-,26.4,86,69,47.81,6.67,41.14,3.241,0.487,2.755,21.0,-,-,72.05,-
39,高雄市,2004/03,美濃,2.5,0.62,-,34.8,80,-,18.45,1.77,16.74,-,-,-,22.63,-,-,-,-
40,基隆市,2004/03,基隆,3.5,0.51,-,32.6,46,-,30.05,6.62,23.43,2.498,0.388,2.11,17.21,-,-,-,-
41,新竹市,2004/03,新竹,3.3,0.49,-,30.3,-,-,25.32,3.87,21.45,2.925,0.254,2.671,17.61,-,-,-,-
42,嘉義市,2004/03,嘉義,3.5,0.6,-,26.5,90,-,38.23,5.6,32.64,2.544,0.547,1.997,19.8,-,-,75.13,-
43,宜蘭縣,2004/03,宜蘭,0.7,0.58,384.12,36.5,34,-,14.38,1.27,13.14,-,-,-,19.01,-,-,-,-
44,宜蘭縣,2004/03,冬山,1.2,0.63,-,32.5,38,-,21.21,4.42,16.8,2.523,0.327,2.197,18.4,-,-,78.74,-
45,桃園市,2004/03,桃園,6.9,0.6,-,27.1,58,-,30.78,6.42,24.38,2.882,0.457,2.425,18.87,-,-,80.33,-
46,桃園市,2004/03,中壢,3.1,0.98,-,-,-,-,53.92,18.99,34.93,2.571,0.489,2.082,16.7,-,-,-,-
47,桃園市,2004/03,大園,3.7,0.41,-,36.3,52,-,23.76,4.04,19.74,-,-,-,17.61,-,-,80.43,-
48,桃園市,2004/03,龍潭,2.8,0.49,-,27.2,42,-,28.67,4.63,24.06,-,-,-,16.03,-,-,82.92,-
49,桃園市,2004/03,平鎮,3.8,0.68,-,29.7,49,-,33.27,5.3,27.98,2.647,0.304,2.343,17.09,-,-,-,-
50,桃園市,2004/03,觀音,6.8,0.32,-,38.9,53,-,21.59,3.39,18.21,2.965,0.695,2.271,16.94,-,-,73.12,-
51,新竹縣,2004/03,竹東,1.5,0.4,-,28.6,47,-,22.57,2.9,19.67,-,-,-,17.69,-,-,78.89,-
52,新竹縣,2004/03,湖口,2.0,0.42,-,33.6,48,-,18.82,2.21,16.57,-,-,-,16.27,-,-,79.59,-
