序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2005/08,松山,4.8,0.56,392.01,23.6,47,27,32.61,11.8,20.81,-,-,-,29.73,-,-,69.41,-
2,臺北市,2005/08,古亭,4.1,0.71,-,19.8,50,30,36.8,14.11,22.68,2.354,0.315,2.039,28.84,-,-,75.21,-
3,臺北市,2005/08,中山,5.0,0.87,-,14.9,47,30,45.97,20.39,25.59,2.25,0.592,1.658,29.57,-,-,68.48,-
4,臺北市,2005/08,大同,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,臺北市,2005/08,萬華,3.8,0.63,-,21.4,45,28,28.39,9.46,18.93,-,-,-,30.73,-,-,70.87,-
6,臺北市,2005/08,陽明,3.0,0.16,381.15,37.1,22,18,4.9,1.26,3.63,-,-,-,22.62,-,-,-,-
7,臺北市,2005/08,士林,3.6,0.42,-,19.6,41,25,21.76,6.87,14.89,-,-,-,29.55,-,-,70.77,-
8,新北市,2005/08,板橋,5.1,0.63,-,23.2,51,29,30.58,11.08,19.5,2.34,0.37,1.97,29.19,-,-,71.69,-
9,新北市,2005/08,三重,5.2,1.66,-,9.9,64,42,104.96,74.44,30.51,-,-,-,29.63,-,-,-,-
10,新北市,2005/08,菜寮,5.7,0.75,-,18.7,50,25,37.22,15.28,21.95,-,-,-,30.13,-,-,69.17,-
11,新北市,2005/08,永和,5.2,1.2,-,15.0,45,29,51.52,26.53,24.98,-,-,-,30.99,-,-,70.28,-
12,新北市,2005/08,新莊,9.5,0.56,-,21.2,51,32,30.81,11.01,19.8,-,-,-,28.97,-,-,76.89,-
13,新北市,2005/08,新店,3.5,0.36,-,25.9,33,22,15.36,3.88,11.47,-,-,-,28.75,-,-,72.28,-
14,新北市,2005/08,淡水,3.3,0.4,-,22.4,45,22,19.69,5.43,14.25,-,-,-,-,-,-,-,-
15,新北市,2005/08,汐止,4.7,0.44,-,23.7,35,21,25.39,9.07,16.32,-,-,-,29.0,-,-,73.28,-
16,新北市,2005/08,土城,4.5,0.55,-,23.7,51,31,33.84,13.27,20.57,-,-,-,29.65,-,-,73.91,-
17,新北市,2005/08,林口,4.4,0.3,-,20.2,49,-,24.73,6.67,18.06,-,-,-,27.18,-,-,76.92,-
18,新北市,2005/08,萬里,3.3,0.21,-,23.9,28,19,10.09,2.09,7.99,1.749,0.127,1.623,28.31,-,-,76.25,-
19,臺中市,2005/08,西屯,3.3,0.36,-,23.0,58,35,17.45,5.47,11.97,2.124,0.238,1.887,28.97,-,-,74.33,-
20,臺中市,2005/08,忠明,2.4,0.54,-,22.0,52,32,23.21,6.51,16.72,-,-,-,28.36,-,-,71.43,-
21,臺中市,2005/08,豐原,2.6,0.47,-,23.5,49,31,15.71,3.54,12.17,2.043,0.192,1.852,27.41,-,-,77.41,-
22,臺中市,2005/08,沙鹿,3.6,0.34,-,24.6,41,24,16.18,3.24,12.93,-,-,-,28.78,-,-,76.95,-
23,臺中市,2005/08,大里,3.6,0.37,394.46,25.3,57,34,19.89,4.66,15.23,-,-,-,29.04,-,-,75.67,-
24,臺南市,2005/08,新營,2.8,0.29,-,27.0,54,29,10.83,2.18,8.64,2.202,0.088,2.114,27.88,-,-,78.53,-
25,臺南市,2005/08,善化,5.0,0.16,406.83,21.8,50,27,10.68,4.35,6.32,-,-,-,28.29,-,-,80.38,-
26,臺南市,2005/08,安南,4.4,0.29,-,24.1,52,29,11.9,3.89,8.0,-,-,-,28.79,-,-,73.63,-
27,臺南市,2005/08,臺南,4.8,0.39,-,23.2,49,28,15.22,4.01,11.22,1.893,0.242,1.652,28.5,-,-,81.3,-
28,高雄市,2005/08,左營,6.1,0.41,-,25.6,54,32,20.53,7.15,13.38,-,-,-,29.12,-,-,77.74,-
29,高雄市,2005/08,楠梓,6.3,0.36,-,22.5,59,34,19.41,5.19,14.21,1.922,0.195,1.727,29.52,-,-,72.59,-
30,高雄市,2005/08,前金,6.7,0.46,-,27.9,55,35,20.9,5.9,14.99,-,-,-,29.21,-,-,76.98,-
31,高雄市,2005/08,前鎮,10.7,0.33,-,17.4,52,29,25.95,7.72,18.22,-,-,-,28.98,-,-,72.14,-
32,高雄市,2005/08,復興,8.2,0.69,-,18.8,40,23,30.37,9.77,20.6,-,-,-,29.07,-,-,73.32,-
33,高雄市,2005/08,小港,11.5,0.49,-,19.4,58,36,27.28,9.02,18.26,1.883,0.254,1.63,29.82,-,-,73.67,-
34,高雄市,2005/08,鳳山,4.4,0.57,-,26.0,59,34,22.38,5.21,17.16,-,-,-,28.9,-,-,79.48,-
35,高雄市,2005/08,林園,7.7,0.29,-,30.2,59,32,14.7,4.48,10.22,2.039,0.361,1.677,28.58,-,-,75.95,-
36,高雄市,2005/08,大寮,6.5,0.3,-,22.6,58,28,14.84,3.84,11.0,-,-,-,28.94,-,-,77.07,-
37,高雄市,2005/08,仁武,12.1,0.36,-,20.3,63,31,24.47,7.67,16.8,2.13,0.204,1.926,29.91,-,-,77.97,-
38,高雄市,2005/08,橋頭,5.3,0.22,-,16.8,54,24,20.92,8.74,12.19,-,-,-,29.28,-,-,80.08,-
39,高雄市,2005/08,美濃,2.1,0.22,-,27.2,42,23,6.23,1.33,4.89,-,-,-,28.17,-,-,76.29,-
40,基隆市,2005/08,基隆,6.4,0.39,-,19.0,36,22,22.17,6.92,15.24,2.091,0.19,1.901,28.94,-,-,73.5,-
41,新竹市,2005/08,新竹,3.3,0.39,-,21.6,41,24,20.05,5.45,14.59,2.23,0.215,2.015,29.37,-,-,71.95,-
42,嘉義市,2005/08,嘉義,1.5,0.33,-,20.5,58,32,12.14,3.28,8.86,-,-,-,26.83,-,-,75.29,-
43,宜蘭縣,2005/08,宜蘭,2.0,0.3,396.98,18.1,33,14,9.85,2.58,7.27,-,-,-,29.02,-,-,72.69,-
44,宜蘭縣,2005/08,冬山,3.0,0.42,-,16.5,37,15,15.06,5.58,9.47,2.047,0.095,1.953,28.71,-,-,75.56,-
45,桃園市,2005/08,桃園,12.8,0.52,-,21.9,58,34,30.25,8.63,21.61,2.416,0.44,1.976,28.93,-,-,73.12,-
46,桃園市,2005/08,中壢,7.1,1.09,-,16.7,56,35,45.66,24.29,21.37,-,-,-,27.46,-,-,82.33,-
47,桃園市,2005/08,大園,5.5,0.25,-,23.1,48,26,19.26,5.89,13.37,-,-,-,30.23,-,-,73.8,-
48,桃園市,2005/08,龍潭,3.4,0.39,-,21.6,48,22,21.55,5.52,16.03,-,-,-,27.29,-,-,74.58,-
49,桃園市,2005/08,平鎮,5.9,0.37,-,24.4,52,29,18.78,5.14,13.64,-,-,-,28.06,-,-,73.29,-
50,桃園市,2005/08,觀音,5.6,0.22,-,26.4,49,20,11.72,2.31,9.41,2.073,0.221,1.852,29.15,-,-,77.37,-
51,新竹縣,2005/08,竹東,2.2,0.36,-,25.0,44,26,11.28,2.61,8.66,-,-,-,28.9,-,-,74.14,-
